TIMESTAMP,LTC_OPEN_PRICE_USDT,LTC_HIGH_PRICE_USDT,LTC_LOW_PRICE_USDT,LTC_CLOSE_PRICE_USDT,LTC_VOLUME_USDT,VOLUME_USDT,LTC_TRADE_COUNT
2017-12-13,272.0,330.0,260.0,290.01,9565.16019,2770877.002767,4709
2017-12-14,290.01,302.72,252.0,272.4,9631.98382,2666481.1499211,5753
2017-12-15,272.4,314.21,239.99,294.0,16579.78235,4658823.650816,7826
2017-12-16,294.0,305.0,285.0,293.97,9102.10005,2674491.7852775,6151
2017-12-17,293.01,328.8,290.0,311.4,14682.26118,4618546.9664819,10383
2017-12-18,311.23,360.96,277.0,352.0,17210.06137,5445727.6694142,10773
2017-12-19,352.0,366.96,303.01,338.48,23190.32542,7853537.9783908,14897
2017-12-20,336.05,357.0,260.0,302.7,31586.76711,9862312.579348,15986
2017-12-21,303.8,325.16,267.01,302.0,26212.1583,7792715.3506441,15163
2017-12-22,303.0,315.0,177.58,250.99,81233.42425,19331731.1139285,33250
2017-12-23,250.99,301.52,214.91,253.44,38709.14008,10424037.0623286,19966
2017-12-24,253.44,277.0,220.03,262.9,33435.37202,8272835.2642855,21908
2017-12-25,262.9,277.5,251.4,261.2,24415.6917,6464612.0371434,15740
2017-12-26,261.17,282.82,258.0,277.98,21987.89021,5985168.512649,16186
2017-12-27,277.98,284.34,245.29,262.59,25036.78582,6741018.6729032,17691
2017-12-28,262.61,266.7,222.03,244.68,34832.27138,8365398.2271549,21854
2017-12-29,244.68,261.0,233.97,238.27,34985.03167,8540220.645454,23777
2017-12-30,238.27,244.0,193.2,206.03,52930.1782,11334425.401545,33492
2017-12-31,206.11,234.37,202.98,223.69,29739.10081,6491443.6770675,21567
2018-01-01,223.69,231.19,212.74,222.61,20221.253,4495346.5939887,17150
2018-01-02,222.62,256.49,222.62,247.33,63293.12934,15468084.2093889,34824
2018-01-03,247.33,253.4,233.56,238.77,71369.27484,17455596.1937566,37685
2018-01-04,238.89,240.0,219.38,233.0,78182.30493,17951834.0389651,43209
2018-01-05,233.04,250.99,230.0,240.54,65010.14465,15696625.2379845,30382
2018-01-06,240.95,315.0,238.73,275.28,100812.2137,28259590.9525604,41513
2018-01-07,276.24,287.0,262.0,269.01,43811.61108,12078548.8351749,23777
2018-01-08,269.01,271.82,212.74,252.65,76256.97086,19095109.7595696,33866
2018-01-09,252.49,257.64,228.24,244.48,53921.90417,13345180.4614226,25770
2018-01-10,244.56,248.99,225.05,247.63,70931.30085,16870783.6057008,29781
2018-01-11,247.63,252.27,195.03,223.77,83842.47294,19073326.491015,37597
2018-01-12,223.76,240.45,213.01,233.11,45676.80703,10548375.5870647,22683
2018-01-13,233.11,263.99,232.54,257.98,42811.12858,10476151.1928371,20564
2018-01-14,257.98,271.64,222.0,234.12,62203.40257,15137840.8726771,26501
2018-01-15,234.26,242.31,227.6,229.5,35755.94861,8398319.5240128,18021
2018-01-16,229.5,242.0,135.67,179.28,150044.07322,28582968.2798405,49964
2018-01-17,179.28,198.89,136.2,182.44,155640.00921,26395093.9553367,51587
2018-01-18,183.45,202.19,170.5,186.14,98372.75595,18512748.8931803,37258
2018-01-19,186.21,199.0,176.04,191.42,59369.45319,11209086.5468799,24967
2018-01-20,191.44,215.0,190.67,210.4,59162.64755,12075942.5082162,24687
2018-01-21,210.05,210.69,180.0,190.16,64817.00761,12460823.8720531,28336
2018-01-22,190.52,195.0,163.44,178.0,60376.3605,10811398.7705123,26955
2018-01-23,178.0,186.42,163.02,176.98,49510.38638,8716023.1174421,23619
2018-01-24,176.94,186.3,171.58,180.89,43298.498,7744819.2302216,21988
2018-01-25,180.83,186.0,175.58,179.59,39819.99079,7216982.0076145,16942
2018-01-26,179.0,183.06,165.0,177.09,49473.65655,8624749.6547423,19450
2018-01-27,175.73,184.0,173.0,182.1,31424.8731,5654927.1489505,14128
2018-01-28,182.11,198.0,181.7,196.74,47275.56346,8994922.7138862,20582
2018-01-29,196.74,197.19,180.01,181.5,36900.24385,6841796.6762381,18605
2018-01-30,181.51,181.96,160.59,168.21,56599.48048,9714236.0456283,30313
2018-01-31,168.1,169.31,157.5,165.19,37253.63137,6066209.6768111,22621
2018-02-01,164.83,167.2,132.0,143.69,64818.91744,9681259.4991677,32711
2018-02-02,144.04,147.0,108.52,131.68,124193.03592,15940474.8921879,55200
2018-02-03,131.99,166.99,120.06,160.3,143242.70975,21386022.9719593,55345
2018-02-04,160.86,174.75,138.0,147.09,300059.19271,46812220.1772089,101423
2018-02-05,147.29,153.96,116.6,125.17,299970.42074,40146290.0697709,91798
2018-02-06,125.17,147.0,106.5,141.0,393108.7479,49029234.277253,117861
2018-02-07,140.96,157.0,130.01,137.21,178588.57054,25755598.0586562,63415
2018-02-08,137.97,143.5,137.2,142.37,3877.47235,547053.0073028,1385
2018-02-09,142.37,164.4,142.37,163.73,65205.08736,10150897.4215024,27598
2018-02-10,163.74,169.0,146.01,154.65,133107.16189,21097674.3139538,57987
2018-02-11,154.62,156.1,139.0,148.28,90638.82249,13496062.2759088,51011
2018-02-12,148.28,163.75,146.04,161.49,92515.29686,14589621.4703776,49748
2018-02-13,161.55,162.95,152.0,159.63,76565.21628,12069558.8341741,40116
2018-02-14,159.45,218.6,158.94,212.25,734010.6511,144508206.8909185,274802
2018-02-15,212.25,236.66,206.5,220.64,676400.69461,150844274.5377131,285935
2018-02-16,220.64,235.58,208.56,228.08,408040.45123,90688669.0492849,183771
2018-02-17,228.0,232.2,222.78,228.0,190064.55131,43303634.0217707,88178
2018-02-18,228.08,231.39,210.1,213.66,302164.90588,66870686.0898543,134218
2018-02-19,213.23,226.5,196.0,221.44,171716.19683,37779444.7049656,83172
2018-02-20,221.44,254.8,221.0,228.51,534334.84146,128317944.018186,198469
2018-02-21,228.5,233.53,203.12,209.6,493443.00002,106976453.0927831,174112
2018-02-22,209.6,222.0,188.0,192.61,396496.5489,80299085.5945632,152795
2018-02-23,192.69,216.28,182.0,206.4,427034.15419,85820511.9191345,168771
2018-02-24,206.38,219.0,192.3,206.5,326443.09261,67239268.0124955,118056
2018-02-25,206.69,223.17,198.94,217.78,314689.26189,66459733.7292181,98439
2018-02-26,218.16,232.3,214.43,218.5,408480.12476,91104241.0586588,130023
2018-02-27,218.25,224.36,211.8,214.6,248945.78729,54293702.4471469,80132
2018-02-28,214.94,223.71,201.5,201.86,185588.08799,39526352.1311294,64499
2018-03-01,201.86,215.0,200.2,209.17,121521.21293,25319046.4794265,48132
2018-03-02,209.14,214.47,203.43,212.8,89853.18198,18725901.7608705,39878
2018-03-03,212.8,218.39,208.0,210.04,120120.98049,25787453.0950883,43220
2018-03-04,210.0,215.34,204.5,213.19,67079.9353,14045210.1229357,30477
2018-03-05,213.19,217.0,208.17,210.14,71680.40092,15251073.1271395,31661
2018-03-06,210.03,210.49,191.31,196.24,130006.53725,26094574.1249549,48522
2018-03-07,196.2,199.28,173.08,185.25,229372.21016,42660481.2231973,68175
2018-03-08,185.33,187.5,173.69,175.24,160132.53652,28906501.3347185,53926
2018-03-09,175.06,190.0,157.68,185.79,308773.92425,53588984.0124714,95879
2018-03-10,185.88,194.99,174.48,176.74,187043.85418,34636318.1337597,61707
2018-03-11,176.85,194.0,169.85,188.16,197705.66569,36114840.7437673,64755
2018-03-12,188.16,192.88,173.58,177.8,142835.10745,26187028.2031548,54266
