,LTC,Lag
IOTA,1.6432447138967342e-09,14
XMR,1.170894200412354e-08,16
USDT,8.135420523869087e-08,30
BTC,8.741952291958717e-06,28
DOGE,1.17058541979842e-05,21
DASH,0.000130412100579,30
DCR,0.0002036871888836,16
BAT,0.000635937377458,2
ETC,0.013378174378249,5
XRP,0.0244436342976473,16
QTUM,0.0633085167614394,16
ETH,0.1404339275058704,13
XLM,0.20622434789597,30
ZEC,0.3424795337093139,18
GNO,0.7895254484843651,6
