Lag,ETH,LTC,XMR,XRP,ANT,ARK,BAT,BTS,DASH,DCR,DGB,DOGE,ETC,FIRO,GAS,GNO,KMD,LSK,LUNC,MIOTA,PIVX,QTUM,RLC,SC,STEEM,SYS,WAVES,XEM,XLM,ZEC,ZEN
1,0.225497939031332,0.25299085062888654,0.16598452484960596,0.19673074459984596,0.2902549147098384,0.5262485850657634,0.14931045555993144,0.26577608473143877,0.3769015702851308,0.6718627675380128,0.19003694564699394,0.30823012794289645,0.23160490634411846,0.3619016103925945,0.2748370842127872,0.4305259916838501,0.07802660635717555,0.37556633075000795,0.3528406654532993,0.16929017478770772,0.23719154509935572,0.20117625289874327,0.22626473414931636,0.04746225364956776,0.571872533236604,0.4614053991300916,0.14990660059144187,0.19552399293099518,0.16005402787143203,0.2001242256022025,0.3599748771457061
2,0.25389910791859027,0.3417210026572881,0.3104532925451312,0.24478350468423665,0.3980127471958357,0.6072741756358896,0.26437749810184247,0.33072141971079083,0.5058038515672697,0.6557792240292457,0.1014271749434651,0.39619515743729816,0.24952118676503834,0.4362145558911961,0.4020813664574836,0.4430696610560144,0.1553812021264794,0.3764598222826993,0.24725648436290806,0.19794251586309022,0.36765692788050686,0.27632041447275446,0.32543707984682785,0.0127542393107296,0.6221862803546325,0.4449978513946152,0.2452667586635185,0.16967040496684302,0.3035658968928475,0.293659865480535,0.3353117404114248
3,0.24855111390121928,0.41736682410313863,0.2424868299563447,0.21875677582932893,0.4788531294777508,0.5090659020295467,0.311441005525363,0.08329575464740957,0.46336520296268835,0.44980571289784604,0.1354283617666764,0.2997438561360202,0.26349035298258094,0.467321860017176,0.5589313144938279,0.17321064203989728,0.21438888973672435,0.41858943380299646,0.12439648261386062,0.3266915214952379,0.13432135380541657,0.29360026405531453,0.2434566587040074,0.02332076298406795,0.7457330371825963,0.5570819066245893,0.386220735243479,0.16748396673054697,0.32996445935882834,0.33625609389964994,0.4520401537640297
4,0.188242990383852,0.20012535775988954,0.29010442610881054,0.2180164921420219,0.5212794530861052,0.4220070921294563,0.30370788117139963,0.0766433269114063,0.2188862905959148,0.6015454175726063,0.17403193475590284,0.26902511077518587,0.06640936081021273,0.507176362061078,0.6661556333128784,0.16195312268354764,0.23561825837679726,0.348994550465245,0.16632288122836675,0.3382048666838268,0.1602477943284737,0.24316754251684033,0.07100426433939391,0.02385383971137267,0.7561217430832378,0.6446631107505403,0.31836555022803614,0.17560480202175544,0.3870209578609185,0.24222139661229392,0.3570650542450849
5,0.2238647812451088,0.1932257690828443,0.29747806525830667,0.22691241310436108,0.5177227611239331,0.4983281994025191,0.30760087322866847,0.07125059541700715,0.2656424975800248,0.5940398065516983,0.19803632511900926,0.2634653123858345,0.06532952072742826,0.4524645083195037,0.6690936467068929,0.2129751788299416,0.316268267695864,0.3490458963747114,0.35548468174606507,0.258338873187093,0.28191366574078236,0.20532944656286864,0.09097671739764601,0.013478317788004615,0.7830335946014462,0.6804309574106123,0.40218143834867676,0.17987851762419488,0.29613502139554654,0.2652952094347334,0.27468964853706945
6,0.31661505826629693,0.24650134882912067,0.29846961383112025,0.15947238718526696,0.4863018628959008,0.5632105545418504,0.2895089157650083,0.10636680079216267,0.3204675344524867,0.6289158806402384,0.2238711262947339,0.24801117959573704,0.0834623330368647,0.5474036755419764,0.6793882101908788,0.06552192711932499,0.19042637505103494,0.33809338032255687,0.41312014042173106,0.29340075628698725,0.3901874928384657,0.25069095350244813,0.11931282327507958,0.015269665492597142,0.7947974420076345,0.6922721305310163,0.42474925536587027,0.22529283410021606,0.3375901136692696,0.2747411492661534,0.1226375717067484
7,0.22695340782359283,0.24826541803931162,0.1127574992489386,0.10348893391065661,0.48179218122925815,0.37448376616182333,0.21765839742703214,0.15394449513500158,0.2811021901273375,0.578047040278989,0.2423971508967148,0.2389472733015335,0.004151792361023026,0.5986397727328545,0.40610990839397404,0.07730565170574727,0.19358547697341597,0.3387716380128099,0.49264287565946563,0.14488846258896576,0.28062250868835686,0.2749044486668564,0.10225983629650606,0.009768799310399414,0.8228131597968116,0.5769375465481341,0.47858422614473767,0.27316085355588565,0.3460531127359893,0.20551106256968482,0.12616524843104562
8,0.10856624358969359,0.2593606177386871,0.12807558059151505,0.09753574792427153,0.45752942369545413,0.3088829732222686,0.14538652990796902,0.1739508863822594,0.3173108723005338,0.6587448992422187,0.24983066364151718,0.2764030835753767,0.004967837604125663,0.5993930501513224,0.29339345810946393,0.09012806105137978,0.22865648081648932,0.36504208436775376,0.5686173638990195,0.19423015754716255,0.21574671423792874,0.3258790282817035,0.09918369007413723,0.013234513841942496,0.848292074564422,0.4677669453344412,0.47661258918043625,0.3014542802322908,0.4080536198579642,0.2474917110165545,0.14376344147073986
9,0.09262637527617454,0.26152372762530574,0.0900727438162953,0.019746222816996388,0.49706559373868,0.2708516794991316,0.0766567036572448,0.2182286907577233,0.24768644362927336,0.6392991780549648,0.19878914056472574,0.3123995765633852,0.008376379729116347,0.6436538137375675,0.3250609789443868,0.09775859766013943,0.1928840278981092,0.2703949418334257,0.6096881165289291,0.1391972004427152,0.2674084565225487,0.3454226971636644,0.07008284218963526,0.017597217905976337,0.8334968494580691,0.5405545282114582,0.5322541464762088,0.2832053911394198,0.24348020084800875,0.20498462502373826,0.12511883733824689
10,0.06664718410959947,0.17762030904540968,0.09442764907750616,0.02801823947520393,0.46833689023698577,0.2031843972487472,0.09950116705483639,0.11368652524236142,0.17668820517789663,0.6595744976886858,0.22102332045494252,0.35451443679058803,0.014340576056200038,0.5261116817081931,0.38657655307193234,0.1362723967954867,0.21597456593013103,0.2831736985704828,0.6253299924509987,0.13864205856613548,0.18041152363311921,0.384688699548443,0.06536980888412448,0.010156103211413922,0.8374709551418401,0.4714468200821516,0.5886499175016668,0.28980504470395513,0.23448053305538305,0.22859723368159313,0.16602211177865717
