Lag,ETH,LTC,XMR,XRP,ANT,ARK,BAT,BTS,DASH,DCR,DGB,DOGE,ETC,FIRO,GAS,GNO,KMD,LSK,LUNC,MIOTA,PIVX,QTUM,RLC,SC,STEEM,SYS,WAVES,XEM,XLM,ZEC,ZEN
1,0.018114637895989355,0.08375642827762132,0.4226237205034785,0.014310215446796452,0.5908277599185432,0.012272021696089043,0.07418232966628215,0.009643177640650093,0.30329114318375816,0.9370253259420709,4.966039315393144e-05,0.8671956100263551,0.004210931998177358,0.26721843763815495,0.23612529999937576,0.4753047197523932,0.02987042263374559,0.09206055908639289,0.7964656243552201,7.780848931718194e-05,0.677486180637777,0.001715552305757228,1.2981083129064729e-22,1.3155675971945896e-05,0.39421899964764917,0.66639380276906,0.08151803077411723,0.09511556491196695,0.045565609163410535,0.006713179202954524,0.16850341393897125
2,0.02221057993860166,0.16708514274932196,0.5199420256745283,0.031043213536360057,0.8677559629596078,0.01282489725307197,0.15778130607497912,0.018585100180153913,0.4885477973667036,0.18576139147859078,0.00010304550768795405,0.9529530440321001,0.002239296556898791,0.426798726894036,0.27285446433213617,0.19811290527452502,0.09398739265009522,0.23294120097263454,0.037400465569524,8.084324540129851e-05,0.808418569221652,0.0018471893695809782,2.292926259995469e-18,7.513095614914885e-05,0.6017967218782854,0.9106651833578691,0.28656015365673204,0.23433028245408657,0.014058274442743579,0.010359978140271328,0.13850773736056624
3,0.03879907359203969,0.04160616129167525,0.6735446523843831,0.03893569799955928,0.8800744030657758,0.023989681281259882,0.28500450291842877,0.023803947661223932,0.37488217030292414,0.18417803066521485,0.0001312663930952131,0.9862988775368762,0.0038303174911147103,0.6129102907604991,0.4513986883442641,0.18532074303686918,0.15166800587733695,0.25848316037915403,0.10193432065932877,0.00027057715370814786,0.34324404962574107,0.0008012648701849566,2.9251677125588964e-20,0.00026859577100328736,0.6890076715905682,0.9401065495742796,0.46937753514452096,0.09969346266816259,0.001220836574132727,0.017344028830748922,0.2112645358614561
4,0.040875920293330405,0.00950783710050033,0.7861537801099254,0.03531836470908584,0.8296689351324886,0.051079159516318286,0.4383053469819219,0.05695102075049945,0.3022072188470511,0.3963993063263938,0.0005486460060003159,0.8604982153080702,0.009600743395782223,0.7835440835103179,0.6098912699343686,0.1420823185973029,0.15354713448945473,0.38042299991832823,0.13499901715297105,0.00035368705570452914,0.3606381894162921,0.00244719219338038,7.067160480639872e-22,0.0007116895445393461,0.4896681578726857,0.9752875878365291,0.5772949503830267,0.162660498728673,0.0039040125550277205,0.030568284128932626,0.25303029042432484
5,0.09685908996064366,0.01490229867729432,0.7064479293860764,0.06611955011039064,0.7506864195947565,0.09497268193134235,0.516463163547059,0.0769125767346274,0.4369214063496186,0.2661546349300861,0.0011376527073811782,0.8961849827810816,0.01997708949631562,0.7949109306619064,0.7359584215958889,0.17721005502675202,0.24236550806133358,0.41132107580887634,0.20921819688101498,0.0006403802475850455,0.5585620144672679,0.004875587785665926,1.0479519960529344e-20,0.0006664487445675156,0.5858805851304965,0.9912611925279726,0.6885418189696528,0.22065551330573674,0.009023224454813994,0.06463597350183563,0.3576964223118823
6,0.3884179147006902,0.01951836754288194,0.7434197568138254,0.054932960140885494,0.6399092807353643,0.12151882130164791,0.46906527942328624,0.12529592496993855,0.5555247250343129,0.24888467134677975,0.0024977930755809966,0.7952155886299369,0.025650055687007883,0.8750749415911839,0.7114956788093636,0.012630195891878328,0.2217812758019222,0.358390198393779,0.04349320426335402,0.0012862875144334816,0.7128503842202911,0.008318374902436828,1.3349277607886513e-20,0.0012461083093409137,0.4700007433744521,0.9576571434312648,0.6504341449401261,0.3191593366941802,0.016843424660543574,0.11118580722345525,0.364043539444219
7,0.1675246478753777,0.02247526390087233,0.2868218676970145,0.009758628083241041,0.7041989077695312,0.1671646047009719,0.4989948689354293,0.183704174061782,0.29546334195549057,0.26572921957593854,0.005417284281348557,0.6900946892156676,0.00992279905008508,0.9308300096659962,0.7971171826603124,0.024293114912613056,0.13377720737977344,0.3584857726735896,0.05109532747370477,0.00156286682660115,0.7446753325244587,0.014997141808040454,8.711568191103387e-22,0.0009598070549226485,0.47710154000260097,0.5545575003186702,0.6824905552587508,0.42319886156432734,0.026146883064986078,0.10395892541752766,0.32894299100370505
8,0.3276452795329769,0.02422825161191473,0.2778465455025907,0.02432481064156408,0.3604691835039463,0.04360843912347211,0.34752688009278254,0.2673653494180473,0.3712323709770123,0.4270379285274307,0.015283276380824655,0.7328869375985338,0.01159089445171959,0.8475433934294315,0.32705789281757125,0.03157425225222466,0.19173706955181638,0.40579256127173635,0.07766602631873369,0.002265717665683869,0.3936775490758859,0.02949337368319351,7.478531963483184e-21,0.0003867600916232169,0.5313780634676077,0.378852665817565,0.7534106597136264,0.5223188510650991,0.04503571323968627,0.1128812492185217,0.31852177028458634
9,0.242333949281143,0.022074496974124877,0.2478351977570307,0.02642458768936506,0.32106536515657536,0.06685328600416657,0.27932128076061796,0.35600808779409504,0.13266954161046574,0.494885398978107,0.02502157310986863,0.7934234150290642,0.01831498015786742,0.9008914910325329,0.3369391556523782,0.05733367970089408,0.20168608506753338,0.3164452661879974,0.1226180410891512,0.003466187695504811,0.43972163566438893,0.038459807204447256,1.7980155076915168e-20,0.0006356649203294969,0.563297263059237,0.46363203363184313,0.8219884425327126,0.6359262355901311,0.04714424973852779,0.05038290314367461,0.2362936477465844
10,0.2231898950945698,0.0927516924542616,0.24332652028728258,0.027065777664915747,0.3659734401953638,0.08480978365033061,0.35357781441733666,0.3856616365016605,0.17498590490632163,0.5583927021887971,0.037457130364807,0.8136272898708183,0.04243321355121981,0.719822252296187,0.4211127323652156,0.08607780015285604,0.13419094967533673,0.3904050461750843,0.10672427436979573,0.004991075570153026,0.1728863023093298,0.056650700309028426,4.939904907591328e-20,0.00022279133238811005,0.6092437410271023,0.29770400520704215,0.8244077700817669,0.5847433110735255,0.056481566879330376,0.07335180614014566,0.3195891904997862
