TIMESTAMP,RLC_OPEN_PRICE_USDT,RLC_HIGH_PRICE_USDT,RLC_LOW_PRICE_USDT,RLC_CLOSE_PRICE_USDT,RLC_FIRST_TRADE_PRICE_USDT,RLC_HIGH_TRADE_PRICE_USDT,RLC_LOW_TRADE_PRICE_USDT,RLC_LAST_TRADE_PRICE_USDT,RLC_TOTAL_TRADE_COUNT,RLC_TOTAL_TRADES_BUY,RLC_TOTAL_TRADES_SELL,RLC_VOLUME_USDT,RLC_QUOTE_VOLUME,RLC_VOLUME_BUY,RLC_QUOTE_VOLUME_BUY,RLC_VOLUME_SELL,RLC_QUOTE_VOLUME_SELL
2019-11-14,0.75,0.7597,0.7042,0.7147,0.75,0.7597,0.7042,0.7147,483,132,351,149622.97,108456.285706,52232.44,37863.155383,97390.53,70593.130323
2019-11-15,0.7147,0.749,0.6858,0.7045,0.7126,0.749,0.6858,0.7045,570,332,238,70005.14,49094.965878,24900.55,17576.457343,45104.59,31518.508535
2019-11-16,0.7045,0.7847,0.6937,0.7576,0.7036,0.7847,0.6937,0.7576,1506,1057,449,205524.61,153751.36787,85376.9,63948.134189,120147.71,89803.233681
2019-11-17,0.7576,0.91,0.7456,0.8159,0.7649,0.91,0.7456,0.8159,3562,2146,1416,437981.52,360178.410921,188003.02,154763.739107,249978.5,205414.671814
2019-11-18,0.8159,0.8481,0.74,0.773,0.816,0.8481,0.74,0.773,2582,1637,945,429545.61,338016.76024,173843.42,137531.678054,255702.19,200485.082186
2019-11-19,0.773,0.7937,0.7045,0.7252,0.7721,0.7937,0.7045,0.7252,1869,1096,773,275343.0,202768.49377,115643.42,85515.059245,159699.58,117253.434525
2019-11-20,0.7252,0.773,0.66,0.741,0.7252,0.773,0.66,0.741,2514,1628,886,366385.65,254828.004217,179103.97,124359.941765,187281.68,130468.062452
2019-11-21,0.741,0.7607,0.6187,0.6576,0.741,0.7607,0.6187,0.6576,1952,1187,765,290594.95,198535.246153,130805.1,89487.628986,159789.85,109047.617167
2019-11-22,0.6576,0.7177,0.5269,0.6553,0.655,0.7177,0.5269,0.6553,2988,1705,1283,561280.07,349514.870887,222133.91,136919.799544,339146.16,212595.071343
2019-11-23,0.6553,0.775,0.6245,0.7458,0.6547,0.775,0.6245,0.7458,4123,2557,1566,723083.39,517024.464347,265955.72,188534.144179,457127.67,328490.320168
2019-11-24,0.7458,0.7499,0.6484,0.6649,0.7445,0.7499,0.6484,0.6649,2076,1280,796,317058.04,220485.651395,120365.9,83119.288724,196692.14,137366.362671
2019-11-25,0.6649,0.7297,0.6205,0.6628,0.6647,0.7297,0.6205,0.6628,2263,1218,1045,345679.17,234395.974151,138483.0,93906.265057,207196.17,140489.709094
2019-11-26,0.6628,0.6991,0.6472,0.6513,0.6729,0.6991,0.6472,0.6513,1172,672,500,191658.27,127253.056366,87988.04,58527.727829,103670.23,68725.328537
2019-11-27,0.6513,0.679,0.6001,0.64,0.6579,0.679,0.6001,0.64,1662,880,782,441998.64,282328.375177,154603.86,99041.924017,287394.78,183286.45116
2019-11-28,0.64,0.7249,0.64,0.6745,0.64,0.7249,0.64,0.6745,1852,1223,629,394079.66,269237.977854,232206.71,158151.919985,161872.95,111086.057869
2019-11-29,0.6745,0.7258,0.5332,0.7059,0.6672,0.7258,0.5332,0.7059,1641,931,710,274153.99,187275.702577,108261.68,75316.880169,165892.31,111958.822408
2019-11-30,0.7059,0.7103,0.6604,0.6828,0.7059,0.7103,0.6604,0.6828,683,359,324,79213.66,53764.920829,23780.35,16202.13242,55433.31,37562.788409
2019-12-01,0.6828,0.6838,0.61,0.6142,0.6838,0.6838,0.61,0.6142,1294,669,625,235639.3,147674.604613,91589.14,57573.675454,144050.16,90100.929159
2019-12-02,0.6142,0.65,0.55,0.5753,0.6143,0.65,0.55,0.5753,1806,883,923,434614.5,254031.146741,152160.2,89952.164196,282454.3,164078.982545
2019-12-03,0.5753,0.5999,0.5324,0.5406,0.5725,0.5999,0.5324,0.5406,1881,982,899,574881.21,319763.467159,156753.04,88720.427701,418128.17,231043.039458
2019-12-04,0.5406,0.5724,0.5055,0.5223,0.537,0.5724,0.5055,0.5223,1527,889,638,398536.28,212985.306342,182287.88,97284.424716,216248.4,115700.881626
2019-12-05,0.5223,0.5694,0.52,0.5397,0.5278,0.5694,0.52,0.5397,1328,901,427,233118.09,127393.808438,136324.17,75021.216643,96793.92,52372.591795
2019-12-06,0.5397,0.5514,0.506,0.5445,0.5436,0.5514,0.506,0.5445,1342,792,550,303154.74,159793.776916,106118.96,56061.392524,197035.78,103732.384392
2019-12-07,0.5445,0.55,0.5309,0.5445,0.5444,0.55,0.5309,0.5445,531,418,113,93000.48,50167.610768,62574.66,33837.474563,30425.82,16330.136205
2019-12-08,0.5445,0.7185,0.5327,0.6075,0.5433,0.7185,0.5327,0.6075,3681,2339,1342,705817.49,429728.627334,339688.41,206867.404529,366129.08,222861.222805
2019-12-09,0.6075,0.6251,0.55,0.5648,0.6118,0.6251,0.55,0.5648,1709,1103,606,375412.12,217725.954845,120804.87,70646.831076,254607.25,147079.123769
2019-12-10,0.5648,0.5679,0.5,0.5374,0.5631,0.5679,0.5,0.5374,1457,833,624,320735.34,171308.37376,121706.28,65250.356123,199029.06,106058.017637
2019-12-11,0.5374,0.5646,0.5327,0.551,0.5376,0.5646,0.5327,0.551,825,567,258,167219.68,91466.65175,96912.97,53011.253636,70306.71,38455.398114
2019-12-12,0.551,0.615,0.5335,0.6073,0.55,0.615,0.5335,0.6073,1629,1140,489,325188.13,186052.507592,160027.32,91214.256173,165160.81,94838.251419
2019-12-13,0.6073,0.6201,0.5163,0.5289,0.6007,0.6201,0.5163,0.5289,3357,1609,1748,999701.94,554019.570395,293378.75,162469.32655,706323.19,391550.243845
2019-12-14,0.5289,0.5447,0.4661,0.4715,0.5289,0.5447,0.4661,0.4715,1626,865,761,516178.61,259982.705917,191867.54,98434.759945,324311.07,161547.945972
2019-12-15,0.4715,0.4959,0.448,0.4611,0.4672,0.4959,0.448,0.4611,1432,855,577,396393.84,186116.861486,171145.64,80337.168606,225248.2,105779.69288
2019-12-16,0.4611,0.479,0.4111,0.4188,0.4608,0.479,0.4111,0.4188,1276,760,516,327002.13,145184.220605,132419.1,59227.930191,194583.03,85956.290414
2019-12-17,0.4188,0.4195,0.3531,0.3673,0.415,0.4195,0.3531,0.3673,1496,827,669,478214.3,184141.697986,195547.56,74983.348936,282666.74,109158.34905
2019-12-18,0.3673,0.4712,0.3399,0.4238,0.3716,0.4712,0.3399,0.4238,2154,1366,788,677204.45,277269.184929,352770.21,145530.811842,324434.24,131738.373087
2019-12-19,0.4238,0.4479,0.3922,0.4457,0.4239,0.4479,0.3922,0.4457,1875,1184,691,513614.55,214914.945628,251278.59,105627.615337,262335.96,109287.330291
2019-12-20,0.4457,0.446,0.4117,0.4314,0.4454,0.446,0.4117,0.4314,1218,808,410,343391.45,147321.697802,188854.99,81271.543688,154536.46,66050.154114
2019-12-21,0.4314,0.45,0.3986,0.4053,0.4316,0.45,0.3986,0.4053,774,420,354,239182.24,99761.805768,79666.25,33650.256238,159515.99,66111.54953
