TIMESTAMP,GELO_OPEN_PRICE_USD,GELO_HIGH_PRICE_USD,GELO_LOW_PRICE_USD,GELO_CLOSE_PRICE_USD,GELO_VOLUME_USD,GELO_DIVIDENDS_USD,GELO_STOCK_SPLITS_USD
2023-12-11 00:00:00+00:00,,,,0.0,551108,0.0,0.0
2023-12-12 00:00:00+00:00,,,,0.0,219874,0.0,0.0
2023-12-13 00:00:00+00:00,,,,0.0,123338,0.0,0.0
2023-12-14 00:00:00+00:00,,,,0.0,78184,0.0,0.0
2023-12-15 00:00:00+00:00,,,,0.0,21525,0.0,0.0
2023-12-16 00:00:00+00:00,,,,0.0,8132,0.0,0.0
2023-12-17 00:00:00+00:00,,,,0.0,4205,0.0,0.0
2023-12-18 00:00:00+00:00,,,,0.0,2934,0.0,0.0
2023-12-19 00:00:00+00:00,,,,0.0,6809,0.0,0.0
2023-12-20 00:00:00+00:00,,,,0.0,2309,0.0,0.0
2023-12-21 00:00:00+00:00,,,,0.0,720,0.0,0.0
2023-12-22 00:00:00+00:00,,,,0.0,1134,0.0,0.0
2023-12-23 00:00:00+00:00,,,,0.0,514,0.0,0.0
2023-12-24 00:00:00+00:00,,,,0.0,96,0.0,0.0
2023-12-25 00:00:00+00:00,,,,0.0,160,0.0,0.0
2023-12-26 00:00:00+00:00,,,,0.0,1087,0.0,0.0
2023-12-27 00:00:00+00:00,,,,0.0,198,0.0,0.0
2023-12-28 00:00:00+00:00,,,,0.0,230,0.0,0.0
2023-12-29 00:00:00+00:00,,,,0.0,817,0.0,0.0
2023-12-30 00:00:00+00:00,,,,0.0,103,0.0,0.0
2023-12-31 00:00:00+00:00,,,,0.0,235,0.0,0.0
2024-01-01 00:00:00+00:00,,,,0.0,227,0.0,0.0
2024-01-02 00:00:00+00:00,,,,0.0,161,0.0,0.0
2024-01-03 00:00:00+00:00,,,,0.0,71,0.0,0.0
2024-01-04 00:00:00+00:00,,,,0.0,109,0.0,0.0
2024-01-05 00:00:00+00:00,,,,0.0,309,0.0,0.0
2024-01-06 00:00:00+00:00,,,,0.0,45,0.0,0.0
2024-01-07 00:00:00+00:00,,,,0.0,27,0.0,0.0
2024-01-08 00:00:00+00:00,,,,0.0,55,0.0,0.0
2024-01-09 00:00:00+00:00,,,,0.0,507,0.0,0.0
2024-01-10 00:00:00+00:00,,,,0.0,169,0.0,0.0
