TIMESTAMP,SMRTR_OPEN_PRICE_USD,SMRTR_HIGH_PRICE_USD,SMRTR_LOW_PRICE_USD,SMRTR_CLOSE_PRICE_USD,SMRTR_VOLUME_USD,SMRTR_DIVIDENDS_USD,SMRTR_STOCK_SPLITS_USD
2021-12-03 00:00:00+00:00,0.0003870000073220581,0.0004030000127386302,0.0003499999875202775,0.00037200000951997936,2634212,0.0,0.0
2021-12-04 00:00:00+00:00,0.00037200000951997936,0.00037299998803064227,0.0002730000123847276,0.0002749999985098839,4608097,0.0,0.0
2021-12-05 00:00:00+00:00,0.0002749999985098839,0.0002800000074785203,0.00020900000527035445,0.00021100000594742596,3151861,0.0,0.0
2021-12-06 00:00:00+00:00,0.00021100000594742596,0.00021100000594742596,0.00015799999528098851,0.0001610000035725534,4279135,0.0,0.0
2021-12-07 00:00:00+00:00,0.0001610000035725534,0.0001630000042496249,0.00011899999663000926,0.00011999999696854502,5503706,0.0,0.0
2021-12-08 00:00:00+00:00,0.00011999999696854502,0.00011999999696854502,7.400000322377309e-05,7.400000322377309e-05,4694996,0.0,0.0
2021-12-09 00:00:00+00:00,7.400000322377309e-05,7.599999662488699e-05,3.899999865097925e-05,3.899999865097925e-05,4711409,0.0,0.0
2021-12-10 00:00:00+00:00,3.899999865097925e-05,3.9999998989515007e-05,2.099999983329326e-05,2.099999983329326e-05,4210289,0.0,0.0
2021-12-11 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.1000000085914508e-05,1.1000000085914508e-05,4209300,0.0,0.0
2021-12-12 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,4.999999873689376e-06,4.999999873689376e-06,4469103,0.0,0.0
2021-12-13 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,1.9999999949504854e-06,1.9999999949504854e-06,3830669,0.0,0.0
2021-12-14 00:00:00+00:00,1.9999999949504854e-06,9.999999747378752e-06,9.999999974752427e-07,9.999999974752427e-07,5904291,0.0,0.0
2021-12-15 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3898597,0.0,0.0
2021-12-16 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,284910,0.0,0.0
2025-06-01 00:00:00+00:00,5.1896247299509923e-08,5.1896247299509923e-08,5.005508540989467e-08,5.1077886809025586e-08,32,0.0,0.0
