,BTC
USDT,1.3031693326957635e-07
QTUM,0.00010190630839137777
SC,0.0005302345520452112
DGB,0.0028192952635330013
ARK,0.011860187219852412
XEM,0.018459343158157934
ETC,0.024981582892102297
BTS,0.03035162989428635
XWC,0.03867997566446835
KMD,0.044465573085504466
STEEM,0.049226130373967884
ZEN,0.05111515855724633
LSK,0.05123394557966516
RLC,0.07074656580297373
XRP,0.11894735446144593
ETH,0.12103032904066294
DCR,0.2040176825739127
SYS,0.2529215763441189
DOGE,0.2633263651350375
ANT,0.30435929212652674
MAID,0.33556041795552644
MONA,0.4508408887514877
CON,0.5542942029943166
GNO,0.717374222815885
VERI,0.836513322169288
FIRO,0.8926579475103724
