,BTC,Lag
USDT,2.3006401418865083e-10,3
XWC,9.557452649438717e-09,23
SC,1.327313832184922e-07,28
QTUM,2.495297067585704e-06,23
STEEM,3.3643827005301785e-06,28
XRP,2.19369317904744e-05,22
DOGE,4.685415138858315e-05,30
RLC,5.769503858283067e-05,9
XEM,6.220550072553907e-05,30
DGB,6.503671337279883e-05,27
ETH,0.0001613283227142,30
MAID,0.0003464230496031,30
LSK,0.0004633513384104,30
ARK,0.0008803222010891,30
ZEN,0.0015884594132037,27
KMD,0.0027158266668926,1
MONA,0.0029252493431066,29
BTS,0.0050942927545837,1
ETC,0.0056607822315598,25
DCR,0.0150145324738986,27
GNO,0.0299337883792082,30
ANT,0.053034458256514,30
SYS,0.0886325949247785,30
CON,0.099831784594776,3
VERI,0.448890695896773,4
FIRO,0.4552227574155892,1
