TIMESTAMP,TOKI_OPEN_PRICE_USD,TOKI_HIGH_PRICE_USD,TOKI_LOW_PRICE_USD,TOKI_CLOSE_PRICE_USD,TOKI_VOLUME_USD,TOKI_DIVIDENDS_USD,TOKI_STOCK_SPLITS_USD
2025-01-22 00:00:00+00:00,,,,0.0,45018,0.0,0.0
2025-01-23 00:00:00+00:00,,,,0.0,40125,0.0,0.0
2025-01-24 00:00:00+00:00,,,,0.0,45195,0.0,0.0
2025-01-25 00:00:00+00:00,,,,0.0,9595,0.0,0.0
2025-01-26 00:00:00+00:00,,,,0.0,29851,0.0,0.0
2025-01-27 00:00:00+00:00,,,,0.0,58695,0.0,0.0
2025-01-28 00:00:00+00:00,,,,0.0,69819,0.0,0.0
2025-01-29 00:00:00+00:00,,,,0.0,34515,0.0,0.0
2025-01-30 00:00:00+00:00,,,,0.0,33015,0.0,0.0
2025-01-31 00:00:00+00:00,,,,0.0,27148,0.0,0.0
2025-02-01 00:00:00+00:00,,,,0.0,6210,0.0,0.0
2025-02-02 00:00:00+00:00,,,,0.0,45246,0.0,0.0
2025-02-03 00:00:00+00:00,,,,0.0,24273,0.0,0.0
2025-02-04 00:00:00+00:00,,,,0.0,34026,0.0,0.0
2025-02-05 00:00:00+00:00,,,,0.0,16601,0.0,0.0
2025-02-06 00:00:00+00:00,,,,0.0,11482,0.0,0.0
2025-02-07 00:00:00+00:00,,,,0.0,23709,0.0,0.0
2025-02-08 00:00:00+00:00,,,,0.0,36523,0.0,0.0
2025-02-09 00:00:00+00:00,,,,0.0,22466,0.0,0.0
2025-02-10 00:00:00+00:00,,,,0.0,10513,0.0,0.0
2025-02-11 00:00:00+00:00,,,,0.0,29437,0.0,0.0
2025-02-12 00:00:00+00:00,,,,0.0,7255,0.0,0.0
2025-02-13 00:00:00+00:00,,,,0.0,6900,0.0,0.0
2025-02-14 00:00:00+00:00,,,,0.0,2851,0.0,0.0
2025-02-15 00:00:00+00:00,,,,0.0,3259,0.0,0.0
2025-02-16 00:00:00+00:00,,,,0.0,20905,0.0,0.0
2025-02-17 00:00:00+00:00,,,,0.0,22566,0.0,0.0
2025-02-18 00:00:00+00:00,,,,0.0,7145,0.0,0.0
