TIMESTAMP,CRS35157_OPEN_PRICE_USD,CRS35157_HIGH_PRICE_USD,CRS35157_LOW_PRICE_USD,CRS35157_CLOSE_PRICE_USD,CRS35157_VOLUME_USD,CRS35157_DIVIDENDS_USD,CRS35157_STOCK_SPLITS_USD
2025-03-04 00:00:00+00:00,7.999999979801942e-06,4.400000034365803e-05,7.999999979801942e-06,4.400000034365803e-05,0,0.0,0.0
2025-03-05 00:00:00+00:00,4.400000034365803e-05,4.8999998398358e-05,4.3000000005122274e-05,4.8999998398358e-05,0,0.0,0.0
2025-03-06 00:00:00+00:00,4.8999998398358e-05,5.700000110664405e-05,3.5000000934815034e-05,5.6000000768108293e-05,0,0.0,0.0
2025-03-07 00:00:00+00:00,5.6000000768108293e-05,5.6000000768108293e-05,5.400000009103678e-05,5.500000042957254e-05,0,0.0,0.0
2025-03-08 00:00:00+00:00,5.500000042957254e-05,5.700000110664405e-05,5.0999999075429514e-05,5.0999999075429514e-05,6374,0.0,0.0
2025-03-09 00:00:00+00:00,5.0999999075429514e-05,5.0999999075429514e-05,4.70000013592653e-05,4.70000013592653e-05,0,0.0,0.0
2025-03-10 00:00:00+00:00,4.70000013592653e-05,4.70000013592653e-05,4.3000000005122274e-05,4.3000000005122274e-05,0,0.0,0.0
2025-03-11 00:00:00+00:00,4.3000000005122274e-05,4.3000000005122274e-05,3.899999865097925e-05,3.899999865097925e-05,1862,0.0,0.0
2025-03-12 00:00:00+00:00,3.899999865097925e-05,4.70000013592653e-05,3.7999998312443495e-05,4.70000013592653e-05,0,0.0,0.0
2025-03-13 00:00:00+00:00,4.70000013592653e-05,4.8000001697801054e-05,3.9999998989515007e-05,3.9999998989515007e-05,0,0.0,0.0
2025-03-14 00:00:00+00:00,3.9999998989515007e-05,3.9999998989515007e-05,3.7000001611886546e-05,3.7000001611886546e-05,0,0.0,0.0
2025-03-15 00:00:00+00:00,3.7000001611886546e-05,3.7000001611886546e-05,3.300000025774352e-05,3.400000059627928e-05,0,0.0,0.0
2025-03-16 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,2.8000000384054147e-05,2.8000000384054147e-05,0,0.0,0.0
2025-03-17 00:00:00+00:00,2.8000000384054147e-05,2.9000000722589903e-05,2.700000004551839e-05,2.700000004551839e-05,1407,0.0,0.0
2025-03-18 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.700000004551839e-05,2.700000004551839e-05,0,0.0,0.0
