TIMESTAMP,TOYSTORY_OPEN_PRICE_USD,TOYSTORY_HIGH_PRICE_USD,TOYSTORY_LOW_PRICE_USD,TOYSTORY_CLOSE_PRICE_USD,TOYSTORY_VOLUME_USD,TOYSTORY_DIVIDENDS_USD,TOYSTORY_STOCK_SPLITS_USD
2025-04-19 00:00:00+00:00,,,,0.0,1319397,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,1111352,0.0,0.0
2025-04-21 00:00:00+00:00,,,,0.0,695390,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,12350,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,6005,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,2458,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,2692,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,1577,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,455,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,15,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,563,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,28,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,102,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,79,0.0,0.0
2025-05-04 00:00:00+00:00,,,,0.0,242,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,120,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,95,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,52,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,32,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,16,0.0,0.0
2025-06-01 00:00:00+00:00,2.085000059973488e-13,2.085000059973488e-13,1.947630018416316e-13,2.0135035674363755e-13,23,0.0,0.0
