,ETH
USDT,0.000869089634714273
QTUM,0.0027851426157410038
ETC,0.009042453311069691
LSK,0.014096150884914971
ARK,0.02615489457342274
STEEM,0.034576815467769174
XEM,0.06913289397344095
SC,0.09686839905214185
ZEN,0.09956949299726207
RLC,0.1432943811550255
FIRO,0.1498172054137365
XWC,0.15585789015194743
KMD,0.16931162581714101
MAID,0.1725231469769861
DOGE,0.19006022907118383
MONA,0.19034293969117724
BTC,0.19735970355771867
DGB,0.202474028863365
SYS,0.20413401211318655
BTS,0.20661391904005544
XRP,0.2607045057861344
CON,0.4103291768506779
GNO,0.5039556427390611
DCR,0.5817196540888683
ANT,0.6231314852857222
VERI,0.7926143454941634
