,ETH,Lag
USDT,7.115490080327555e-08,3
DOGE,2.585098885169075e-06,30
XWC,7.393094915718513e-06,23
BTC,1.954096882932132e-05,30
MAID,5.2251081422680296e-05,29
QTUM,6.487294859360967e-05,20
SC,0.0004919339401954,30
LSK,0.0009290103326749,9
ETC,0.0009502847412188,1
XEM,0.0011408717367318,14
XRP,0.002172551256869,29
RLC,0.0028741690747211,9
STEEM,0.003245328150253,26
ZEN,0.0044531010383075,27
ARK,0.0081466286058915,5
MONA,0.0132385940071464,29
KMD,0.0192520069979445,1
DGB,0.0274388474994982,3
FIRO,0.0372309641149881,30
BTS,0.0434774106729542,1
CON,0.0451820940953367,3
GNO,0.0485133006376172,28
SYS,0.0518816396409657,14
DCR,0.1891797013039255,17
ANT,0.2001466503977673,14
VERI,0.4848873627297979,6
