TIMESTAMP,EURU_OPEN_PRICE_USD,EURU_HIGH_PRICE_USD,EURU_LOW_PRICE_USD,EURU_CLOSE_PRICE_USD,EURU_VOLUME_USD,EURU_DIVIDENDS_USD,EURU_STOCK_SPLITS_USD
2020-09-05 00:00:00+00:00,1.1985780000686646,1.2180160284042358,1.1320710182189941,1.2079110145568848,957,0.0,0.0
2020-09-06 00:00:00+00:00,1.2093950510025024,1.2324010133743286,1.125553011894226,1.1972490549087524,547,0.0,0.0
2020-09-07 00:00:00+00:00,1.1972999572753906,1.2353609800338745,1.1444729566574097,1.20791494846344,1278,0.0,0.0
2020-09-08 00:00:00+00:00,1.208827018737793,1.2140790224075317,1.1348270177841187,1.1909929513931274,548,0.0,0.0
2020-09-09 00:00:00+00:00,1.1904360055923462,1.3901580572128296,1.1734869480133057,1.1766690015792847,3294,0.0,0.0
2020-09-10 00:00:00+00:00,1.1761620044708252,1.2272700071334839,1.1624900102615356,1.1995019912719727,3985,0.0,0.0
2020-09-11 00:00:00+00:00,1.2030529975891113,1.2275899648666382,1.1554499864578247,1.1895049810409546,1086,0.0,0.0
2020-09-12 00:00:00+00:00,1.189869999885559,1.2313159704208374,1.1805230379104614,1.195093035697937,4473,0.0,0.0
2020-09-13 00:00:00+00:00,1.194841980934143,1.1993839740753174,1.1265759468078613,1.1827620267868042,3003,0.0,0.0
2020-09-14 00:00:00+00:00,1.1826080083847046,1.2389090061187744,1.1752259731292725,1.187798023223877,1121,0.0,0.0
2020-09-15 00:00:00+00:00,1.187798023223877,1.2093570232391357,1.1727960109710693,1.1770130395889282,2601,0.0,0.0
2020-09-16 00:00:00+00:00,1.1769100427627563,1.217926025390625,1.170678973197937,1.1723040342330933,3860,0.0,0.0
2020-09-17 00:00:00+00:00,1.1720540523529053,1.2572180032730103,1.169510006904602,1.1765600442886353,229,0.0,0.0
2020-09-18 00:00:00+00:00,1.1760890483856201,1.1956759691238403,1.1659170389175415,1.184494972229004,4401,0.0,0.0
2020-09-19 00:00:00+00:00,1.1845959424972534,1.1951990127563477,1.1771390438079834,1.1853770017623901,3001,0.0,0.0
2020-09-20 00:00:00+00:00,1.1852589845657349,1.1952250003814697,1.148758053779602,1.193632960319519,2877,0.0,0.0
2020-09-21 00:00:00+00:00,1.193632960319519,1.2082509994506836,1.1580040454864502,1.186390995979309,2031,0.0,0.0
2020-09-22 00:00:00+00:00,1.18305504322052,1.1984540224075317,1.1532950401306152,1.1929069757461548,2220,0.0,0.0
2020-09-23 00:00:00+00:00,1.1924560070037842,1.1933560371398926,1.1468230485916138,1.1840790510177612,1261,0.0,0.0
2020-09-24 00:00:00+00:00,1.1840790510177612,1.2404179573059082,1.176393985748291,1.2004330158233643,3636,0.0,0.0
2020-09-25 00:00:00+00:00,1.2004300355911255,1.2217680215835571,1.1692960262298584,1.1715680360794067,6358,0.0,0.0
