TIMESTAMP,GOAT33814_OPEN_PRICE_USD,GOAT33814_HIGH_PRICE_USD,GOAT33814_LOW_PRICE_USD,GOAT33814_CLOSE_PRICE_USD,GOAT33814_VOLUME_USD,GOAT33814_DIVIDENDS_USD,GOAT33814_STOCK_SPLITS_USD
2024-11-05 00:00:00+00:00,1.700000029813964e-05,1.8999999156221747e-05,1.4000000192027073e-05,1.700000029813964e-05,257172,0.0,0.0
2024-11-06 00:00:00+00:00,1.700000029813964e-05,2.9999999242136255e-05,1.4999999621068127e-05,2.499999936844688e-05,426286,0.0,0.0
2024-11-07 00:00:00+00:00,2.499999936844688e-05,2.9000000722589903e-05,1.8999999156221747e-05,1.9999999494757503e-05,301008,0.0,0.0
2024-11-08 00:00:00+00:00,1.9999999494757503e-05,2.4000000848900527e-05,1.5999999959603883e-05,1.700000029813964e-05,324631,0.0,0.0
2024-11-09 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.4000000192027073e-05,1.5999999959603883e-05,179394,0.0,0.0
2024-11-10 00:00:00+00:00,1.5999999959603883e-05,2.2000000171829015e-05,1.4000000192027073e-05,1.9999999494757503e-05,365587,0.0,0.0
2024-11-11 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.2999999853491317e-05,1.4999999621068127e-05,258647,0.0,0.0
2024-11-12 00:00:00+00:00,1.4999999621068127e-05,2.099999983329326e-05,1.4000000192027073e-05,1.700000029813964e-05,274334,0.0,0.0
2024-11-13 00:00:00+00:00,1.700000029813964e-05,1.9999999494757503e-05,1.2999999853491317e-05,1.4999999621068127e-05,214087,0.0,0.0
2024-11-14 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,1.1000000085914508e-05,1.2000000424450263e-05,246598,0.0,0.0
2024-11-15 00:00:00+00:00,1.2000000424450263e-05,1.4000000192027073e-05,9.000000318337698e-06,1.4000000192027073e-05,174028,0.0,0.0
2024-11-16 00:00:00+00:00,1.2999999853491317e-05,1.8999999156221747e-05,1.1000000085914508e-05,1.1000000085914508e-05,304455,0.0,0.0
2024-11-17 00:00:00+00:00,1.1000000085914508e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.1000000085914508e-05,96747,0.0,0.0
2024-11-18 00:00:00+00:00,1.1000000085914508e-05,1.4999999621068127e-05,1.1000000085914508e-05,1.4000000192027073e-05,159782,0.0,0.0
2024-11-19 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.2999999853491317e-05,88301,0.0,0.0
2024-11-20 00:00:00+00:00,1.2999999853491317e-05,2.2000000171829015e-05,1.2999999853491317e-05,1.8999999156221747e-05,345665,0.0,0.0
2024-11-21 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.2000000424450263e-05,1.4000000192027073e-05,244595,0.0,0.0
2024-11-22 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.4000000192027073e-05,87888,0.0,0.0
2024-11-23 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.2999999853491317e-05,161114,0.0,0.0
2024-11-24 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,9.999999747378752e-06,1.1000000085914508e-05,141089,0.0,0.0
2024-11-25 00:00:00+00:00,1.1000000085914508e-05,1.2999999853491317e-05,9.999999747378752e-06,1.1000000085914508e-05,76039,0.0,0.0
2024-11-26 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,9.999999747378752e-06,9.999999747378752e-06,68419,0.0,0.0
2024-11-27 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,9.999999747378752e-06,1.1000000085914508e-05,44375,0.0,0.0
2024-11-28 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,7.999999979801942e-06,7.999999979801942e-06,56581,0.0,0.0
2024-11-29 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,95101,0.0,0.0
2024-11-30 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,9.000000318337698e-06,9.999999747378752e-06,73000,0.0,0.0
2024-12-01 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,46287,0.0,0.0
2024-12-02 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.999999979801942e-06,7.999999979801942e-06,39761,0.0,0.0
2024-12-03 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.000000096013537e-06,7.000000096013537e-06,67161,0.0,0.0
2024-12-04 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,60278,0.0,0.0
2024-12-05 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,51380,0.0,0.0
2024-12-06 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,7.000000096013537e-06,9.000000318337698e-06,63258,0.0,0.0
2024-12-07 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,9.000000318337698e-06,9.000000318337698e-06,38440,0.0,0.0
2024-12-08 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,9.000000318337698e-06,1.1000000085914508e-05,32449,0.0,0.0
2024-12-09 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,9.000000318337698e-06,9.999999747378752e-06,65578,0.0,0.0
2024-12-10 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,9.999999747378752e-06,1.1000000085914508e-05,31622,0.0,0.0
2024-12-11 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,9.000000318337698e-06,1.2000000424450263e-05,55051,0.0,0.0
2024-12-12 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,9.000000318337698e-06,9.000000318337698e-06,51193,0.0,0.0
2024-12-13 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,9.000000318337698e-06,9.000000318337698e-06,62830,0.0,0.0
2024-12-14 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.000000096013537e-06,7.999999979801942e-06,44045,0.0,0.0
2024-12-15 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,32365,0.0,0.0
2024-12-16 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.999999979801942e-06,9.000000318337698e-06,41119,0.0,0.0
2024-12-17 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,7.999999979801942e-06,7.999999979801942e-06,52631,0.0,0.0
2024-12-18 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,30665,0.0,0.0
2024-12-19 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,7.000000096013537e-06,56784,0.0,0.0
