TIMESTAMP,BTS_OPEN_PRICE_USDT,BTS_HIGH_PRICE_USDT,BTS_LOW_PRICE_USDT,BTS_CLOSE_PRICE_USDT,BTS_FIRST_TRADE_PRICE_USDT,BTS_HIGH_TRADE_PRICE_USDT,BTS_LOW_TRADE_PRICE_USDT,BTS_LAST_TRADE_PRICE_USDT,BTS_TOTAL_TRADE_COUNT,BTS_TOTAL_TRADES_BUY,BTS_TOTAL_TRADES_SELL,BTS_VOLUME_USDT,BTS_QUOTE_VOLUME,BTS_VOLUME_BUY,BTS_QUOTE_VOLUME_BUY,BTS_VOLUME_SELL,BTS_QUOTE_VOLUME_SELL
2020-02-06,0.03155,0.08918,0.03097,0.03227,0.03155,0.08918,0.03097,0.03227,990,440,550,4306221.0,139558.671407,1629556.4,52363.881912,2676664.6,87194.789495
2020-02-07,0.03227,0.03278,0.03101,0.03223,0.03211,0.03278,0.03101,0.03223,1070,639,431,3572393.5,113750.88361,1952835.7,62139.682461,1619557.8,51611.201149
2020-02-08,0.03223,0.03267,0.02933,0.03129,0.032,0.03267,0.02933,0.03129,848,417,431,1969773.0,61716.967303,774500.4,24411.67373,1195272.6,37305.293573
2020-02-09,0.03129,0.03945,0.03129,0.0362,0.0314,0.03945,0.03139,0.0362,4073,2058,2015,11220634.7,396404.0551,4339982.7,153263.963121,6880652.0,243140.091979
2020-02-10,0.0362,0.03727,0.03299,0.03438,0.03642,0.03727,0.03299,0.03438,1768,1012,756,5603569.6,194795.796736,2722706.2,94174.330062,2880863.4,100621.466674
2020-02-11,0.03438,0.0369,0.033,0.03653,0.03438,0.0369,0.033,0.03653,1438,855,583,3241567.9,112372.784411,1314325.7,46024.728893,1927242.2,66348.055518
2020-02-12,0.03653,0.03716,0.03524,0.03574,0.03666,0.03716,0.03524,0.03574,1111,570,541,3826345.8,138212.741232,1625909.3,58734.623429,2200436.5,79478.117803
2020-02-13,0.03574,0.04234,0.03509,0.03954,0.03574,0.04234,0.03509,0.03954,3925,2218,1707,11944726.5,462285.298909,5377795.3,208075.300577,6566931.2,254209.998332
2020-02-14,0.03954,0.0409,0.03795,0.03995,0.03903,0.0409,0.03795,0.03995,1708,939,769,5043942.2,197023.124431,2402445.3,94173.210685,2641496.9,102849.913746
2020-02-15,0.03995,0.04,0.03266,0.03458,0.03997,0.04,0.03266,0.03458,2499,959,1540,5782284.4,211779.610496,2376069.5,87252.567589,3406214.9,124527.042907
2020-02-16,0.03458,0.03688,0.03004,0.03308,0.03458,0.03688,0.03004,0.03308,1648,830,818,4097587.5,137736.440766,1944843.5,65596.881485,2152744.0,72139.559281
2020-02-17,0.03308,0.03368,0.02943,0.03268,0.03309,0.03368,0.02943,0.03268,1593,883,710,3766417.3,117158.909469,2376287.5,73589.217279,1390129.8,43569.69219
2020-02-18,0.03268,0.03395,0.03136,0.0336,0.03298,0.03395,0.03136,0.0336,944,525,419,1875113.4,61466.178522,1042985.5,34236.835142,832127.9,27229.34338
2020-02-19,0.0336,0.03395,0.03045,0.03099,0.0336,0.03395,0.03045,0.03099,684,317,367,1382224.8,45545.025552,718088.1,23646.915597,664136.7,21898.109955
2020-02-20,0.03099,0.03158,0.03,0.03095,0.03096,0.03158,0.03,0.03095,318,154,164,915034.7,28250.636338,389722.6,12056.348588,525312.1,16194.28775
2020-02-21,0.03095,0.03273,0.03095,0.03187,0.031,0.03273,0.031,0.03187,558,332,226,1209723.5,38568.598242,616582.2,19688.913052,593141.3,18879.68519
2020-02-22,0.03187,0.03228,0.03101,0.03173,0.03155,0.03228,0.03101,0.03173,383,194,189,1065391.7,33455.670243,572706.4,17971.042257,492685.3,15484.627986
2020-02-23,0.03173,0.03313,0.03158,0.03248,0.03158,0.03313,0.03158,0.03248,458,283,175,1080630.4,35169.131963,632459.1,20597.013498,448171.3,14572.118465
2020-02-24,0.03248,0.03297,0.03069,0.03131,0.03278,0.03297,0.03069,0.03131,543,254,289,1270807.3,40376.25993,446165.7,14187.016411,824641.6,26189.243519
2020-02-25,0.03131,0.03131,0.02843,0.02877,0.03117,0.03121,0.02843,0.02877,510,212,298,1041434.8,30754.886458,381020.0,11374.279745,660414.8,19380.606713
2020-02-26,0.02877,0.02894,0.02227,0.02423,0.02884,0.02894,0.02227,0.02423,1743,872,871,6387223.6,160202.241175,3366207.5,84547.905214,3021016.1,75654.335961
2020-02-27,0.02423,0.02589,0.02235,0.02478,0.02375,0.02589,0.02235,0.02478,722,316,406,2091722.0,50782.261922,860132.7,20904.183873,1231589.3,29878.078049
2020-02-28,0.02478,0.02548,0.02309,0.02416,0.02474,0.02548,0.02309,0.02416,353,187,166,918351.0,22246.432327,563738.3,13706.877044,354612.7,8539.555283
2020-02-29,0.02416,0.02565,0.02408,0.02411,0.02433,0.02565,0.02408,0.02411,330,179,151,1051439.7,26101.222601,541596.4,13491.983237,509843.3,12609.239364
2020-03-01,0.02411,0.02502,0.02393,0.02424,0.02427,0.02502,0.02393,0.02424,222,127,95,695269.4,16980.837633,463497.4,11332.881447,231772.0,5647.956186
2020-03-02,0.02424,0.0267,0.02423,0.02568,0.02428,0.0267,0.02423,0.02568,629,467,162,1127775.9,28510.897344,710603.2,18029.88696,417172.7,10481.010384
2020-03-03,0.02568,0.02618,0.02509,0.02543,0.02546,0.02618,0.02509,0.02543,411,223,188,1447924.6,36933.426218,862221.2,22008.42836,585703.4,14924.997858
2020-03-04,0.02543,0.02609,0.02516,0.02564,0.02564,0.02609,0.02516,0.02564,245,133,112,765036.4,19520.108324,425455.5,10852.277708,339580.9,8667.830616
2020-03-05,0.02564,0.02823,0.0255,0.02666,0.02564,0.02823,0.0255,0.02666,940,612,328,2403764.4,63667.044887,1098865.6,29128.624334,1304898.8,34538.420553
2020-03-06,0.02666,0.0273,0.02588,0.02632,0.0267,0.0273,0.02588,0.02632,629,316,313,2216511.8,58945.70708,1040513.1,27705.945465,1175998.7,31239.761615
2020-03-07,0.02632,0.02705,0.02546,0.02591,0.02661,0.02705,0.02546,0.02591,500,251,249,1546746.2,40857.644881,893572.9,23522.54423,653173.3,17335.100651
2020-03-08,0.02591,0.02591,0.02102,0.02154,0.02564,0.02564,0.02102,0.02154,1191,528,663,4223338.5,98530.007735,1676838.7,38607.246976,2546499.8,59922.760759
2020-03-09,0.02154,0.0226,0.02024,0.02144,0.02169,0.0226,0.02024,0.02144,542,216,326,1525038.3,32513.100699,586240.8,12497.627362,938797.5,20015.473337
2020-03-10,0.02144,0.02196,0.0208,0.02123,0.02141,0.02196,0.0208,0.02123,390,196,194,936621.6,19982.887187,405756.3,8703.746313,530865.3,11279.140874
2020-03-11,0.02123,0.02149,0.01883,0.0201,0.02129,0.02149,0.01883,0.0201,691,246,445,1830664.2,36552.435758,592788.5,11848.306374,1237875.7,24704.129384
2020-03-12,0.0201,0.02062,0.01117,0.01193,0.02016,0.02062,0.01117,0.01193,1283,529,754,5467925.7,85220.503833,2337133.3,37388.608133,3130792.4,47831.8957
2020-03-13,0.01193,0.01897,0.00875,0.01523,0.01485,0.01897,0.00875,0.01523,874,396,478,4545932.5,65472.252853,1769303.3,26069.04412,2776629.2,39403.208733
2020-03-14,0.01523,0.01604,0.01433,0.0145,0.01557,0.01604,0.01433,0.0145,790,536,254,3495996.2,52472.991448,2002682.4,30046.013104,1493313.8,22426.978344
2020-03-15,0.0145,0.01921,0.0144,0.01506,0.01459,0.01921,0.0144,0.01506,313,166,147,1456824.2,22201.097062,702188.9,10863.529017,754635.3,11337.568045
2020-03-16,0.01506,0.01516,0.0125,0.01307,0.01516,0.01516,0.0125,0.01307,594,280,314,2215925.0,30383.93771,1108700.9,15101.675048,1107224.1,15282.262662
2020-03-17,0.01307,0.01477,0.01275,0.01451,0.01316,0.01477,0.01275,0.01451,510,257,253,2492955.5,33265.318909,971815.7,13166.057909,1521139.8,20099.261
2020-03-18,0.01451,0.01475,0.01328,0.01463,0.0143,0.01475,0.01328,0.01463,412,226,186,1201182.1,16741.863706,653636.5,9142.581187,547545.6,7599.282519
2020-03-19,0.01463,0.01794,0.01,0.01693,0.01478,0.01794,0.01,0.01693,2245,1284,961,8293112.4,135284.181247,3961143.5,64924.789897,4331968.9,70359.39135
2020-03-20,0.01693,0.01894,0.01595,0.0171,0.01692,0.01894,0.01595,0.0171,863,417,446,2512720.5,43939.422748,1015876.3,17968.70496,1496844.2,25970.717788
2020-03-21,0.0171,0.01921,0.01598,0.01688,0.01695,0.01921,0.01598,0.01688,636,349,287,2089534.1,35074.140787,946912.4,16077.937363,1142621.7,18996.203424
2020-03-22,0.01688,0.01854,0.01525,0.01577,0.01692,0.01854,0.01525,0.01577,742,488,254,2300456.6,39922.884367,1068887.3,18677.218554,1231569.3,21245.665813
2020-03-23,0.01577,0.01798,0.01536,0.01727,0.01557,0.01798,0.01536,0.01727,463,312,151,1043223.7,17855.484018,562495.1,9684.586544,480728.6,8170.897474
2020-03-24,0.01727,0.01797,0.01632,0.01715,0.01745,0.01797,0.01632,0.01715,475,263,212,2251933.0,38426.54404,988557.0,16935.924518,1263376.0,21490.619522
2020-03-25,0.01715,0.0173,0.01595,0.01653,0.01699,0.0173,0.01595,0.01653,420,229,191,1163881.8,19268.834052,516527.6,8578.591571,647354.2,10690.242481
2020-03-26,0.01653,0.01678,0.01593,0.01663,0.01659,0.01678,0.01593,0.01663,400,181,219,1452571.1,23740.36144,474955.8,7812.951854,977615.3,15927.409586
2020-03-27,0.01663,0.01708,0.0123,0.01599,0.01664,0.01708,0.0123,0.01599,421,198,223,2028750.7,31788.343309,831494.8,12935.56969,1197255.9,18852.773619
2020-03-28,0.01599,0.01664,0.01503,0.01601,0.01582,0.01664,0.01503,0.01601,916,581,335,2210678.8,35075.160701,1053994.8,16851.587017,1156684.0,18223.573684
2020-03-29,0.01601,0.01675,0.01507,0.01518,0.01618,0.01675,0.01507,0.01518,1585,802,783,8360260.7,132661.125197,3355909.8,52925.391379,5004350.9,79735.733818
2020-03-30,0.01518,0.01687,0.01506,0.01584,0.01521,0.01687,0.01506,0.01584,422,256,166,1793999.8,28724.40926,1040874.1,16625.440285,753125.7,12098.968975
2020-03-31,0.01584,0.0168,0.01584,0.01613,0.01603,0.0168,0.01588,0.01613,496,265,231,1561906.4,25483.893356,965946.4,15845.199959,595960.0,9638.693397
2020-04-01,0.01613,0.01673,0.01573,0.01643,0.01608,0.01673,0.01573,0.01643,281,122,159,1239107.4,19896.276775,347213.7,5591.56428,891893.7,14304.712495
2020-04-02,0.01643,0.01754,0.01633,0.01693,0.01648,0.01754,0.01633,0.01693,686,428,258,2416463.3,40534.96639,1272234.1,21375.075576,1144229.2,19159.890814
2020-04-03,0.01693,0.0176,0.01639,0.0168,0.0169,0.0176,0.01639,0.0168,340,150,190,1356835.3,23043.099405,562313.3,9576.867726,794522.0,13466.231679
2020-04-04,0.0168,0.01799,0.01672,0.01783,0.01683,0.01799,0.01672,0.01783,728,398,330,3026713.8,52007.81486,1096891.7,18983.923262,1929822.1,33023.891598
2020-04-05,0.01783,0.01828,0.017,0.0173,0.01768,0.01828,0.017,0.0173,870,460,410,3772997.0,66620.531795,1472762.4,25970.514825,2300234.6,40650.01697
2020-04-06,0.0173,0.01879,0.0172,0.01862,0.01721,0.01879,0.0172,0.01862,595,352,243,1989286.7,35367.225301,985988.1,17629.887968,1003298.6,17737.337333
2020-04-07,0.01862,0.01924,0.01862,0.01896,0.01879,0.01924,0.01874,0.01896,36,24,12,50961.4,968.188382,26059.2,495.73054,24902.2,472.457842
2020-04-08,0.01896,0.01896,0.01896,0.01896,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,0.01896,0.01896,0.01811,0.01863,0.01855,0.01882,0.01811,0.01863,206,98,108,484503.5,8965.945864,230507.3,4267.852312,253996.2,4698.093552
2020-04-10,0.01863,0.01863,0.01654,0.01722,0.01848,0.0185,0.01654,0.01722,418,173,245,1272205.2,22132.776156,564819.6,9855.806992,707385.6,12276.969164
2020-04-11,0.01722,0.0176,0.01684,0.01712,0.01728,0.0176,0.01684,0.01712,335,206,129,981770.9,16894.648467,585766.4,10108.003488,396004.5,6786.644979
2020-04-12,0.01712,0.01771,0.0168,0.01704,0.01712,0.01771,0.0168,0.01704,269,136,133,966355.9,16641.270961,445753.6,7703.138821,520602.3,8938.13214
