TIMESTAMP,DNAAI_OPEN_PRICE_USD,DNAAI_HIGH_PRICE_USD,DNAAI_LOW_PRICE_USD,DNAAI_CLOSE_PRICE_USD,DNAAI_VOLUME_USD,DNAAI_DIVIDENDS_USD,DNAAI_STOCK_SPLITS_USD
2025-01-31 00:00:00+00:00,,,,0.0,304,0.0,0.0
2025-02-01 00:00:00+00:00,,,,0.0,77,0.0,0.0
2025-02-02 00:00:00+00:00,,,,0.0,85,0.0,0.0
2025-02-03 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-02-04 00:00:00+00:00,,,,0.0,29,0.0,0.0
2025-02-05 00:00:00+00:00,,,,0.0,63,0.0,0.0
2025-02-06 00:00:00+00:00,,,,0.0,190,0.0,0.0
2025-02-07 00:00:00+00:00,,,,0.0,17,0.0,0.0
2025-02-08 00:00:00+00:00,,,,0.0,126,0.0,0.0
2025-02-09 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-02-10 00:00:00+00:00,,,,0.0,95,0.0,0.0
2025-02-11 00:00:00+00:00,,,,0.0,272,0.0,0.0
2025-02-12 00:00:00+00:00,,,,0.0,529,0.0,0.0
2025-02-13 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-02-14 00:00:00+00:00,,,,0.0,21,0.0,0.0
2025-02-15 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-02-16 00:00:00+00:00,,,,0.0,8,0.0,0.0
2025-02-17 00:00:00+00:00,,,,0.0,25,0.0,0.0
2025-02-18 00:00:00+00:00,,,,0.0,2094,0.0,0.0
2025-02-19 00:00:00+00:00,,,,0.0,36,0.0,0.0
2025-02-20 00:00:00+00:00,,,,0.0,22,0.0,0.0
2025-02-21 00:00:00+00:00,,,,0.0,398,0.0,0.0
2025-02-22 00:00:00+00:00,,,,0.0,310,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,151,0.0,0.0
2025-02-25 00:00:00+00:00,,,,0.0,112,0.0,0.0
2025-02-26 00:00:00+00:00,,,,0.0,187,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,18,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,92,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,373,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,298,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,8,0.0,0.0
2025-03-17 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-03-23 00:00:00+00:00,,,,0.0,19,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-06-01 00:00:00+00:00,1.0194900072800842e-13,1.0194900072800842e-13,9.973899690093185e-14,9.973911887367626e-14,1,0.0,0.0
