TIMESTAMP,FLOKITA_OPEN_PRICE_USD,FLOKITA_HIGH_PRICE_USD,FLOKITA_LOW_PRICE_USD,FLOKITA_CLOSE_PRICE_USD,FLOKITA_VOLUME_USD,FLOKITA_DIVIDENDS_USD,FLOKITA_STOCK_SPLITS_USD
2024-03-13 00:00:00+00:00,1.2999999853491317e-05,3.7000001611886546e-05,1.1000000085914508e-05,3.600000127335079e-05,4362074,0.0,0.0
2024-03-14 00:00:00+00:00,3.600000127335079e-05,6.600000051548705e-05,2.8000000384054147e-05,5.6000000768108293e-05,6806356,0.0,0.0
2024-03-15 00:00:00+00:00,5.6000000768108293e-05,9.600000339560211e-05,4.400000034365803e-05,8.800000068731606e-05,7132123,0.0,0.0
2024-03-16 00:00:00+00:00,8.600000001024455e-05,9.100000170292333e-05,5.500000042957254e-05,5.6000000768108293e-05,5473481,0.0,0.0
2024-03-17 00:00:00+00:00,5.6000000768108293e-05,7.899999764049426e-05,4.8000001697801054e-05,6.70000008540228e-05,3570602,0.0,0.0
2024-03-18 00:00:00+00:00,6.500000017695129e-05,7.999999797903001e-05,5.6000000768108293e-05,6.299999949987978e-05,3047312,0.0,0.0
2024-03-19 00:00:00+00:00,5.999999848427251e-05,7.699999696342275e-05,4.999999873689376e-05,6.900000153109431e-05,3168471,0.0,0.0
2024-03-20 00:00:00+00:00,6.900000153109431e-05,8.800000068731606e-05,6.299999949987978e-05,8.299999899463728e-05,3627305,0.0,0.0
2024-03-21 00:00:00+00:00,8.299999899463728e-05,8.499999967170879e-05,6.299999949987978e-05,7.100000220816582e-05,2083525,0.0,0.0
2024-03-22 00:00:00+00:00,7.100000220816582e-05,9.600000339560211e-05,6.800000119255856e-05,7.699999696342275e-05,3303733,0.0,0.0
2024-03-23 00:00:00+00:00,7.699999696342275e-05,8.199999865610152e-05,6.70000008540228e-05,7.79999973019585e-05,1552211,0.0,0.0
2024-03-24 00:00:00+00:00,7.79999973019585e-05,8.499999967170879e-05,7.300000288523734e-05,7.699999696342275e-05,1300534,0.0,0.0
2024-03-25 00:00:00+00:00,7.699999696342275e-05,7.79999973019585e-05,5.500000042957254e-05,5.900000178371556e-05,2785101,0.0,0.0
2024-03-26 00:00:00+00:00,5.900000178371556e-05,6.0999998822808266e-05,3.099999958067201e-05,4.999999873689376e-05,3625741,0.0,0.0
2024-03-27 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,3.600000127335079e-05,4.199999966658652e-05,1845865,0.0,0.0
2024-03-28 00:00:00+00:00,4.199999966658652e-05,4.8999998398358e-05,3.300000025774352e-05,4.600000102072954e-05,1336346,0.0,0.0
2024-03-29 00:00:00+00:00,4.600000102072954e-05,7.400000322377309e-05,4.3000000005122274e-05,7.000000186963007e-05,2614672,0.0,0.0
