TIMESTAMP,DOGE-1_OPEN_PRICE_USD,DOGE-1_HIGH_PRICE_USD,DOGE-1_LOW_PRICE_USD,DOGE-1_CLOSE_PRICE_USD,DOGE-1_VOLUME_USD,DOGE-1_DIVIDENDS_USD,DOGE-1_STOCK_SPLITS_USD
2022-02-10 00:00:00+00:00,,,,0.0,1229755,0.0,0.0
2022-02-11 00:00:00+00:00,,,,0.0,810854,0.0,0.0
2022-02-12 00:00:00+00:00,,,,0.0,295551,0.0,0.0
2022-02-13 00:00:00+00:00,,,,0.0,102106,0.0,0.0
2022-02-14 00:00:00+00:00,,,,0.0,83947,0.0,0.0
2022-02-15 00:00:00+00:00,,,,0.0,148357,0.0,0.0
2022-02-16 00:00:00+00:00,,,,0.0,176442,0.0,0.0
2022-02-17 00:00:00+00:00,,,,0.0,167889,0.0,0.0
2022-02-18 00:00:00+00:00,,,,0.0,100684,0.0,0.0
2022-02-19 00:00:00+00:00,,,,0.0,69291,0.0,0.0
2022-02-20 00:00:00+00:00,,,,0.0,35139,0.0,0.0
2022-02-21 00:00:00+00:00,,,,0.0,45649,0.0,0.0
2022-02-22 00:00:00+00:00,,,,0.0,61587,0.0,0.0
2022-02-23 00:00:00+00:00,,,,0.0,43514,0.0,0.0
2022-02-24 00:00:00+00:00,,,,0.0,46396,0.0,0.0
2022-02-25 00:00:00+00:00,,,,0.0,37110,0.0,0.0
2022-02-26 00:00:00+00:00,,,,0.0,16408,0.0,0.0
2022-02-27 00:00:00+00:00,,,,0.0,18409,0.0,0.0
2022-02-28 00:00:00+00:00,,,,0.0,14030,0.0,0.0
2022-03-01 00:00:00+00:00,,,,0.0,14965,0.0,0.0
2022-03-02 00:00:00+00:00,,,,0.0,17283,0.0,0.0
2022-03-03 00:00:00+00:00,,,,0.0,11576,0.0,0.0
2022-03-04 00:00:00+00:00,,,,0.0,30125,0.0,0.0
2022-03-05 00:00:00+00:00,,,,0.0,28076,0.0,0.0
2022-03-06 00:00:00+00:00,,,,0.0,4330,0.0,0.0
2022-03-07 00:00:00+00:00,,,,0.0,3412,0.0,0.0
2022-03-08 00:00:00+00:00,,,,0.0,4067,0.0,0.0
2022-03-09 00:00:00+00:00,,,,0.0,2220,0.0,0.0
2022-03-10 00:00:00+00:00,,,,0.0,7088,0.0,0.0
2022-03-11 00:00:00+00:00,,,,0.0,8680,0.0,0.0
2022-03-12 00:00:00+00:00,,,,0.0,8680,0.0,0.0
2022-03-13 00:00:00+00:00,,,,0.0,9436,0.0,0.0
2022-03-14 00:00:00+00:00,,,,0.0,10079,0.0,0.0
2022-03-15 00:00:00+00:00,,,,0.0,12044,0.0,0.0
2022-03-16 00:00:00+00:00,,,,0.0,7091,0.0,0.0
2022-03-17 00:00:00+00:00,,,,0.0,4719,0.0,0.0
2022-03-18 00:00:00+00:00,,,,0.0,5134,0.0,0.0
2022-03-19 00:00:00+00:00,,,,0.0,4294,0.0,0.0
2022-03-20 00:00:00+00:00,,,,0.0,3508,0.0,0.0
2022-03-21 00:00:00+00:00,,,,0.0,3417,0.0,0.0
2022-03-22 00:00:00+00:00,,,,0.0,10368,0.0,0.0
2022-03-23 00:00:00+00:00,,,,0.0,11287,0.0,0.0
2022-03-24 00:00:00+00:00,,,,0.0,5285,0.0,0.0
2022-03-25 00:00:00+00:00,,,,0.0,14006,0.0,0.0
