TIMESTAMP,BCAT_OPEN_PRICE_USD,BCAT_HIGH_PRICE_USD,BCAT_LOW_PRICE_USD,BCAT_CLOSE_PRICE_USD,BCAT_VOLUME_USD,BCAT_DIVIDENDS_USD,BCAT_STOCK_SPLITS_USD
2022-09-06 00:00:00+00:00,,,,0.0,499009,0.0,0.0
2022-09-07 00:00:00+00:00,,,,0.0,1325159,0.0,0.0
2022-09-08 00:00:00+00:00,,,,0.0,947365,0.0,0.0
2022-09-09 00:00:00+00:00,,,,0.0,441090,0.0,0.0
2022-09-10 00:00:00+00:00,,,,0.0,327199,0.0,0.0
2022-09-11 00:00:00+00:00,,,,0.0,107908,0.0,0.0
2022-09-12 00:00:00+00:00,,,,0.0,102167,0.0,0.0
2022-09-13 00:00:00+00:00,,,,0.0,66287,0.0,0.0
2022-09-14 00:00:00+00:00,,,,0.0,66029,0.0,0.0
2022-09-15 00:00:00+00:00,,,,0.0,122985,0.0,0.0
2022-09-16 00:00:00+00:00,,,,0.0,134767,0.0,0.0
2022-09-17 00:00:00+00:00,,,,0.0,51361,0.0,0.0
2022-09-18 00:00:00+00:00,,,,0.0,132356,0.0,0.0
2022-09-19 00:00:00+00:00,,,,0.0,80043,0.0,0.0
2022-09-20 00:00:00+00:00,,,,0.0,72336,0.0,0.0
2022-09-21 00:00:00+00:00,,,,0.0,73032,0.0,0.0
2022-09-22 00:00:00+00:00,,,,0.0,25808,0.0,0.0
2022-09-23 00:00:00+00:00,,,,0.0,165439,0.0,0.0
2022-09-24 00:00:00+00:00,,,,0.0,252727,0.0,0.0
2022-09-25 00:00:00+00:00,,,,0.0,422213,0.0,0.0
2022-09-26 00:00:00+00:00,,,,0.0,201241,0.0,0.0
2022-09-27 00:00:00+00:00,,,,0.0,117058,0.0,0.0
2022-09-28 00:00:00+00:00,,,,0.0,86795,0.0,0.0
2022-09-29 00:00:00+00:00,,,,0.0,108222,0.0,0.0
2022-09-30 00:00:00+00:00,,,,0.0,162751,0.0,0.0
2022-10-01 00:00:00+00:00,,,,0.0,224546,0.0,0.0
2022-10-02 00:00:00+00:00,,,,0.0,76588,0.0,0.0
2022-10-03 00:00:00+00:00,,,,0.0,96143,0.0,0.0
2022-10-04 00:00:00+00:00,,,,0.0,84424,0.0,0.0
2022-10-05 00:00:00+00:00,,,,0.0,62246,0.0,0.0
2022-10-06 00:00:00+00:00,,,,0.0,151093,0.0,0.0
2022-10-07 00:00:00+00:00,,,,0.0,79117,0.0,0.0
2022-10-08 00:00:00+00:00,,,,0.0,638023,0.0,0.0
2022-10-09 00:00:00+00:00,,,,0.0,246247,0.0,0.0
2022-10-10 00:00:00+00:00,,,,0.0,79524,0.0,0.0
2022-10-11 00:00:00+00:00,,,,0.0,69951,0.0,0.0
2022-10-12 00:00:00+00:00,,,,0.0,41365,0.0,0.0
2022-10-13 00:00:00+00:00,,,,0.0,57818,0.0,0.0
2022-10-14 00:00:00+00:00,,,,0.0,38167,0.0,0.0
2022-10-15 00:00:00+00:00,,,,0.0,42141,0.0,0.0
2022-10-16 00:00:00+00:00,,,,0.0,117593,0.0,0.0
2022-10-17 00:00:00+00:00,,,,0.0,55801,0.0,0.0
2022-10-18 00:00:00+00:00,,,,0.0,66886,0.0,0.0
2022-10-19 00:00:00+00:00,,,,0.0,19215,0.0,0.0
2022-10-20 00:00:00+00:00,,,,0.0,10588,0.0,0.0
2022-10-21 00:00:00+00:00,,,,0.0,8189,0.0,0.0
