TIMESTAMP,COK_OPEN_PRICE_USD,COK_HIGH_PRICE_USD,COK_LOW_PRICE_USD,COK_CLOSE_PRICE_USD,COK_VOLUME_USD,COK_DIVIDENDS_USD,COK_STOCK_SPLITS_USD
2024-06-12 00:00:00+00:00,2.099999983329326e-05,2.700000004551839e-05,1.8999999156221747e-05,2.099999983329326e-05,2210985,0.0,0.0
2024-06-13 00:00:00+00:00,2.099999983329326e-05,2.499999936844688e-05,1.8000000636675395e-05,2.300000051036477e-05,2133570,0.0,0.0
2024-06-14 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,1.9999999494757503e-05,2.099999983329326e-05,1925940,0.0,0.0
2024-06-15 00:00:00+00:00,2.099999983329326e-05,2.4000000848900527e-05,1.8999999156221747e-05,2.300000051036477e-05,1638790,0.0,0.0
2024-06-16 00:00:00+00:00,2.300000051036477e-05,2.5999999706982635e-05,1.9999999494757503e-05,2.099999983329326e-05,1902289,0.0,0.0
2024-06-17 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,1.4999999621068127e-05,1.8999999156221747e-05,1139076,0.0,0.0
2024-06-18 00:00:00+00:00,1.700000029813964e-05,1.8999999156221747e-05,1.1000000085914508e-05,1.5999999959603883e-05,1915212,0.0,0.0
2024-06-19 00:00:00+00:00,1.5999999959603883e-05,1.8000000636675395e-05,9.000000318337698e-06,9.999999747378752e-06,1948665,0.0,0.0
2024-06-20 00:00:00+00:00,9.999999747378752e-06,1.2999999853491317e-05,9.000000318337698e-06,1.2000000424450263e-05,3289588,0.0,0.0
2024-06-21 00:00:00+00:00,1.2000000424450263e-05,1.4000000192027073e-05,9.999999747378752e-06,1.1000000085914508e-05,1173002,0.0,0.0
2024-06-22 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,7.999999979801942e-06,7.999999979801942e-06,866601,0.0,0.0
2024-06-23 00:00:00+00:00,7.999999979801942e-06,1.2999999853491317e-05,7.999999979801942e-06,9.999999747378752e-06,852731,0.0,0.0
2024-06-24 00:00:00+00:00,9.999999747378752e-06,1.4000000192027073e-05,9.000000318337698e-06,9.999999747378752e-06,717217,0.0,0.0
2024-06-25 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,9.999999747378752e-06,1.1000000085914508e-05,773436,0.0,0.0
2024-06-26 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.000000318337698e-06,9.000000318337698e-06,828110,0.0,0.0
2024-06-27 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,709303,0.0,0.0
2024-06-28 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,4.999999873689376e-06,7.999999979801942e-06,1161908,0.0,0.0
