TIMESTAMP,AMC31871_OPEN_PRICE_USD,AMC31871_HIGH_PRICE_USD,AMC31871_LOW_PRICE_USD,AMC31871_CLOSE_PRICE_USD,AMC31871_VOLUME_USD,AMC31871_DIVIDENDS_USD,AMC31871_STOCK_SPLITS_USD
2024-06-18 00:00:00+00:00,,,,0.0,2759143,0.0,0.0
2024-06-19 00:00:00+00:00,,,,0.0,2265791,0.0,0.0
2024-06-20 00:00:00+00:00,,,,0.0,2849054,0.0,0.0
2024-06-21 00:00:00+00:00,,,,0.0,1937280,0.0,0.0
2024-06-22 00:00:00+00:00,,,,0.0,1560305,0.0,0.0
2024-06-23 00:00:00+00:00,,,,0.0,1204400,0.0,0.0
2024-06-24 00:00:00+00:00,,,,0.0,1389904,0.0,0.0
2024-06-25 00:00:00+00:00,,,,0.0,1113687,0.0,0.0
2024-06-26 00:00:00+00:00,,,,0.0,1632524,0.0,0.0
2024-06-27 00:00:00+00:00,,,,0.0,1651031,0.0,0.0
2024-06-28 00:00:00+00:00,,,,0.0,945160,0.0,0.0
2024-06-29 00:00:00+00:00,,,,0.0,855417,0.0,0.0
2024-06-30 00:00:00+00:00,,,,0.0,1188346,0.0,0.0
2024-07-01 00:00:00+00:00,,,,0.0,1146008,0.0,0.0
2024-07-02 00:00:00+00:00,,,,0.0,1286203,0.0,0.0
2024-07-03 00:00:00+00:00,,,,0.0,996589,0.0,0.0
2024-07-04 00:00:00+00:00,,,,0.0,538826,0.0,0.0
2024-07-05 00:00:00+00:00,,,,0.0,226697,0.0,0.0
2024-07-06 00:00:00+00:00,,,,0.0,476046,0.0,0.0
2024-07-07 00:00:00+00:00,,,,0.0,683680,0.0,0.0
2024-07-08 00:00:00+00:00,,,,0.0,915606,0.0,0.0
2024-07-09 00:00:00+00:00,,,,0.0,505453,0.0,0.0
2024-07-10 00:00:00+00:00,,,,0.0,317580,0.0,0.0
2024-07-11 00:00:00+00:00,,,,0.0,145703,0.0,0.0
2024-07-12 00:00:00+00:00,,,,0.0,265929,0.0,0.0
2024-07-13 00:00:00+00:00,,,,0.0,797672,0.0,0.0
2024-07-14 00:00:00+00:00,,,,0.0,2789148,0.0,0.0
2024-07-15 00:00:00+00:00,,,,0.0,707031,0.0,0.0
2024-07-16 00:00:00+00:00,,,,0.0,1039498,0.0,0.0
2024-07-17 00:00:00+00:00,,,,0.0,194835,0.0,0.0
2024-07-18 00:00:00+00:00,,,,0.0,465330,0.0,0.0
2024-07-19 00:00:00+00:00,,,,0.0,935013,0.0,0.0
2024-07-20 00:00:00+00:00,,,,0.0,876590,0.0,0.0
2024-07-21 00:00:00+00:00,,,,0.0,766393,0.0,0.0
2024-07-22 00:00:00+00:00,,,,0.0,1183190,0.0,0.0
2024-07-23 00:00:00+00:00,,,,0.0,229940,0.0,0.0
2024-07-24 00:00:00+00:00,,,,0.0,140339,0.0,0.0
2024-07-25 00:00:00+00:00,,,,0.0,45815,0.0,0.0
2024-07-26 00:00:00+00:00,,,,0.0,170969,0.0,0.0
2024-07-27 00:00:00+00:00,,,,0.0,69166,0.0,0.0
2024-07-28 00:00:00+00:00,,,,0.0,149700,0.0,0.0
2024-07-29 00:00:00+00:00,,,,0.0,114878,0.0,0.0
2024-07-30 00:00:00+00:00,,,,0.0,79518,0.0,0.0
2024-07-31 00:00:00+00:00,,,,0.0,118334,0.0,0.0
2024-08-01 00:00:00+00:00,,,,0.0,104989,0.0,0.0
2024-08-02 00:00:00+00:00,,,,0.0,29987,0.0,0.0
2024-08-03 00:00:00+00:00,,,,0.0,43630,0.0,0.0
2024-08-04 00:00:00+00:00,,,,0.0,42824,0.0,0.0
2024-08-05 00:00:00+00:00,,,,0.0,19561,0.0,0.0
2024-08-06 00:00:00+00:00,,,,0.0,19817,0.0,0.0
2024-08-07 00:00:00+00:00,,,,0.0,97204,0.0,0.0
2024-08-08 00:00:00+00:00,,,,0.0,44281,0.0,0.0
2024-08-09 00:00:00+00:00,,,,0.0,36856,0.0,0.0
2024-08-10 00:00:00+00:00,,,,0.0,44102,0.0,0.0
2024-08-11 00:00:00+00:00,,,,0.0,11194,0.0,0.0
2024-08-12 00:00:00+00:00,,,,0.0,12262,0.0,0.0
2024-08-13 00:00:00+00:00,,,,0.0,26464,0.0,0.0
2024-08-14 00:00:00+00:00,,,,0.0,313115,0.0,0.0
2024-08-15 00:00:00+00:00,,,,0.0,68142,0.0,0.0
2024-08-16 00:00:00+00:00,,,,0.0,37362,0.0,0.0
2024-08-17 00:00:00+00:00,,,,0.0,29522,0.0,0.0
2024-08-18 00:00:00+00:00,,,,0.0,15616,0.0,0.0
2024-08-19 00:00:00+00:00,,,,0.0,20541,0.0,0.0
2024-08-20 00:00:00+00:00,,,,0.0,15982,0.0,0.0
2024-08-21 00:00:00+00:00,,,,0.0,23123,0.0,0.0
