TIMESTAMP,XLM_OPEN_PRICE_USDT,XLM_HIGH_PRICE_USDT,XLM_LOW_PRICE_USDT,XLM_CLOSE_PRICE_USDT,XLM_FIRST_TRADE_PRICE_USDT,XLM_HIGH_TRADE_PRICE_USDT,XLM_LOW_TRADE_PRICE_USDT,XLM_LAST_TRADE_PRICE_USDT,XLM_TOTAL_TRADE_COUNT,XLM_TOTAL_TRADES_BUY,XLM_TOTAL_TRADES_SELL,XLM_VOLUME_USDT,XLM_QUOTE_VOLUME,XLM_VOLUME_BUY,XLM_QUOTE_VOLUME_BUY,XLM_VOLUME_SELL,XLM_QUOTE_VOLUME_SELL
2018-05-31,0.28021,0.306,0.28021,0.29568,0.28021,0.306,0.28021,0.29568,8514,3950,4564,13858336.58,4107705.3206078,7214571.33,2141357.0695006,6643765.25,1966348.2511072
2018-06-01,0.29568,0.29999,0.27963,0.28863,0.29567,0.29999,0.27963,0.28863,12578,6142,6436,20363494.36,5898006.8552133,12009128.48,3476056.7705288,8354365.88,2421950.0846845
2018-06-02,0.28863,0.30489,0.28812,0.2974,0.28869,0.30489,0.28812,0.2974,13312,6758,6554,21831274.53,6478733.8040592,13673110.8,4056778.0968641,8158163.73,2421955.7071951
2018-06-03,0.2974,0.312,0.29651,0.30405,0.29741,0.312,0.29651,0.30405,18350,8621,9729,21640031.26,6572281.8178126,13691295.51,4156708.4778638,7948735.75,2415573.3399488
2018-06-04,0.30405,0.31104,0.28501,0.2908,0.30406,0.31104,0.28501,0.2908,11956,5829,6127,17487526.89,5170509.8187728,9723061.66,2876288.9767011,7764465.23,2294220.8420717
2018-06-05,0.2908,0.29876,0.27801,0.29403,0.29022,0.29876,0.27801,0.29403,15248,6896,8352,15259665.07,4403409.7762995,8720822.78,2515200.3355608,6538842.29,1888209.4407387
2018-06-06,0.29403,0.30151,0.28817,0.2995,0.29403,0.30151,0.28817,0.2995,13152,6715,6437,15572839.03,4567543.0489111,10248290.9,3005483.2516719,5324548.13,1562059.7972392
2018-06-07,0.2995,0.3062,0.29,0.29298,0.29959,0.3062,0.29,0.29298,16561,8727,7834,17873474.34,5349413.9548263,10318294.04,3086071.4121601,7555180.3,2263342.5426662
2018-06-08,0.29298,0.29542,0.28471,0.28698,0.29284,0.29542,0.28471,0.28698,9298,4817,4481,17749233.55,5135562.5833751,10656202.45,3085785.9411118,7093031.1,2049776.6422633
2018-06-09,0.28698,0.29135,0.27777,0.28027,0.28698,0.29135,0.27777,0.28027,8151,4048,4103,18505595.52,5285220.9617499,10884442.41,3112822.3853158,7621153.11,2172398.5764341
2018-06-10,0.28027,0.287,0.23681,0.24402,0.28027,0.287,0.23681,0.24402,12459,6690,5769,20539255.42,5323064.6031781,12076696.45,3139227.0971967,8462558.97,2183837.5059814
2018-06-11,0.24402,0.258,0.23377,0.25332,0.24472,0.258,0.23377,0.25332,9531,5031,4500,15650347.87,3797402.9293176,8701451.33,2110724.0252593,6948896.54,1686678.9040583
2018-06-12,0.25332,0.25332,0.213,0.22717,0.25329,0.25332,0.213,0.22717,9487,5300,4187,17130990.6,4098949.1768594,9483838.79,2271241.9090449,7647151.81,1827707.2678145
2018-06-13,0.22717,0.23056,0.20331,0.21839,0.22622,0.23056,0.20331,0.21839,11330,5609,5721,18906513.51,4165786.341101,9993361.99,2207749.8066368,8913151.52,1958036.5344642
2018-06-14,0.21839,0.2438,0.21641,0.2399,0.2184,0.2438,0.21641,0.2399,12707,6492,6215,22050182.15,5115164.4448576,12333253.08,2857753.6868767,9716929.07,2257410.7579809
