TIMESTAMP,DODO32530_OPEN_PRICE_USD,DODO32530_HIGH_PRICE_USD,DODO32530_LOW_PRICE_USD,DODO32530_CLOSE_PRICE_USD,DODO32530_VOLUME_USD,DODO32530_DIVIDENDS_USD,DODO32530_STOCK_SPLITS_USD
2024-08-02 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,141201,0.0,0.0
2024-08-03 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,105569,0.0,0.0
2024-08-04 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,93816,0.0,0.0
2024-08-05 00:00:00+00:00,,,,0.0,180351,0.0,0.0
2024-08-06 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,171356,0.0,0.0
2024-08-07 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,108058,0.0,0.0
2024-08-08 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,120310,0.0,0.0
2024-08-09 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,43466,0.0,0.0
2024-08-10 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,74187,0.0,0.0
2024-08-11 00:00:00+00:00,,,,0.0,36929,0.0,0.0
2024-08-12 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,22463,0.0,0.0
2024-08-13 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,100787,0.0,0.0
2024-08-14 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,241893,0.0,0.0
2024-08-15 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,78263,0.0,0.0
2024-08-16 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,20715,0.0,0.0
2024-08-17 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,32043,0.0,0.0
2024-08-18 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,52863,0.0,0.0
2024-08-19 00:00:00+00:00,,,,0.0,23752,0.0,0.0
2024-08-20 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,54844,0.0,0.0
2024-08-21 00:00:00+00:00,,,,0.0,37285,0.0,0.0
2024-08-22 00:00:00+00:00,,,,0.0,53718,0.0,0.0
2024-08-23 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,49666,0.0,0.0
2024-08-24 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,60008,0.0,0.0
2024-08-25 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,23253,0.0,0.0
2024-08-26 00:00:00+00:00,,,,0.0,28681,0.0,0.0
2024-08-27 00:00:00+00:00,,,,0.0,14891,0.0,0.0
2024-08-28 00:00:00+00:00,,,,0.0,7236,0.0,0.0
2024-08-29 00:00:00+00:00,,,,0.0,18150,0.0,0.0
2024-08-30 00:00:00+00:00,,,,0.0,19480,0.0,0.0
2024-08-31 00:00:00+00:00,,,,0.0,5672,0.0,0.0
2024-09-01 00:00:00+00:00,,,,0.0,12610,0.0,0.0
2024-09-02 00:00:00+00:00,,,,0.0,29704,0.0,0.0
2024-09-03 00:00:00+00:00,,,,0.0,26361,0.0,0.0
2024-09-04 00:00:00+00:00,,,,0.0,14578,0.0,0.0
2024-09-05 00:00:00+00:00,,,,0.0,5257,0.0,0.0
