,XMR,Lag
PIVX,8.548045329660426e-33,30
RLC,5.763349256332895e-17,1
DOGE,7.595911812300318e-10,26
STEEM,4.6279410711515504e-09,13
ZEN,9.2344168385645e-05,30
GNO,0.0001288364891625,29
XRP,0.0003102497260985,30
QTUM,0.0003326509013994,30
DGB,0.0011914906460541,29
SYS,0.0014454613147515,13
ETC,0.0015576315900502,30
LSK,0.0025025314287426,30
KMD,0.0031581312824685,30
WAVES,0.0057780736525676,30
SC,0.0084453202204029,29
MIOTA,0.0098647385439253,4
BTC,0.0105841164061303,2
ZEC,0.0148972701263081,30
DASH,0.034458331515623,30
LUNC,0.0770841262197697,8
ANT,0.0800889249017172,4
DCR,0.0877013012614501,3
XEM,0.0960906825223189,29
ETH,0.1241907252803364,29
BTS,0.1244182050587091,2
GAS,0.1254679282663061,2
ARK,0.2153648104316857,29
FIRO,0.278255327605389,29
BAT,0.4134114639051419,29
XLM,0.486162743353059,6
LTC,0.5351843807676461,13
