,XMR
RLC,4.223631602541737e-12
STEEM,6.721449637235261e-05
QTUM,0.00350537488530185
SYS,0.011088223587346749
XRP,0.03819620362414685
ETC,0.05011277137909395
BTC,0.06726103275009951
MIOTA,0.07489559130182755
DGB,0.09798893848311449
GNO,0.1369894227824261
DOGE,0.16315715493964925
ZEN,0.19677436875154258
ANT,0.2434373240189262
WAVES,0.2555171573925953
SC,0.258693550658706
LUNC,0.2870995371272823
XEM,0.3046058721543111
ZEC,0.3365991040542383
LSK,0.3788536768051667
GAS,0.4102583299225203
DASH,0.42816432717249087
KMD,0.46242159956017925
PIVX,0.46926460066922027
FIRO,0.5531426185293951
BTS,0.5684984616458696
DCR,0.6242683542395857
ARK,0.6717384102305519
ETH,0.6938407117899587
XLM,0.7381983686323725
LTC,0.7902996590376832
BAT,0.8876385372512365
