TIMESTAMP,ICELAND_OPEN_PRICE_USD,ICELAND_HIGH_PRICE_USD,ICELAND_LOW_PRICE_USD,ICELAND_CLOSE_PRICE_USD,ICELAND_VOLUME_USD,ICELAND_DIVIDENDS_USD,ICELAND_STOCK_SPLITS_USD
2024-06-10 00:00:00+00:00,,,,0.0,279244,0.0,0.0
2024-06-11 00:00:00+00:00,,,,0.0,466307,0.0,0.0
2024-06-12 00:00:00+00:00,,,,0.0,384394,0.0,0.0
2024-06-13 00:00:00+00:00,,,,0.0,652771,0.0,0.0
2024-06-14 00:00:00+00:00,,,,0.0,233886,0.0,0.0
2024-06-15 00:00:00+00:00,,,,0.0,157237,0.0,0.0
2024-06-16 00:00:00+00:00,,,,0.0,158967,0.0,0.0
2024-06-17 00:00:00+00:00,,,,0.0,155230,0.0,0.0
2024-06-18 00:00:00+00:00,,,,0.0,207168,0.0,0.0
2024-06-19 00:00:00+00:00,,,,0.0,157638,0.0,0.0
2024-06-20 00:00:00+00:00,,,,0.0,177897,0.0,0.0
2024-06-21 00:00:00+00:00,,,,0.0,320436,0.0,0.0
2024-06-22 00:00:00+00:00,,,,0.0,148970,0.0,0.0
2024-06-23 00:00:00+00:00,,,,0.0,257250,0.0,0.0
2024-06-24 00:00:00+00:00,,,,0.0,211372,0.0,0.0
2024-06-25 00:00:00+00:00,,,,0.0,246165,0.0,0.0
2024-06-26 00:00:00+00:00,,,,0.0,131317,0.0,0.0
2024-06-27 00:00:00+00:00,,,,0.0,315805,0.0,0.0
2024-06-28 00:00:00+00:00,,,,0.0,340393,0.0,0.0
2024-06-29 00:00:00+00:00,,,,0.0,156499,0.0,0.0
2024-06-30 00:00:00+00:00,,,,0.0,132227,0.0,0.0
2024-07-01 00:00:00+00:00,,,,0.0,177395,0.0,0.0
2024-07-02 00:00:00+00:00,,,,0.0,208816,0.0,0.0
2024-07-03 00:00:00+00:00,,,,0.0,143306,0.0,0.0
2024-07-04 00:00:00+00:00,,,,0.0,214202,0.0,0.0
2024-07-05 00:00:00+00:00,,,,0.0,192941,0.0,0.0
2024-07-06 00:00:00+00:00,,,,0.0,182000,0.0,0.0
2024-07-07 00:00:00+00:00,,,,0.0,149040,0.0,0.0
2024-07-08 00:00:00+00:00,,,,0.0,135858,0.0,0.0
2024-07-09 00:00:00+00:00,,,,0.0,132749,0.0,0.0
2024-07-10 00:00:00+00:00,,,,0.0,128798,0.0,0.0
2024-07-11 00:00:00+00:00,,,,0.0,99569,0.0,0.0
2024-07-12 00:00:00+00:00,,,,0.0,135460,0.0,0.0
2024-07-13 00:00:00+00:00,,,,0.0,119151,0.0,0.0
2024-07-14 00:00:00+00:00,,,,0.0,152361,0.0,0.0
2024-07-15 00:00:00+00:00,,,,0.0,167411,0.0,0.0
2024-07-16 00:00:00+00:00,,,,0.0,181890,0.0,0.0
