TIMESTAMP,KINGBONK_OPEN_PRICE_USD,KINGBONK_HIGH_PRICE_USD,KINGBONK_LOW_PRICE_USD,KINGBONK_CLOSE_PRICE_USD,KINGBONK_VOLUME_USD,KINGBONK_DIVIDENDS_USD,KINGBONK_STOCK_SPLITS_USD
2024-01-19 00:00:00+00:00,,,,0.0,1155364,0.0,0.0
2024-01-20 00:00:00+00:00,,,,0.0,466448,0.0,0.0
2024-01-21 00:00:00+00:00,,,,0.0,618969,0.0,0.0
2024-01-22 00:00:00+00:00,,,,0.0,463136,0.0,0.0
2024-01-23 00:00:00+00:00,,,,0.0,219903,0.0,0.0
2024-01-24 00:00:00+00:00,,,,0.0,100907,0.0,0.0
2024-01-25 00:00:00+00:00,,,,0.0,82877,0.0,0.0
2024-01-26 00:00:00+00:00,,,,0.0,35906,0.0,0.0
2024-01-27 00:00:00+00:00,,,,0.0,25198,0.0,0.0
2024-01-28 00:00:00+00:00,,,,0.0,15801,0.0,0.0
2024-01-29 00:00:00+00:00,,,,0.0,8830,0.0,0.0
2024-01-30 00:00:00+00:00,,,,0.0,8057,0.0,0.0
2024-01-31 00:00:00+00:00,,,,0.0,5859,0.0,0.0
2024-02-01 00:00:00+00:00,,,,0.0,2063,0.0,0.0
2024-02-02 00:00:00+00:00,,,,0.0,2184,0.0,0.0
2024-02-03 00:00:00+00:00,,,,0.0,6392,0.0,0.0
2024-02-04 00:00:00+00:00,,,,0.0,1126,0.0,0.0
2024-02-05 00:00:00+00:00,,,,0.0,752,0.0,0.0
2024-02-06 00:00:00+00:00,,,,0.0,891,0.0,0.0
2024-02-07 00:00:00+00:00,,,,0.0,838,0.0,0.0
2024-02-08 00:00:00+00:00,,,,0.0,1016,0.0,0.0
2024-02-09 00:00:00+00:00,,,,0.0,862,0.0,0.0
2024-02-10 00:00:00+00:00,,,,0.0,122,0.0,0.0
2024-02-11 00:00:00+00:00,,,,0.0,455,0.0,0.0
2024-02-12 00:00:00+00:00,,,,0.0,826,0.0,0.0
2024-02-13 00:00:00+00:00,,,,0.0,1686,0.0,0.0
2024-02-14 00:00:00+00:00,,,,0.0,521,0.0,0.0
2024-02-15 00:00:00+00:00,,,,0.0,979,0.0,0.0
2024-02-16 00:00:00+00:00,,,,0.0,413,0.0,0.0
2024-02-17 00:00:00+00:00,,,,0.0,836,0.0,0.0
2024-02-18 00:00:00+00:00,,,,0.0,839,0.0,0.0
2024-02-19 00:00:00+00:00,,,,0.0,1789,0.0,0.0
2024-02-20 00:00:00+00:00,,,,0.0,243,0.0,0.0
2024-02-21 00:00:00+00:00,,,,0.0,2949,0.0,0.0
