TIMESTAMP,USPEPE_OPEN_PRICE_USD,USPEPE_HIGH_PRICE_USD,USPEPE_LOW_PRICE_USD,USPEPE_CLOSE_PRICE_USD,USPEPE_VOLUME_USD,USPEPE_DIVIDENDS_USD,USPEPE_STOCK_SPLITS_USD
2024-07-25 00:00:00+00:00,,,,0.0,251161,0.0,0.0
2024-07-26 00:00:00+00:00,,,,0.0,4043798,0.0,0.0
2024-07-27 00:00:00+00:00,,,,0.0,2277552,0.0,0.0
2024-07-28 00:00:00+00:00,,,,0.0,1009659,0.0,0.0
2024-07-29 00:00:00+00:00,,,,0.0,495472,0.0,0.0
2024-07-30 00:00:00+00:00,,,,0.0,368321,0.0,0.0
2024-07-31 00:00:00+00:00,,,,0.0,484503,0.0,0.0
2024-08-01 00:00:00+00:00,,,,0.0,1709315,0.0,0.0
2024-08-02 00:00:00+00:00,,,,0.0,1037197,0.0,0.0
2024-08-03 00:00:00+00:00,,,,0.0,628762,0.0,0.0
2024-08-04 00:00:00+00:00,,,,0.0,469548,0.0,0.0
2024-08-05 00:00:00+00:00,,,,0.0,500605,0.0,0.0
2024-08-06 00:00:00+00:00,,,,0.0,347076,0.0,0.0
2024-08-07 00:00:00+00:00,,,,0.0,291613,0.0,0.0
2024-08-08 00:00:00+00:00,,,,0.0,238625,0.0,0.0
2024-08-09 00:00:00+00:00,,,,0.0,154742,0.0,0.0
2024-08-10 00:00:00+00:00,,,,0.0,196848,0.0,0.0
2024-08-11 00:00:00+00:00,,,,0.0,142800,0.0,0.0
2024-08-12 00:00:00+00:00,,,,0.0,128541,0.0,0.0
2024-08-13 00:00:00+00:00,,,,0.0,204747,0.0,0.0
2024-08-14 00:00:00+00:00,,,,0.0,556173,0.0,0.0
2024-08-15 00:00:00+00:00,,,,0.0,347641,0.0,0.0
2024-08-16 00:00:00+00:00,,,,0.0,62206,0.0,0.0
2024-08-17 00:00:00+00:00,,,,0.0,112153,0.0,0.0
2024-08-18 00:00:00+00:00,,,,0.0,216762,0.0,0.0
2024-08-19 00:00:00+00:00,,,,0.0,106928,0.0,0.0
2024-08-20 00:00:00+00:00,,,,0.0,116702,0.0,0.0
