TIMESTAMP,SKLAY_OPEN_PRICE_USD,SKLAY_HIGH_PRICE_USD,SKLAY_LOW_PRICE_USD,SKLAY_CLOSE_PRICE_USD,SKLAY_VOLUME_USD,SKLAY_DIVIDENDS_USD,SKLAY_STOCK_SPLITS_USD
2020-12-07 00:00:00+00:00,0.4609929919242859,0.4611569941043854,0.45662298798561096,0.45664098858833313,832004,0.0,0.0
2020-12-08 00:00:00+00:00,0.45663198828697205,0.46776100993156433,0.4531179964542389,0.45585501194000244,98950,0.0,0.0
2020-12-09 00:00:00+00:00,0.45585501194000244,0.4598369896411896,0.447053998708725,0.4598290026187897,104715,0.0,0.0
2020-12-10 00:00:00+00:00,0.4598369896411896,0.467862993478775,0.45142000913619995,0.46157199144363403,52472,0.0,0.0
2020-12-11 00:00:00+00:00,0.46157199144363403,0.4622119963169098,0.4505090117454529,0.4525569975376129,74407,0.0,0.0
2020-12-12 00:00:00+00:00,0.4525569975376129,0.6223700046539307,0.4525569975376129,0.5861909985542297,261566,0.0,0.0
2020-12-13 00:00:00+00:00,0.5861909985542297,0.601302981376648,0.5083240270614624,0.5322290062904358,110358,0.0,0.0
2020-12-14 00:00:00+00:00,0.5322290062904358,0.5771499872207642,0.530705988407135,0.5672150254249573,112063,0.0,0.0
2020-12-15 00:00:00+00:00,0.5672150254249573,0.5735399723052979,0.5578449964523315,0.5735340118408203,34812,0.0,0.0
2020-12-16 00:00:00+00:00,0.5735369920730591,0.5965009927749634,0.5646309852600098,0.5656499862670898,112087,0.0,0.0
2020-12-17 00:00:00+00:00,0.5656499862670898,0.5904790163040161,0.5617259740829468,0.5682640075683594,101019,0.0,0.0
2020-12-18 00:00:00+00:00,0.5682610273361206,0.5896279811859131,0.5653859972953796,0.5729979872703552,80934,0.0,0.0
2020-12-19 00:00:00+00:00,0.5729979872703552,0.5874599814414978,0.5729979872703552,0.5853679776191711,27189,0.0,0.0
2020-12-20 00:00:00+00:00,0.5853679776191711,0.5853679776191711,0.5709689855575562,0.5710600018501282,41477,0.0,0.0
2020-12-21 00:00:00+00:00,0.5710600018501282,0.5822920203208923,0.526951014995575,0.5641700029373169,119798,0.0,0.0
2020-12-22 00:00:00+00:00,0.5641739964485168,0.564175009727478,0.5371170043945312,0.542818009853363,33267,0.0,0.0
2020-12-23 00:00:00+00:00,0.542818009853363,0.5582489967346191,0.48159199953079224,0.49298998713493347,176737,0.0,0.0
2020-12-24 00:00:00+00:00,0.49298998713493347,0.5530440211296082,0.48396000266075134,0.5316519737243652,62082,0.0,0.0
2020-12-25 00:00:00+00:00,0.5332880020141602,0.5533649921417236,0.5136950016021729,0.5362290143966675,76237,0.0,0.0
2020-12-26 00:00:00+00:00,0.5362290143966675,0.5408650040626526,0.514503002166748,0.5395010113716125,50863,0.0,0.0
2020-12-27 00:00:00+00:00,0.5395010113716125,0.5395010113716125,0.5135939717292786,0.5360590219497681,29701,0.0,0.0
2020-12-28 00:00:00+00:00,0.5360590219497681,0.5383239984512329,0.5189089775085449,0.521028995513916,28492,0.0,0.0
2020-12-29 00:00:00+00:00,0.521028995513916,0.5324220061302185,0.4866519868373871,0.5210379958152771,97754,0.0,0.0
2020-12-30 00:00:00+00:00,0.5210379958152771,0.5343599915504456,0.4971979856491089,0.4973039925098419,30462,0.0,0.0
2020-12-31 00:00:00+00:00,0.4973269999027252,0.5228360295295715,0.49226900935173035,0.5108460187911987,16086,0.0,0.0
2021-01-01 00:00:00+00:00,0.5108460187911987,0.5338690280914307,0.4995119869709015,0.5134789943695068,52252,0.0,0.0
2021-01-02 00:00:00+00:00,0.5134789943695068,0.5294129848480225,0.4903610050678253,0.49330899119377136,14784,0.0,0.0
2021-01-03 00:00:00+00:00,0.49330899119377136,0.5257290005683899,0.4844669997692108,0.49069398641586304,114017,0.0,0.0
2021-01-04 00:00:00+00:00,0.49069398641586304,0.5078439712524414,0.46131399273872375,0.49167400598526,51976,0.0,0.0
2021-01-05 00:00:00+00:00,0.49167400598526,0.4930329918861389,0.46932899951934814,0.4906899929046631,17745,0.0,0.0
2021-01-06 00:00:00+00:00,0.4906949996948242,0.49164000153541565,0.47354501485824585,0.4781480133533478,27068,0.0,0.0
2021-01-07 00:00:00+00:00,0.4781470000743866,0.5702009797096252,0.4781169891357422,0.5233619809150696,87161,0.0,0.0
