TIMESTAMP,VTC_CLOSE_PRICE_USD,VTC_OPEN_PRICE_USD,VTC_HIGH_PRICE_USD,VTC_LOW_PRICE_USD
2018-02-26,4.082776,3.698617,4.286326,3.698617
2018-02-27,4.095504,4.082776,4.095504,4.082776
2018-02-28,3.91043,4.095504,4.286326,3.833673
2018-03-01,3.8886,3.91043,3.91043,3.802261
2018-03-02,3.664738,3.8886,4.286326,3.664738
2018-03-03,3.936464,3.664738,4.286326,3.664738
2018-03-04,4.286326,3.936464,4.286326,3.936464
2018-03-05,3.808756,4.286326,4.286326,3.768756
2018-03-06,3.290296,3.808756,4.286326,3.290296
2018-03-07,3.068857,3.290296,4.286326,3.068857
2018-03-08,2.834129,3.068857,4.286326,2.834129
2018-03-09,2.709404,2.834129,4.286326,2.599428
2018-03-10,2.551736,2.709404,2.784237,2.551736
2018-03-11,2.67825,2.551736,2.67825,2.551736
2018-03-12,2.577782,2.67825,4.286326,2.577782
2018-03-13,2.520662,2.577782,4.286326,2.499791
2018-03-14,2.305756,2.520662,2.520662,2.305756
2018-03-15,2.123877,2.305756,2.305756,2.123877
2018-03-16,2.234585,2.123877,2.264763,2.123877
2018-03-17,2.080405,2.234585,2.234585,2.080405
2018-03-18,1.719763,2.080405,2.080405,1.719763
2018-03-19,2.071286,1.719763,2.071286,1.719763
2018-03-20,2.306572,2.071286,2.306572,2.049037
2018-03-21,2.377327,2.306572,2.377327,2.306572
2018-03-22,2.567051,2.377327,2.567051,2.377327
2018-03-23,2.546097,2.567051,2.567051,2.463835
2018-03-24,2.517059,2.546097,2.558012,2.517059
2018-03-25,2.397882,2.517059,2.517059,2.344631
2018-03-26,2.063763,2.397882,2.397882,2.063763
2018-03-27,0.006822,2.063763,4.286326,0.006822
2018-03-28,0.0,0.006822,1.895658,0.0
2018-03-29,0.0,0.0,0.0,0.0
2018-03-30,0.0,0.0,0.0,0.0
2018-03-31,0.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,0.0
2018-04-02,0.0,0.0,0.0,0.0
2018-04-03,0.0,0.0,0.0,0.0
2018-04-04,0.0,0.0,0.0,0.0
2018-04-05,0.0,0.0,0.0,0.0
2018-04-06,0.0,0.0,0.0,0.0
2018-04-07,0.0,0.0,0.0,0.0
2018-04-08,0.0,0.0,0.0,0.0
2018-04-09,0.0,0.0,0.0,0.0
2018-04-10,0.0,0.0,0.0,0.0
2018-04-11,0.0,0.0,0.0,0.0
2018-04-12,0.0,0.0,0.0,0.0
2018-04-13,0.0,0.0,0.0,0.0
2018-04-14,0.0,0.0,0.0,0.0
2018-04-15,0.0,0.0,0.0,0.0
2018-04-16,0.0,0.0,0.0,0.0
2018-04-17,0.0,0.0,0.0,0.0
2018-04-18,0.0,0.0,0.0,0.0
2018-04-19,0.0,0.0,0.0,0.0
2018-04-20,0.0,0.0,0.0,0.0
2018-04-21,0.0,0.0,0.0,0.0
2018-04-22,0.0,0.0,0.0,0.0
2018-04-23,0.0,0.0,0.0,0.0
2018-04-24,0.0,0.0,0.0,0.0
2018-04-25,0.0,0.0,0.0,0.0
2018-04-26,0.0,0.0,0.0,0.0
2018-04-27,0.0,0.0,0.0,0.0
2018-04-28,0.0,0.0,0.0,0.0
2018-04-29,0.0,0.0,0.0,0.0
2018-04-30,0.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,0.0
2018-05-02,0.0,0.0,0.0,0.0
2018-05-03,0.0,0.0,0.0,0.0
2018-05-04,0.0,0.0,0.0,0.0
2018-05-05,0.0,0.0,0.0,0.0
2018-05-06,0.0,0.0,0.0,0.0
2018-05-07,0.0,0.0,0.0,0.0
2018-05-08,0.0,0.0,0.0,0.0
2018-05-09,0.0,0.0,0.0,0.0
2018-05-10,0.0,0.0,0.0,0.0
2018-05-11,0.0,0.0,0.0,0.0
2018-05-12,0.0,0.0,0.0,0.0
2018-05-13,0.0,0.0,0.0,0.0
2018-05-14,0.0,0.0,0.0,0.0
2018-05-18,0.0,0.0,0.0,0.0
2018-05-19,0.0,0.0,0.0,0.0
2018-05-20,0.0,0.0,0.0,0.0
2018-05-21,0.0,0.0,0.0,0.0
2018-05-22,2.007549,0.0,2.09525,0.0
