TIMESTAMP,DUSTY_OPEN_PRICE_USD,DUSTY_HIGH_PRICE_USD,DUSTY_LOW_PRICE_USD,DUSTY_CLOSE_PRICE_USD,DUSTY_VOLUME_USD,DUSTY_DIVIDENDS_USD,DUSTY_STOCK_SPLITS_USD
2025-01-29 00:00:00+00:00,,,,0.0,1288,0.0,0.0
2025-01-30 00:00:00+00:00,,,,0.0,5303,0.0,0.0
2025-01-31 00:00:00+00:00,,,,0.0,6488,0.0,0.0
2025-02-01 00:00:00+00:00,,,,0.0,3878,0.0,0.0
2025-02-02 00:00:00+00:00,,,,0.0,4244,0.0,0.0
2025-02-03 00:00:00+00:00,,,,0.0,2793,0.0,0.0
2025-02-04 00:00:00+00:00,,,,0.0,1214,0.0,0.0
2025-02-05 00:00:00+00:00,,,,0.0,1911,0.0,0.0
2025-02-06 00:00:00+00:00,,,,0.0,2335,0.0,0.0
2025-02-07 00:00:00+00:00,,,,0.0,2007,0.0,0.0
2025-02-08 00:00:00+00:00,,,,0.0,392,0.0,0.0
2025-02-09 00:00:00+00:00,,,,0.0,687,0.0,0.0
2025-02-10 00:00:00+00:00,,,,0.0,2461,0.0,0.0
2025-02-11 00:00:00+00:00,,,,0.0,628,0.0,0.0
2025-02-12 00:00:00+00:00,,,,0.0,4238,0.0,0.0
2025-02-13 00:00:00+00:00,,,,0.0,1648,0.0,0.0
2025-02-14 00:00:00+00:00,,,,0.0,857,0.0,0.0
2025-02-15 00:00:00+00:00,,,,0.0,9009,0.0,0.0
2025-02-16 00:00:00+00:00,,,,0.0,1070,0.0,0.0
2025-02-17 00:00:00+00:00,,,,0.0,1432,0.0,0.0
2025-02-18 00:00:00+00:00,,,,0.0,4164,0.0,0.0
2025-02-19 00:00:00+00:00,,,,0.0,3725,0.0,0.0
2025-02-20 00:00:00+00:00,,,,0.0,725,0.0,0.0
2025-02-21 00:00:00+00:00,,,,0.0,818,0.0,0.0
2025-02-22 00:00:00+00:00,,,,0.0,1032,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,248,0.0,0.0
2025-02-24 00:00:00+00:00,,,,0.0,617,0.0,0.0
2025-02-25 00:00:00+00:00,,,,0.0,1097,0.0,0.0
2025-02-26 00:00:00+00:00,,,,0.0,220,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,1730,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,457,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,144,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,87,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,509,0.0,0.0
2025-03-14 00:00:00+00:00,,,,0.0,9,0.0,0.0
2025-03-15 00:00:00+00:00,,,,0.0,1351,0.0,0.0
2025-03-25 00:00:00+00:00,,,,0.0,70,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,662,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,113,0.0,0.0
2025-05-02 00:00:00+00:00,,,,0.0,128,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,11159,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,2412,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,305,0.0,0.0
2025-06-01 00:00:00+00:00,9.675982237666858e-11,9.675982237666858e-11,9.675982237666858e-11,9.675982237666858e-11,96,0.0,0.0
