Categorie: Alle categorieën

Maand,Sell Ethereum: (Wereldwijd)
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,1
2016-03,2
2016-04,0
2016-05,2
2016-06,2
2016-07,3
2016-08,1
2016-09,1
2016-10,2
2016-11,0
2016-12,2
2017-01,2
2017-02,2
2017-03,10
2017-04,6
2017-05,32
2017-06,55
2017-07,30
2017-08,31
2017-09,20
2017-10,20
2017-11,41
2017-12,95
2018-01,73
2018-02,24
2018-03,15
2018-04,10
2018-05,11
2018-06,6
2018-07,6
2018-08,9
2018-09,7
2018-10,4
2018-11,6
2018-12,5
2019-01,5
2019-02,5
2019-03,5
2019-04,5
2019-05,6
2019-06,8
2019-07,5
2019-08,4
2019-09,5
2019-10,4
2019-11,4
2019-12,4
2020-01,6
2020-02,7
2020-03,6
2020-04,6
2020-05,8
2020-06,10
2020-07,12
2020-08,16
2020-09,9
2020-10,7
2020-11,11
2020-12,16
2021-01,49
2021-02,58
2021-03,32
2021-04,49
2021-05,100
2021-06,28
2021-07,19
2021-08,30
2021-09,28
2021-10,35
2021-11,43
2021-12,34
2022-01,57
2022-02,37
2022-03,25
2022-04,22
2022-05,21
2022-06,19
2022-07,16
2022-08,18
2022-09,21
2022-10,10
2022-11,12
2022-12,10
2023-01,11
2023-02,10
2023-03,10
2023-04,12
2023-05,9
2023-06,10
2023-07,10
2023-08,8
2023-09,7
2023-10,7
2023-11,10
2023-12,12
2024-01,12
2024-02,17
2024-03,28
2024-04,13
2024-05,13
2024-06,9
2024-07,10
2024-08,10
2024-09,8
2024-10,9
2024-11,21
2024-12,19
2025-01,14
2025-02,13
2025-03,10
2025-04,10
2025-05,12
