Categorie: Alle categorieën

Maand,Ethereum: (Wereldwijd)
2009-01,<1
2009-02,<1
2009-03,<1
2009-04,<1
2009-05,<1
2009-06,<1
2009-07,<1
2009-08,<1
2009-09,<1
2009-10,<1
2009-11,<1
2009-12,<1
2010-01,<1
2010-02,<1
2010-03,<1
2010-04,<1
2010-05,<1
2010-06,<1
2010-07,<1
2010-08,<1
2010-09,<1
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,<1
2011-02,<1
2011-03,<1
2011-04,<1
2011-05,<1
2011-06,<1
2011-07,<1
2011-08,<1
2011-09,<1
2011-10,<1
2011-11,<1
2011-12,<1
2012-01,<1
2012-02,<1
2012-03,<1
2012-04,<1
2012-05,<1
2012-06,<1
2012-07,<1
2012-08,<1
2012-09,<1
2012-10,<1
2012-11,<1
2012-12,<1
2013-01,<1
2013-02,<1
2013-03,<1
2013-04,<1
2013-05,<1
2013-06,<1
2013-07,<1
2013-08,<1
2013-09,<1
2013-10,<1
2013-11,<1
2013-12,<1
2014-01,<1
2014-02,<1
2014-03,<1
2014-04,<1
2014-05,<1
2014-06,<1
2014-07,<1
2014-08,<1
2014-09,<1
2014-10,<1
2014-11,<1
2014-12,<1
2015-01,<1
2015-02,<1
2015-03,<1
2015-04,<1
2015-05,<1
2015-06,<1
2015-07,<1
2015-08,<1
2015-09,<1
2015-10,<1
2015-11,<1
2015-12,<1
2016-01,<1
2016-02,1
2016-03,2
2016-04,1
2016-05,2
2016-06,3
2016-07,2
2016-08,2
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,1
2017-02,1
2017-03,5
2017-04,4
2017-05,13
2017-06,30
2017-07,19
2017-08,16
2017-09,13
2017-10,12
2017-11,22
2017-12,39
2018-01,37
2018-02,17
2018-03,11
2018-04,9
2018-05,9
2018-06,6
2018-07,5
2018-08,6
2018-09,6
2018-10,4
2018-11,5
2018-12,5
2019-01,5
2019-02,4
2019-03,3
2019-04,4
2019-05,5
2019-06,6
2019-07,9
2019-08,4
2019-09,3
2019-10,3
2019-11,3
2019-12,3
2020-01,4
2020-02,7
2020-03,5
2020-04,6
2020-05,7
2020-06,6
2020-07,8
2020-08,12
2020-09,8
2020-10,6
2020-11,12
2020-12,15
2021-01,50
2021-02,57
2021-03,36
2021-04,52
2021-05,100
2021-06,42
2021-07,33
2021-08,43
2021-09,37
2021-10,41
2021-11,46
2021-12,40
2022-01,45
2022-02,37
2022-03,29
2022-04,24
2022-05,28
2022-06,32
2022-07,27
2022-08,26
2022-09,29
2022-10,16
2022-11,18
2022-12,13
2023-01,16
2023-02,14
2023-03,14
2023-04,16
2023-05,11
2023-06,11
2023-07,11
2023-08,9
2023-09,8
2023-10,10
2023-11,13
2023-12,16
2024-01,16
2024-02,18
2024-03,27
2024-04,15
2024-05,17
2024-06,13
2024-07,14
2024-08,14
2024-09,10
2024-10,9
2024-11,23
2024-12,23
2025-01,17
2025-02,16
2025-03,14
2025-04,13
2025-05,15
