Categorie: Alle categorieën

Maand,ETH: (Wereldwijd)
2009-01,9
2009-02,9
2009-03,9
2009-04,9
2009-05,9
2009-06,8
2009-07,8
2009-08,8
2009-09,11
2009-10,10
2009-11,10
2009-12,8
2010-01,9
2010-02,10
2010-03,10
2010-04,9
2010-05,9
2010-06,9
2010-07,8
2010-08,8
2010-09,11
2010-10,10
2010-11,9
2010-12,8
2011-01,9
2011-02,10
2011-03,9
2011-04,9
2011-05,9
2011-06,8
2011-07,8
2011-08,8
2011-09,10
2011-10,9
2011-11,9
2011-12,8
2012-01,8
2012-02,9
2012-03,8
2012-04,7
2012-05,8
2012-06,7
2012-07,7
2012-08,7
2012-09,9
2012-10,9
2012-11,8
2012-12,7
2013-01,7
2013-02,8
2013-03,7
2013-04,7
2013-05,7
2013-06,7
2013-07,7
2013-08,6
2013-09,9
2013-10,8
2013-11,8
2013-12,7
2014-01,7
2014-02,8
2014-03,8
2014-04,7
2014-05,7
2014-06,7
2014-07,6
2014-08,7
2014-09,9
2014-10,8
2014-11,7
2014-12,7
2015-01,7
2015-02,8
2015-03,7
2015-04,7
2015-05,7
2015-06,6
2015-07,6
2015-08,7
2015-09,9
2015-10,8
2015-11,8
2015-12,7
2016-01,8
2016-02,9
2016-03,9
2016-04,8
2016-05,9
2016-06,9
2016-07,7
2016-08,7
2016-09,9
2016-10,9
2016-11,9
2016-12,8
2017-01,8
2017-02,9
2017-03,12
2017-04,10
2017-05,18
2017-06,30
2017-07,21
2017-08,19
2017-09,20
2017-10,18
2017-11,25
2017-12,41
2018-01,48
2018-02,29
2018-03,21
2018-04,18
2018-05,19
2018-06,15
2018-07,13
2018-08,15
2018-09,17
2018-10,13
2018-11,14
2018-12,13
2019-01,13
2019-02,13
2019-03,12
2019-04,12
2019-05,15
2019-06,16
2019-07,14
2019-08,12
2019-09,14
2019-10,12
2019-11,11
2019-12,11
2020-01,12
2020-02,16
2020-03,14
2020-04,13
2020-05,15
2020-06,15
2020-07,20
2020-08,25
2020-09,23
2020-10,16
2020-11,23
2020-12,25
2021-01,55
2021-02,65
2021-03,47
2021-04,56
2021-05,85
2021-06,45
2021-07,43
2021-08,59
2021-09,56
2021-10,61
2021-11,65
2021-12,61
2022-01,100
2022-02,88
2022-03,63
2022-04,58
2022-05,57
2022-06,55
2022-07,43
2022-08,42
2022-09,59
2022-10,34
2022-11,36
2022-12,27
2023-01,34
2023-02,35
2023-03,34
2023-04,37
2023-05,31
2023-06,29
2023-07,28
2023-08,25
2023-09,26
2023-10,28
2023-11,35
2023-12,40
2024-01,42
2024-02,52
2024-03,72
2024-04,47
2024-05,50
2024-06,41
2024-07,40
2024-08,41
2024-09,32
2024-10,31
2024-11,60
2024-12,59
2025-01,47
2025-02,49
2025-03,42
2025-04,37
2025-05,44
