,XRP,Lag
WC,4.0616852753383846e-70,30
UNIT,1.9937980101948915e-36,30
OPAL,7.199839424004557e-32,20
XEM,2.7265462949874694e-21,28
VEC2,2.0798150327138498e-18,30
IFC,1.16024513457075e-16,30
CSC,4.967355732194356e-16,26
NETKO,3.272736453979318e-13,30
IMS,2.932291510778716e-12,28
DOGE,1.832623380240804e-11,13
TAJ,5.802171055559115e-11,30
EFL,3.4821229682983417e-10,20
LTCR,4.10737168933505e-10,11
BTB,6.579540623486802e-10,5
RRT,9.066363588301621e-10,21
IBANK,1.6202970447993279e-09,15
IRL,1.7110747650894211e-09,29
WYZ,3.273555764176775e-09,30
GRS,6.060325919024265e-09,28
USDT,9.628981516284096e-09,30
GAS,9.659126515171314e-09,29
KOBO,1.6081703802100238e-08,15
SPR,1.911592944983044e-08,4
BCDN,1.95384056179332e-08,4
LTC,5.5600391257607e-08,17
XLM,6.003375837762972e-08,25
WGR,8.601723845723856e-08,27
ACES,8.9403049047941e-08,10
MONA,9.377500895833017e-08,24
SC,1.1290750787588877e-07,17
ETC,1.6502746328963198e-07,11
BTS,2.3694214172017059e-07,12
FRN,2.8749697479411216e-07,27
RBT,5.036986652246446e-07,12
NOBL,6.999933766291313e-07,26
VIDZ,1.1155195458978986e-06,27
CETI,1.6903285613599827e-06,30
PHR,2.4634247884542427e-06,21
MOTO,2.531580153598975e-06,30
ZUR,2.6915641526025527e-06,11
DCR,3.4899702752319747e-06,7
GNO,4.480535269699475e-06,20
QTUM,4.70820714698377e-06,15
OZO,7.981228857087324e-06,22
SWING,9.037948649654286e-06,12
BAT,1.1303132519363936e-05,28
ETH,1.1425390457941192e-05,11
ZCL,1.935431432129012e-05,12
ICON,1.942644592900709e-05,18
TRST,2.053633656632337e-05,26
LSK,2.4371128616064164e-05,24
ZEN,2.524851584203961e-05,29
WBB,4.161191054807756e-05,30
DGB,6.752528590703613e-05,12
PPC,8.451583369150147e-05,13
SKULL,9.65275827663174e-05,9
SYS,0.0001357640363069,20
VLT,0.0001495297545817,28
BTC,0.0001528207951126,28
CREVA,0.0001831676761514,24
BLK,0.0001867420529613,29
LDOGE,0.0001888396508625,26
BITS,0.0002734426493878,11
ARK,0.0003002611151336,11
VTC,0.0003482372852875,21
ZET,0.0003749272397141,29
CAB,0.0003923354515116,16
POST,0.0004141550015139,29
ENT,0.000623328954928,26
XTO,0.0006674488906165,19
ADZ,0.000728818034319,12
KMD,0.0008379357180633,19
NAV,0.0008675238396628,17
LBC,0.0008826592528426,15
CJ,0.0009906938076032,3
EQB,0.0010111464412388,29
HBD,0.001125098104369,30
XMS,0.0012229146676264,10
XPY,0.0017261715230117,28
AE,0.0021252958608184,14
DEM,0.0022284929154095,27
DASH,0.0023031729594555,30
C2,0.0023610030208904,29
AGRS,0.0024338494779551,28
WAVES,0.0026418498141967,11
VAL,0.0026886177312991,23
TECH,0.0027821684392945,3
STEEM,0.002822405954384,29
FTC,0.003727296238494,25
XMR,0.0038502821654027,1
PXI,0.0039136175243526,7
BLU,0.0045512439938529,12
START,0.0050483667151762,30
PZM,0.0052575233380411,2
GBYTE,0.0053917606879793,23
COOL,0.0059916464274381,3
EUC,0.0073416795758528,30
LANA,0.0073529768592228,30
ZEC,0.0075805986089928,30
MAID,0.0078725751182254,7
BERN,0.0079207630886413,16
MNTC,0.0085859987105704,1
PIVX,0.0086022470289933,11
NVC,0.0089809788577909,30
SXC,0.0104993412213093,25
SWT,0.0122086802804917,29
HUSH,0.0132598566167675,18
