TIMESTAMP,DASH_TWEET_VOLUME_FULL_NAME_HASHTAG
2014-04-09,9.0
2014-04-10,30.0
2014-04-11,8.0
2014-04-12,10.0
2014-04-13,19.0
2014-04-14,19.0
2014-04-15,17.0
2014-04-16,21.0
2014-04-17,26.0
2014-04-18,132.0
2014-04-19,25.0
2014-04-20,10.0
2014-04-21,12.0
2014-04-22,29.0
2014-04-23,60.0
2014-04-24,71.0
2014-04-25,190.0
2014-04-26,211.0
2014-04-27,144.0
2014-04-28,90.0
2014-04-29,132.0
2014-04-30,126.0
2014-05-01,115.0
2014-05-02,98.0
2014-05-03,147.0
2014-05-04,176.0
2014-05-05,175.0
2014-05-06,148.0
2014-05-07,148.0
2014-05-08,141.0
2014-05-09,217.0
2014-05-10,402.0
2014-05-11,205.0
2014-05-12,384.0
2014-05-13,236.0
2014-05-14,529.0
2014-05-15,957.0
2014-05-16,390.0
2014-05-17,284.0
2014-05-18,445.0
2014-05-19,541.0
2014-05-20,400.0
2014-05-21,500.0
2014-05-22,1603.0
2014-05-23,1168.0
2014-05-24,656.0
2014-05-25,511.0
2014-05-26,1007.0
2014-05-27,935.0
2014-05-28,682.0
2014-05-29,860.0
2014-05-30,753.0
2014-05-31,566.0
2014-06-01,640.0
2014-06-02,709.0
2014-06-03,484.0
2014-06-04,480.0
2014-06-05,458.0
2014-06-06,441.0
2014-06-07,379.0
2014-06-08,433.0
2014-06-09,517.0
2014-06-10,433.0
2014-06-11,235.0
2014-06-12,269.0
2014-06-13,223.0
2014-06-14,271.0
2014-06-15,348.0
2014-06-16,432.0
2014-06-17,379.0
2014-06-18,251.0
2014-06-19,320.0
2014-06-20,548.0
2014-06-21,294.0
2014-06-22,240.0
2014-06-23,231.0
2014-06-24,365.0
2014-06-25,274.0
2014-06-26,428.0
2014-06-27,259.0
2014-06-28,206.0
2014-06-29,220.0
2014-06-30,227.0
2014-07-01,242.0
2014-07-02,255.0
2014-07-03,276.0
2014-07-04,190.0
2014-07-05,187.0
2014-07-06,195.0
2014-07-07,309.0
2014-07-08,236.0
2014-07-09,233.0
2014-07-10,191.0
2014-07-11,188.0
2014-07-12,135.0
2014-07-13,126.0
2014-07-14,186.0
2014-07-15,233.0
2014-07-16,221.0
