TIMESTAMP,DEAL36242_OPEN_PRICE_USD,DEAL36242_HIGH_PRICE_USD,DEAL36242_LOW_PRICE_USD,DEAL36242_CLOSE_PRICE_USD,DEAL36242_VOLUME_USD,DEAL36242_DIVIDENDS_USD,DEAL36242_STOCK_SPLITS_USD
2025-04-11 00:00:00+00:00,,,,0.0,85301,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,203556,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,3065,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,976,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,133,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,85,0.0,0.0
2025-04-21 00:00:00+00:00,,,,0.0,142,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,326,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,1069,0.0,0.0
2025-06-01 00:00:00+00:00,2.171550022049204e-13,2.171550022049204e-13,1.8227600147562723e-13,1.8445486837156272e-13,42,0.0,0.0
