,K,Alpha,Tau,MSE
0,12,1250,0.05,1.5498215994059115e-09
1,10,1000,0.05,1.5503301068631163e-09
2,11,1000,0.05,1.5519250633608863e-09
3,13,1500,0.1,1.5540814050497016e-09
4,10,750,0.05,1.5543648246863963e-09
5,11,750,0.05,1.5547725564924116e-09
6,12,1000,0.15,1.5554243153058338e-09
7,12,1250,0.1,1.5554428013482569e-09
8,15,1500,0.25,1.5557766952612717e-09
9,15,1500,0.3,1.5558015721650236e-09
10,13,1500,0.15,1.55582077220816e-09
11,12,1500,0.15,1.5558253784481706e-09
12,15,1750,0.15,1.5558261365832194e-09
13,10,1000,0.1,1.55583239719307e-09
14,11,1000,0.1,1.5558348207240725e-09
15,15,1750,0.3,1.555837176079123e-09
16,12,1750,0.25,1.5558373053067316e-09
17,10,1250,0.2,1.5558373222225755e-09
18,14,2000,0.25,1.5558377346950617e-09
19,15,1750,0.25,1.5558385028704456e-09
20,12,1750,0.3,1.5558386690021945e-09
21,13,1750,0.3,1.5558387201547512e-09
22,10,1250,0.25,1.555838770882541e-09
23,11,1250,0.25,1.555838778425555e-09
24,10,1250,0.3,1.5558387819865413e-09
25,11,1250,0.3,1.5558387834385168e-09
26,10,1000,0.3,1.5558388021424624e-09
27,14,2000,0.3,1.5558388023115352e-09
28,11,1000,0.3,1.555838808663863e-09
29,13,1500,0.3,1.5558388399751615e-09
30,10,1000,0.25,1.5558388473208601e-09
31,11,1000,0.25,1.5558388526306353e-09
32,10,1000,0.2,1.5558389388215984e-09
33,11,1000,0.2,1.5558389408860381e-09
34,13,1500,0.25,1.5558389885141126e-09
35,13,1750,0.25,1.5558390990321584e-09
36,11,1000,0.15,1.5558391261954762e-09
37,10,1000,0.15,1.5558391303009208e-09
38,12,1500,0.25,1.5558391929071918e-09
39,14,2250,0.3,1.5558393287486612e-09
40,13,1500,0.2,1.5558395047034837e-09
41,12,1500,0.2,1.5558395538764826e-09
42,15,1750,0.2,1.5558399609539129e-09
43,14,1750,0.3,1.5558406404325082e-09
44,14,1750,0.2,1.5558407791210915e-09
45,14,1750,0.25,1.555841097593027e-09
46,13,1250,0.3,1.5558427399441662e-09
47,12,1250,0.3,1.5558443167028954e-09
48,13,1250,0.25,1.5558451806724064e-09
49,11,1250,0.2,1.5558457967232603e-09
50,15,1750,0.1,1.5558464002563305e-09
51,11,750,0.3,1.5558474827588503e-09
52,10,750,0.3,1.5558477168679645e-09
53,13,1250,0.2,1.5558502697159908e-09
54,11,750,0.25,1.5558518471501789e-09
55,10,750,0.25,1.5558522308998565e-09
56,13,1750,0.2,1.5558538511631067e-09
57,11,750,0.2,1.555860246036547e-09
58,10,750,0.2,1.555860934270126e-09
59,13,1250,0.1,1.5558634279223068e-09
60,14,1500,0.3,1.5558636627124483e-09
61,13,1250,0.15,1.555864070947646e-09
62,12,1250,0.15,1.555867940384702e-09
63,14,1500,0.25,1.5558698397602575e-09
64,15,1500,0.2,1.5558728694287858e-09
65,14,1500,0.2,1.5558789768234629e-09
66,11,750,0.15,1.555879603613758e-09
67,10,750,0.15,1.5558810441852718e-09
68,15,1500,0.15,1.555886583584683e-09
69,13,1000,0.3,1.5558899502737545e-09
70,14,1500,0.15,1.5558932087855176e-09
71,12,1000,0.3,1.555903846880426e-09
72,12,1250,0.25,1.5559092343201025e-09
73,13,1000,0.25,1.5559167530769183e-09
74,14,2000,0.2,1.5559395207921533e-09
75,15,1500,0.1,1.55593976489454e-09
76,12,1000,0.25,1.5559399786114678e-09
77,11,750,0.1,1.5559408470767985e-09
78,10,750,0.1,1.5559446324564039e-09
79,13,1000,0.2,1.5559706927864794e-09
80,11,1500,0.3,1.556003485628283e-09
81,12,1000,0.2,1.5560282103730745e-09
82,14,1750,0.15,1.5560505747595262e-09
83,11,500,0.3,1.5560703894776978e-09
84,15,1250,0.3,1.5560719656905795e-09
85,13,1000,0.15,1.556104913283992e-09
86,14,1250,0.3,1.556118455217132e-09
87,15,1250,0.25,1.556138190384578e-09
88,12,500,0.3,1.5561700617565142e-09
89,14,1250,0.25,1.5561965730926652e-09
90,10,500,0.3,1.5562054400372842e-09
91,9,500,0.3,1.5562183286374609e-09
92,11,500,0.25,1.5562366508896e-09
93,15,1250,0.2,1.5562366538158917e-09
94,14,750,0.3,1.5562760934676363e-09
95,12,1750,0.2,1.5562770536780572e-09
96,14,1500,0.1,1.5562848045237151e-09
97,10,1500,0.3,1.5563057912651167e-09
98,14,1250,0.2,1.5563122184169003e-09
99,13,750,0.3,1.5563151001709296e-09
100,12,500,0.25,1.5563308197915969e-09
101,8,500,0.3,1.5563672768303946e-09
102,9,500,0.25,1.5563758023691601e-09
103,10,500,0.25,1.5563813941544426e-09
104,15,1250,0.15,1.556391837584014e-09
105,14,750,0.25,1.5564890816814809e-09
106,14,1250,0.15,1.5564917682135294e-09
107,12,750,0.3,1.5565171024681273e-09
108,13,750,0.25,1.5565492350471685e-09
109,11,500,0.2,1.5565623401216207e-09
110,13,1000,0.1,1.556610899016722e-09
111,12,500,0.2,1.5566412382541417e-09
112,15,1250,0.1,1.556670454550056e-09
113,10,500,0.2,1.5567209415335162e-09
114,14,1250,0.1,1.5567640009072946e-09
115,12,750,0.25,1.5568520873669847e-09
116,12,1000,0.1,1.5568605745343946e-09
117,14,750,0.2,1.5569062144546836e-09
118,13,750,0.2,1.5570101048910687e-09
119,14,2250,0.25,1.557091417285918e-09
120,11,500,0.15,1.5573049925083722e-09
121,12,500,0.15,1.5573653979531128e-09
122,10,500,0.15,1.5575131378421117e-09
123,12,750,0.2,1.5575133807417973e-09
124,10,1250,0.15,1.5578397930711719e-09
125,14,750,0.15,1.5579045658911665e-09
126,13,750,0.15,1.5581212626220554e-09
127,15,2000,0.25,1.5581504134158192e-09
128,15,1000,0.3,1.558606886195223e-09
129,12,750,0.15,1.5589000371882115e-09
130,14,1000,0.3,1.559150338643605e-09
131,15,500,0.3,1.5592583542291304e-09
132,15,1000,0.25,1.5595347090074161e-09
133,12,500,0.1,1.5597736567733556e-09
134,14,500,0.3,1.559844924158313e-09
135,10,500,0.1,1.5601524149370327e-09
136,11,500,0.1,1.5602211591650243e-09
137,15,2000,0.3,1.5602441229194373e-09
138,14,1000,0.25,1.5602459820886767e-09
139,12,250,0.3,1.5607499906783888e-09
140,13,250,0.3,1.5608916137277927e-09
141,14,250,0.3,1.5609278270757413e-09
142,15,500,0.25,1.5609284503952914e-09
143,15,1000,0.2,1.5610237733599273e-09
144,10,250,0.3,1.5610837858674392e-09
145,9,250,0.3,1.5610871943999304e-09
146,8,250,0.3,1.5611273309536692e-09
147,7,250,0.3,1.561189110443752e-09
148,13,500,0.3,1.5612539321924686e-09
149,14,750,0.1,1.5614048882505743e-09
150,14,500,0.25,1.5617410607596163e-09
151,14,1000,0.2,1.5620044771661924e-09
152,13,750,0.1,1.5620629091362204e-09
153,15,250,0.3,1.5622376422463843e-09
154,12,750,0.1,1.5623685214700516e-09
155,12,250,0.25,1.5631111077908191e-09
156,13,2000,0.3,1.5631142987275137e-09
157,13,1250,0.05,1.5631174925923667e-09
158,13,250,0.25,1.5632435426976506e-09
159,14,250,0.25,1.5632688040971748e-09
160,10,250,0.25,1.5635182712830158e-09
161,9,250,0.25,1.5635278906095026e-09
162,15,1000,0.15,1.563579616848342e-09
163,8,250,0.25,1.5635948564529128e-09
164,7,250,0.25,1.5636324690669013e-09
165,13,500,0.25,1.5638032204478223e-09
166,15,2500,0.25,1.5641679999162655e-09
167,15,500,0.2,1.564176212936726e-09
168,12,1000,0.05,1.5643254351340853e-09
169,14,1000,0.15,1.5650308682121782e-09
170,14,500,0.2,1.565416410736608e-09
171,15,250,0.25,1.5654607467241705e-09
172,13,1000,0.05,1.5675591291786958e-09
173,12,250,0.2,1.5676185816416422e-09
174,14,250,0.2,1.5676410562408288e-09
175,13,250,0.2,1.5677105390028181e-09
176,15,1000,0.1,1.5677834078115018e-09
177,10,250,0.2,1.5681444387926328e-09
178,9,250,0.2,1.568168059959987e-09
179,8,250,0.2,1.5682897279195684e-09
180,13,500,0.2,1.5687557419178082e-09
181,14,1000,0.1,1.5699860247692975e-09
182,15,250,0.2,1.5716123792102228e-09
183,15,500,0.15,1.571853953442047e-09
184,11,1250,0.15,1.573730493925499e-09
185,14,500,0.15,1.5740958343273888e-09
186,15,2750,0.3,1.574264742994037e-09
187,15,2250,0.2,1.576453551799735e-09
188,14,250,0.15,1.5772089155506579e-09
189,13,250,0.15,1.5778620044068587e-09
190,12,250,0.15,1.5779150316376516e-09
191,11,250,0.3,1.578412768521071e-09
192,10,250,0.15,1.5786699230277999e-09
193,9,250,0.15,1.578731961348148e-09
194,8,250,0.15,1.5789893826281105e-09
195,13,500,0.15,1.5805470801145923e-09
196,11,500,0.05,1.5817039916997536e-09
197,12,500,0.05,1.5821503345783222e-09
198,15,1250,0.05,1.5822195429347536e-09
199,10,500,0.05,1.5843614679507335e-09
200,9,500,0.2,1.5853487293603853e-09
201,15,250,0.15,1.5856048369497608e-09
202,15,1500,0.05,1.5865863663519808e-09
203,14,2000,0.15,1.5881893939323666e-09
204,11,250,0.25,1.5908915376250103e-09
205,12,2000,0.3,1.5956089954906707e-09
206,15,750,0.3,1.5962784231491043e-09
207,15,500,0.1,1.598130488655089e-09
208,14,1500,0.05,1.6019528418714877e-09
209,14,750,0.05,1.6032309450642585e-09
210,14,500,0.1,1.6039163103076492e-09
211,15,1000,0.05,1.6039696027960128e-09
212,13,250,0.1,1.6098760660538688e-09
213,12,250,0.1,1.6105559795906043e-09
214,13,750,0.05,1.610612772609543e-09
215,14,1250,0.05,1.6115448547172453e-09
216,10,250,0.1,1.6119453830815093e-09
217,9,250,0.1,1.6121521651398478e-09
218,15,750,0.25,1.6122775022641761e-09
219,8,250,0.1,1.6129012656298304e-09
220,11,250,0.2,1.6141049893377252e-09
221,14,1000,0.05,1.6217930088488357e-09
222,13,500,0.1,1.6220395672089508e-09
223,15,2250,0.3,1.6244433353281722e-09
224,12,1500,0.1,1.6290138519743866e-09
225,15,250,0.1,1.6293953024128628e-09
226,14,1750,0.1,1.6299345043769521e-09
227,14,250,0.1,1.632377994631663e-09
228,15,750,0.2,1.640791976331991e-09
229,14,2500,0.3,1.646377230657471e-09
230,12,750,0.05,1.6551050953081403e-09
231,11,1750,0.3,1.6638104407230445e-09
232,11,250,0.15,1.664238422627526e-09
233,15,2000,0.15,1.6891981495289398e-09
234,11,1500,0.25,1.6932491626841621e-09
235,15,750,0.15,1.7003304874437157e-09
236,14,2250,0.2,1.7592474774363988e-09
237,11,250,0.1,1.80669891123317e-09
238,8,500,0.25,1.8288844075247917e-09
239,13,250,0.05,1.8452989352116242e-09
240,12,250,0.05,1.8520300396718302e-09
241,12,1500,0.3,1.8560293067945968e-09
242,10,250,0.05,1.8583618280389205e-09
243,10,1500,0.25,1.8586650449507727e-09
244,9,250,0.05,1.861095130173181e-09
245,8,250,0.05,1.8652174114896437e-09
246,15,500,0.05,1.865638903126683e-09
247,15,750,0.1,1.869476931700479e-09
248,14,500,0.05,1.9142175534164053e-09
249,15,250,0.05,1.9371160176183196e-09
250,13,1500,0.05,1.9547079500619967e-09
251,14,250,0.05,1.954860894619076e-09
252,7,250,0.2,2.0569225784317502e-09
253,15,2500,0.3,2.07453214174811e-09
254,13,500,0.05,2.0920116302772396e-09
255,13,1750,0.15,2.3439105553821795e-09
256,11,1750,0.25,2.5643698922448313e-09
257,15,2750,0.25,2.6612263323524846e-09
258,12,1750,0.15,2.6644347717287364e-09
259,15,2000,0.1,2.6741994136514066e-09
260,11,250,0.05,2.7293883679742494e-09
261,11,1500,0.15,2.983533437772504e-09
262,10,1250,0.1,3.035816923669446e-09
263,15,2500,0.2,3.2780201540937494e-09
264,15,750,0.05,3.5553025406495296e-09
265,9,500,0.15,3.754580797987396e-09
266,15,2250,0.15,4.271023568401003e-09
267,12,2000,0.25,4.2789618819366014e-09
268,12,1250,0.2,4.483966853450205e-09
269,13,2000,0.25,5.4504843233959025e-09
270,11,1500,0.1,7.09778166760439e-09
271,15,2250,0.25,7.269247182109724e-09
272,15,1750,0.05,1.599623905048563e-08
273,7,250,0.15,3.241428904817966e-08
274,14,2000,0.1,4.127160366807911e-08
275,14,2250,0.15,5.673491526871198e-08
276,12,1500,0.05,5.99782256406924e-08
277,11,1250,0.1,6.660772097907081e-08
278,15,2500,0.15,7.158472914610078e-08
279,15,2000,0.05,7.376588710756585e-08
280,11,1750,0.2,9.008340205876817e-08
281,11,2000,0.3,9.712538249452358e-08
282,14,1750,0.05,1.3433758113581976e-07
283,15,2250,0.1,1.3564788207777207e-07
284,13,2000,0.15,1.6619779537048158e-07
285,9,500,0.05,2.3399572103849605e-07
286,9,500,0.1,2.3917470845604097e-07
287,13,2000,0.2,2.676595361124757e-07
288,11,1500,0.05,2.8662581327976696e-07
289,12,2000,0.2,3.0036700955095537e-07
290,8,500,0.2,3.42093441857152e-07
291,15,3000,0.3,3.469980837638145e-07
292,10,1250,0.05,3.806603147041141e-07
293,13,2000,0.05,3.9014053807396966e-07
294,15,2250,0.05,4.1914633650712624e-07
295,15,2500,0.05,4.979889212360423e-07
296,11,1500,0.2,5.531749143771422e-07
297,9,1250,0.25,5.66387695612492e-07
298,13,2250,0.2,6.928814513093762e-07
299,9,750,0.3,7.017976203825968e-07
300,9,750,0.25,8.357445340206276e-07
301,7,250,0.1,9.224332307584313e-07
302,14,2500,0.25,9.46991368297557e-07
303,13,2250,0.25,1.0320694227375343e-06
304,15,2500,0.1,1.0499584686690455e-06
305,9,1000,0.2,1.0694046377721506e-06
306,13,2250,0.15,1.0904219886953716e-06
307,12,1750,0.1,1.118873476779957e-06
308,9,1000,0.1,1.184280228820873e-06
309,15,2750,0.2,1.2164361208346648e-06
310,15,3000,0.25,1.2452074933032572e-06
311,13,2250,0.3,1.3354541558156055e-06
312,13,2750,0.3,1.4257464383734258e-06
313,14,2750,0.25,1.567373360321934e-06
314,15,3000,0.2,1.6145188059202927e-06
315,7,500,0.3,1.6722268323598223e-06
316,10,1500,0.2,1.7117064775565144e-06
317,15,2000,0.2,1.7984746943691557e-06
318,15,3250,0.3,1.8675230498145964e-06
319,14,2000,0.05,1.9306602815483346e-06
320,8,500,0.15,1.9850605860258275e-06
321,13,2000,0.1,2.0606227516392315e-06
322,14,2750,0.15,2.0768468536321875e-06
323,10,1750,0.3,2.20957501446702e-06
324,9,750,0.15,2.2229492306507072e-06
