,K,Alpha,Tau,MSE
0,9,500,0.3,1.5624106528403174e-09
1,10,500,0.3,1.5624410488799685e-09
2,10,500,0.25,1.5656758173073332e-09
3,12,250,0.3,1.5680336176028629e-09
4,10,250,0.3,1.56821844431603e-09
5,9,250,0.3,1.5682503696408878e-09
6,13,250,0.3,1.5682781323942836e-09
7,8,250,0.3,1.568314596824116e-09
8,7,250,0.3,1.5684277369728957e-09
9,12,250,0.25,1.5739754842618745e-09
10,9,250,0.25,1.573985477236213e-09
11,13,250,0.25,1.5740390720528516e-09
12,8,250,0.25,1.5740554461986181e-09
13,10,250,0.25,1.5741704945302356e-09
14,7,250,0.25,1.5742665533678548e-09
15,11,250,0.3,1.5775666824310967e-09
16,12,250,0.2,1.5849450934414972e-09
17,8,250,0.2,1.5849581158520786e-09
18,13,250,0.2,1.5849782379863366e-09
19,10,250,0.2,1.5851739621242348e-09
20,9,250,0.2,1.5852429245296565e-09
21,11,250,0.25,1.5880532222479754e-09
22,15,250,0.3,1.595470125476641e-09
23,14,250,0.3,1.6027337882679084e-09
24,11,250,0.2,1.607155548228862e-09
25,12,250,0.15,1.609828748003178e-09
26,13,250,0.15,1.6098594316184448e-09
27,10,250,0.15,1.610197799611e-09
28,9,250,0.15,1.6103254970455526e-09
29,8,250,0.15,1.6104455281948933e-09
30,15,250,0.25,1.6115263832806264e-09
31,14,250,0.25,1.6256550760764662e-09
32,11,250,0.15,1.643266916677288e-09
33,9,500,0.25,1.6539478466761947e-09
34,15,500,0.3,1.6618761131405327e-09
35,14,250,0.2,1.6659737005599228e-09
36,13,750,0.3,1.678688078169788e-09
37,9,250,0.1,1.6897983347520644e-09
38,13,250,0.1,1.690375973040239e-09
39,12,250,0.1,1.6904574470948765e-09
40,10,250,0.1,1.6911811780537793e-09
41,8,250,0.1,1.6917796830291149e-09
42,14,500,0.3,1.6926516132005397e-09
43,15,500,0.25,1.7068490389623028e-09
44,13,750,0.25,1.7324907221701745e-09
45,14,1000,0.3,1.735723765041289e-09
46,11,250,0.1,1.7383938828208699e-09
47,14,250,0.15,1.7403453602807223e-09
48,14,500,0.25,1.7544593600220235e-09
49,15,750,0.3,1.7839324463181083e-09
50,15,500,0.2,1.7900756792729857e-09
51,14,250,0.1,1.816163368501725e-09
52,14,1000,0.25,1.816974762518031e-09
53,15,1000,0.3,1.8328523358805527e-09
54,13,500,0.3,1.8470873454854919e-09
55,12,500,0.3,1.8605565821285513e-09
56,11,500,0.3,1.875765855111531e-09
57,14,500,0.2,1.8782978004132724e-09
58,10,500,0.2,1.8787578060445098e-09
59,15,750,0.25,1.881842218804464e-09
60,14,750,0.3,1.895511067763855e-09
61,7,250,0.2,1.953752278171854e-09
62,15,1000,0.25,1.9573766655148654e-09
63,13,500,0.25,1.9746247609017076e-09
64,15,500,0.15,1.9750466122480793e-09
65,12,500,0.25,1.9938894425133358e-09
66,11,500,0.25,2.015073135680317e-09
67,14,750,0.25,2.0283641014908643e-09
68,14,500,0.15,2.0590572901385017e-09
69,15,750,0.2,2.0629963321034856e-09
70,15,1000,0.2,2.1900779551823255e-09
71,13,500,0.2,2.2112354701720385e-09
72,12,500,0.2,2.2413855814791367e-09
73,14,750,0.2,2.2658639876529206e-09
74,9,250,0.05,2.3015662005572124e-09
75,13,250,0.05,2.3046664829927338e-09
76,12,250,0.05,2.3058731175264478e-09
77,10,250,0.05,2.309242326991918e-09
78,8,250,0.05,2.312526777848822e-09
79,11,500,0.2,2.313476209471093e-09
80,14,250,0.05,2.352430727450896e-09
81,11,250,0.05,2.3552098296502664e-09
82,15,250,0.2,2.3605016356799447e-09
83,15,1250,0.3,2.374022098987677e-09
84,15,1750,0.3,2.3957771732262275e-09
85,15,750,0.15,2.4635398525574806e-09
86,15,500,0.1,2.5625379891916965e-09
87,14,500,0.1,2.6020458485210077e-09
88,15,1000,0.15,2.7060625497194866e-09
89,13,500,0.15,2.7311309023606127e-09
90,15,1250,0.25,2.759362585624669e-09
91,14,750,0.15,2.7648051156648323e-09
92,15,1750,0.25,2.7758097141390756e-09
93,12,500,0.15,2.7871734179287264e-09
94,13,500,0.1,2.8796792304785507e-09
95,15,250,0.1,3.1759612859912313e-09
96,15,1250,0.2,3.4939775081937252e-09
97,15,750,0.1,3.737788097793432e-09
