TIMESTAMP,SNA_OPEN_PRICE_USD,SNA_HIGH_PRICE_USD,SNA_LOW_PRICE_USD,SNA_CLOSE_PRICE_USD,SNA_VOLUME_USD,SNA_DIVIDENDS_USD,SNA_STOCK_SPLITS_USD
2024-04-17 00:00:00+00:00,,,,0.0,46382,0.0,0.0
2024-04-18 00:00:00+00:00,,,,0.0,23021,0.0,0.0
2024-04-19 00:00:00+00:00,,,,0.0,11721,0.0,0.0
2024-04-20 00:00:00+00:00,,,,0.0,10409,0.0,0.0
2024-04-21 00:00:00+00:00,,,,0.0,8336,0.0,0.0
2024-04-22 00:00:00+00:00,,,,0.0,10207,0.0,0.0
2024-04-23 00:00:00+00:00,,,,0.0,5936,0.0,0.0
2024-04-24 00:00:00+00:00,,,,0.0,5824,0.0,0.0
2024-04-25 00:00:00+00:00,,,,0.0,12534,0.0,0.0
2024-04-26 00:00:00+00:00,,,,0.0,4180,0.0,0.0
2024-04-27 00:00:00+00:00,,,,0.0,5709,0.0,0.0
2024-04-28 00:00:00+00:00,,,,0.0,7249,0.0,0.0
2024-04-29 00:00:00+00:00,,,,0.0,10429,0.0,0.0
2024-04-30 00:00:00+00:00,,,,0.0,6999,0.0,0.0
2024-05-01 00:00:00+00:00,,,,0.0,1181,0.0,0.0
2024-05-02 00:00:00+00:00,,,,0.0,9076,0.0,0.0
2024-05-03 00:00:00+00:00,,,,0.0,910,0.0,0.0
2024-05-04 00:00:00+00:00,,,,0.0,12143,0.0,0.0
2024-05-05 00:00:00+00:00,,,,0.0,1466,0.0,0.0
2024-05-06 00:00:00+00:00,,,,0.0,4725,0.0,0.0
2024-05-07 00:00:00+00:00,,,,0.0,4465,0.0,0.0
2024-05-08 00:00:00+00:00,,,,0.0,7132,0.0,0.0
2024-05-09 00:00:00+00:00,,,,0.0,2972,0.0,0.0
2024-05-10 00:00:00+00:00,,,,0.0,5847,0.0,0.0
2024-05-11 00:00:00+00:00,,,,0.0,4037,0.0,0.0
2024-05-12 00:00:00+00:00,,,,0.0,6244,0.0,0.0
2024-05-13 00:00:00+00:00,,,,0.0,9021,0.0,0.0
