TIMESTAMP,ZIL_OPEN_PRICE_USD,ZIL_HIGH_PRICE_USD,ZIL_LOW_PRICE_USD,ZIL_CLOSE_PRICE_USD
2018-05-09,0.1648,0.187,0.1626,0.187
2018-05-10,0.1869,0.232,0.1811,0.1986
2018-05-11,0.1983,0.1985,0.1507,0.1727
2018-05-12,0.1725,0.1897,0.152,0.1852
2018-05-13,0.1853,0.1876,0.1743,0.1775
2018-05-14,0.1775,0.1794,0.1593,0.166
2018-05-15,0.166,0.1681,0.1461,0.1568
2018-05-16,0.1569,0.1574,0.1347,0.1404
2018-05-17,0.1406,0.1553,0.1355,0.1363
2018-05-18,0.1355,0.1388,0.13,0.1374
2018-05-19,0.1374,0.1513,0.1319,0.1428
2018-05-20,0.1427,0.1536,0.1412,0.1505
2018-05-21,0.1503,0.1509,0.1403,0.1407
2018-05-22,0.141,0.1478,0.1373,0.1379
2018-05-23,0.1378,0.1391,0.1127,0.121
2018-05-24,0.1209,0.1278,0.111,0.123
2018-05-25,0.123,0.1255,0.1177,0.1198
2018-05-26,0.1198,0.1239,0.1177,0.1207
2018-05-27,0.1207,0.1207,0.1145,0.1155
2018-05-28,0.1154,0.1184,0.1033,0.1033
2018-05-29,0.1034,0.1148,0.09692,0.1132
2018-05-30,0.1133,0.1186,0.105,0.1072
2018-05-31,0.1073,0.1155,0.107,0.1149
2018-06-01,0.1149,0.115,0.1086,0.1091
2018-06-02,0.1092,0.1209,0.109,0.1181
2018-06-03,0.1182,0.1331,0.1171,0.128
2018-06-04,0.1278,0.1288,0.1164,0.1233
2018-06-05,0.1233,0.1279,0.1157,0.1242
2018-06-06,0.1241,0.1335,0.1229,0.1316
2018-06-07,0.1314,0.1382,0.1289,0.1297
2018-06-08,0.1297,0.1315,0.1234,0.1278
2018-06-09,0.1278,0.1288,0.121,0.1222
2018-06-10,0.1222,0.1224,0.09837,0.09963
2018-06-11,0.09976,0.1027,0.09448,0.09975
