TIMESTAMP,INUS_OPEN_PRICE_USD,INUS_HIGH_PRICE_USD,INUS_LOW_PRICE_USD,INUS_CLOSE_PRICE_USD,INUS_VOLUME_USD,INUS_DIVIDENDS_USD,INUS_STOCK_SPLITS_USD
2022-01-15 00:00:00+00:00,,,,0.0,148931,0.0,0.0
2022-01-16 00:00:00+00:00,,,,0.0,273865,0.0,0.0
2022-01-17 00:00:00+00:00,,,,0.0,218486,0.0,0.0
2022-01-18 00:00:00+00:00,,,,0.0,131778,0.0,0.0
2022-01-19 00:00:00+00:00,,,,0.0,61099,0.0,0.0
2022-01-20 00:00:00+00:00,,,,0.0,87899,0.0,0.0
2022-01-21 00:00:00+00:00,,,,0.0,61627,0.0,0.0
2022-01-22 00:00:00+00:00,,,,0.0,37381,0.0,0.0
2022-01-23 00:00:00+00:00,,,,0.0,30465,0.0,0.0
2022-01-24 00:00:00+00:00,,,,0.0,37591,0.0,0.0
2022-01-25 00:00:00+00:00,,,,0.0,26065,0.0,0.0
2022-01-26 00:00:00+00:00,,,,0.0,19765,0.0,0.0
2022-01-27 00:00:00+00:00,,,,0.0,39295,0.0,0.0
2022-01-28 00:00:00+00:00,,,,0.0,7892,0.0,0.0
2022-01-29 00:00:00+00:00,,,,0.0,22338,0.0,0.0
2022-01-30 00:00:00+00:00,,,,0.0,3469,0.0,0.0
2022-01-31 00:00:00+00:00,,,,0.0,11097,0.0,0.0
2022-02-01 00:00:00+00:00,,,,0.0,11917,0.0,0.0
2022-02-02 00:00:00+00:00,,,,0.0,9259,0.0,0.0
2022-02-03 00:00:00+00:00,,,,0.0,11991,0.0,0.0
2022-02-04 00:00:00+00:00,,,,0.0,68743,0.0,0.0
2022-02-05 00:00:00+00:00,,,,0.0,44558,0.0,0.0
2022-02-06 00:00:00+00:00,,,,0.0,16360,0.0,0.0
2022-02-07 00:00:00+00:00,,,,0.0,71293,0.0,0.0
2022-02-08 00:00:00+00:00,,,,0.0,57825,0.0,0.0
2022-02-09 00:00:00+00:00,,,,0.0,54179,0.0,0.0
2022-02-10 00:00:00+00:00,,,,0.0,53184,0.0,0.0
2022-02-11 00:00:00+00:00,,,,0.0,6328,0.0,0.0
2022-02-12 00:00:00+00:00,,,,0.0,57291,0.0,0.0
2022-02-13 00:00:00+00:00,,,,0.0,100230,0.0,0.0
2022-02-14 00:00:00+00:00,,,,0.0,93779,0.0,0.0
2022-02-15 00:00:00+00:00,,,,0.0,69237,0.0,0.0
2022-02-16 00:00:00+00:00,,,,0.0,23116,0.0,0.0
2022-02-17 00:00:00+00:00,,,,0.0,94938,0.0,0.0
2022-02-18 00:00:00+00:00,,,,0.0,42325,0.0,0.0
2022-02-19 00:00:00+00:00,,,,0.0,79219,0.0,0.0
2022-02-20 00:00:00+00:00,,,,0.0,44600,0.0,0.0
2022-02-21 00:00:00+00:00,,,,0.0,18075,0.0,0.0
2022-02-22 00:00:00+00:00,,,,0.0,68867,0.0,0.0
2022-02-23 00:00:00+00:00,,,,0.0,35709,0.0,0.0
2022-02-24 00:00:00+00:00,,,,0.0,11766,0.0,0.0
2022-02-25 00:00:00+00:00,,,,0.0,9774,0.0,0.0
2022-02-26 00:00:00+00:00,,,,0.0,43999,0.0,0.0
2022-02-27 00:00:00+00:00,,,,0.0,10265,0.0,0.0
2022-02-28 00:00:00+00:00,,,,0.0,83201,0.0,0.0
2022-03-01 00:00:00+00:00,,,,0.0,50376,0.0,0.0
2022-03-02 00:00:00+00:00,,,,0.0,118736,0.0,0.0
2022-03-03 00:00:00+00:00,,,,0.0,28671,0.0,0.0
2022-03-04 00:00:00+00:00,,,,0.0,4461,0.0,0.0
2022-03-05 00:00:00+00:00,,,,0.0,74321,0.0,0.0
2022-03-06 00:00:00+00:00,,,,0.0,13062,0.0,0.0
2022-03-07 00:00:00+00:00,,,,0.0,38407,0.0,0.0
2022-03-08 00:00:00+00:00,,,,0.0,11849,0.0,0.0
2022-03-09 00:00:00+00:00,,,,0.0,10019,0.0,0.0
2022-03-10 00:00:00+00:00,,,,0.0,7528,0.0,0.0
2022-03-11 00:00:00+00:00,,,,0.0,2297,0.0,0.0
2022-03-12 00:00:00+00:00,,,,0.0,50132,0.0,0.0
