,MSE,MAE,RMSE,MAPE,R2
0,0.0010721444088775955,0.025484135270996695,0.03274361630726813,0.047402885145558564,0.7966229126939034
1,0.0004229757265513909,0.01547959553323091,0.020566373685008032,0.0314441347721218,0.7933107475373219
2,0.001115937539209229,0.026251657891677303,0.03340565130646653,0.03566570348207507,0.6479777319942139
3,0.0025919835662612887,0.040793151903507095,0.05091152685061889,0.05264305031273906,0.6602834276676006
4,0.0012593710395188886,0.028301814660162843,0.035487618115603206,0.03073030675884437,0.7981883330972811
5,0.001951797390884584,0.03455222797545868,0.04417915108831975,0.03317381164843458,0.31060129262482805
6,0.0011567748167704292,0.026333851194478116,0.0340113924556233,0.02738615493808327,0.6207865530872183
7,0.0011887317991024255,0.026489648538807805,0.03447799006761307,0.03779712746226661,0.900073929300307
8,0.0011992319318226007,0.02763639168240061,0.03462992826765023,0.040519553401743784,0.489685407819877
9,0.0005555459988731995,0.018108318062964344,0.023570023310832754,0.027235842366398363,0.8779911241358231
10,0.0005937422340425766,0.019131172299562127,0.024366826507417345,0.026235027941218854,0.767133343457215
11,0.000920855296881424,0.02486748220884399,0.030345597652401312,0.049011862695189874,0.8793899343635261
Mean,0.0011690909790663024,0.02611912060184088,0.03322464130123521,0.03660378841038951,0.7118370614815929
