TIMESTAMP,GAMBL_OPEN_PRICE_USD,GAMBL_HIGH_PRICE_USD,GAMBL_LOW_PRICE_USD,GAMBL_CLOSE_PRICE_USD,GAMBL_VOLUME_USD,GAMBL_DIVIDENDS_USD,GAMBL_STOCK_SPLITS_USD
2022-06-22 00:00:00+00:00,,,,0.0,39703,0.0,0.0
2022-06-23 00:00:00+00:00,,,,0.0,20794,0.0,0.0
2022-06-24 00:00:00+00:00,,,,0.0,3342,0.0,0.0
2022-06-25 00:00:00+00:00,,,,0.0,4309,0.0,0.0
2022-06-26 00:00:00+00:00,,,,0.0,4351,0.0,0.0
2022-06-27 00:00:00+00:00,,,,0.0,4534,0.0,0.0
2022-06-28 00:00:00+00:00,,,,0.0,2488,0.0,0.0
2022-06-29 00:00:00+00:00,,,,0.0,423,0.0,0.0
2022-06-30 00:00:00+00:00,,,,0.0,637,0.0,0.0
2022-07-01 00:00:00+00:00,,,,0.0,690,0.0,0.0
2022-07-02 00:00:00+00:00,,,,0.0,49,0.0,0.0
2022-07-03 00:00:00+00:00,,,,0.0,27,0.0,0.0
2022-07-04 00:00:00+00:00,,,,0.0,105,0.0,0.0
2022-07-05 00:00:00+00:00,,,,0.0,1,0.0,0.0
2022-07-07 00:00:00+00:00,,,,0.0,52,0.0,0.0
2022-07-08 00:00:00+00:00,,,,0.0,56,0.0,0.0
2022-07-10 00:00:00+00:00,,,,0.0,333,0.0,0.0
2022-07-11 00:00:00+00:00,,,,0.0,427,0.0,0.0
2022-07-12 00:00:00+00:00,,,,0.0,115,0.0,0.0
2022-07-13 00:00:00+00:00,,,,0.0,31,0.0,0.0
2022-07-14 00:00:00+00:00,,,,0.0,32,0.0,0.0
2022-07-16 00:00:00+00:00,,,,0.0,21,0.0,0.0
2022-07-21 00:00:00+00:00,,,,0.0,1,0.0,0.0
2022-07-22 00:00:00+00:00,,,,0.0,257,0.0,0.0
2022-08-05 00:00:00+00:00,,,,0.0,1,0.0,0.0
2022-08-06 00:00:00+00:00,,,,0.0,9,0.0,0.0
2022-08-07 00:00:00+00:00,,,,0.0,10,0.0,0.0
2022-08-09 00:00:00+00:00,,,,0.0,10,0.0,0.0
2022-08-11 00:00:00+00:00,,,,0.0,7,0.0,0.0
2022-08-15 00:00:00+00:00,,,,0.0,1,0.0,0.0
2022-08-18 00:00:00+00:00,,,,0.0,5,0.0,0.0
2022-08-21 00:00:00+00:00,,,,0.0,10,0.0,0.0
2022-08-23 00:00:00+00:00,,,,0.0,19,0.0,0.0
2022-08-24 00:00:00+00:00,,,,0.0,30,0.0,0.0
2022-08-27 00:00:00+00:00,,,,0.0,13,0.0,0.0
2022-09-03 00:00:00+00:00,,,,0.0,2,0.0,0.0
2022-09-04 00:00:00+00:00,,,,0.0,11,0.0,0.0
2022-09-05 00:00:00+00:00,,,,0.0,2,0.0,0.0
2022-09-06 00:00:00+00:00,,,,0.0,5,0.0,0.0
2022-09-07 00:00:00+00:00,,,,0.0,18,0.0,0.0
2022-09-10 00:00:00+00:00,,,,0.0,36,0.0,0.0
2022-09-11 00:00:00+00:00,,,,0.0,288,0.0,0.0
2022-09-12 00:00:00+00:00,,,,0.0,11,0.0,0.0
2022-09-13 00:00:00+00:00,,,,0.0,6,0.0,0.0
2022-09-14 00:00:00+00:00,,,,0.0,7,0.0,0.0
2022-09-20 00:00:00+00:00,,,,0.0,5,0.0,0.0
2022-09-23 00:00:00+00:00,,,,0.0,2,0.0,0.0
2022-09-27 00:00:00+00:00,,,,0.0,3,0.0,0.0
2022-10-01 00:00:00+00:00,,,,0.0,2,0.0,0.0
2022-10-05 00:00:00+00:00,,,,0.0,2,0.0,0.0
2022-10-06 00:00:00+00:00,,,,0.0,3,0.0,0.0
2022-10-09 00:00:00+00:00,,,,0.0,84,0.0,0.0
2022-10-11 00:00:00+00:00,,,,0.0,6,0.0,0.0
2022-10-14 00:00:00+00:00,,,,0.0,5,0.0,0.0
2022-10-15 00:00:00+00:00,,,,0.0,1,0.0,0.0
2022-10-17 00:00:00+00:00,,,,0.0,4,0.0,0.0
2022-10-19 00:00:00+00:00,,,,0.0,1,0.0,0.0
2022-10-20 00:00:00+00:00,,,,0.0,1,0.0,0.0
2022-10-22 00:00:00+00:00,,,,0.0,3,0.0,0.0
2022-10-25 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-06-01 00:00:00+00:00,2.293943701658918e-09,2.295170276056524e-09,2.2923842823985296e-09,2.2947606037604373e-09,1,0.0,0.0
