TIMESTAMP,KULU_OPEN_PRICE_USD,KULU_HIGH_PRICE_USD,KULU_LOW_PRICE_USD,KULU_CLOSE_PRICE_USD,KULU_VOLUME_USD,KULU_DIVIDENDS_USD,KULU_STOCK_SPLITS_USD
2025-04-22 00:00:00+00:00,0.00024300000222865492,0.0002519999979995191,0.00012700000661425292,0.00018000000272877514,86663,0.0,0.0
2025-04-23 00:00:00+00:00,0.00018000000272877514,0.0001849999971454963,0.00013499999477062374,0.00017499999376013875,49407,0.0,0.0
2025-04-24 00:00:00+00:00,0.00017499999376013875,0.00017499999376013875,0.00011000000085914508,0.00011100000119768083,20125,0.0,0.0
2025-04-25 00:00:00+00:00,0.00011100000119768083,0.00011100000119768083,9.40000027185306e-05,9.40000027185306e-05,0,0.0,0.0
2025-04-26 00:00:00+00:00,9.40000027185306e-05,9.999999747378752e-05,8.299999899463728e-05,9.699999645818025e-05,0,0.0,0.0
2025-04-27 00:00:00+00:00,9.699999645818025e-05,0.00010599999950500205,9.600000339560211e-05,9.7999996796716e-05,8301,0.0,0.0
2025-04-28 00:00:00+00:00,9.7999996796716e-05,0.00010299999848939478,8.70000003487803e-05,9.200000204145908e-05,12866,0.0,0.0
2025-04-29 00:00:00+00:00,9.200000204145908e-05,9.200000204145908e-05,8.299999899463728e-05,8.299999899463728e-05,2801,0.0,0.0
2025-04-30 00:00:00+00:00,8.299999899463728e-05,8.299999899463728e-05,6.70000008540228e-05,6.800000119255856e-05,0,0.0,0.0
2025-05-01 00:00:00+00:00,6.800000119255856e-05,7.699999696342275e-05,6.0999998822808266e-05,7.400000322377309e-05,0,0.0,0.0
2025-05-02 00:00:00+00:00,7.400000322377309e-05,8.099999831756577e-05,6.900000153109431e-05,7.000000186963007e-05,0,0.0,0.0
2025-05-03 00:00:00+00:00,7.000000186963007e-05,7.100000220816582e-05,6.800000119255856e-05,6.800000119255856e-05,1583,0.0,0.0
2025-05-04 00:00:00+00:00,6.800000119255856e-05,6.900000153109431e-05,6.600000051548705e-05,6.600000051548705e-05,0,0.0,0.0
2025-05-05 00:00:00+00:00,6.600000051548705e-05,6.70000008540228e-05,6.399999983841553e-05,6.399999983841553e-05,0,0.0,0.0
