TIMESTAMP,FORK29312_OPEN_PRICE_USD,FORK29312_HIGH_PRICE_USD,FORK29312_LOW_PRICE_USD,FORK29312_CLOSE_PRICE_USD,FORK29312_VOLUME_USD,FORK29312_DIVIDENDS_USD,FORK29312_STOCK_SPLITS_USD
2024-02-07 00:00:00+00:00,,,,0.0,265420,0.0,0.0
2024-02-08 00:00:00+00:00,,,,0.0,277259,0.0,0.0
2024-02-09 00:00:00+00:00,,,,0.0,146803,0.0,0.0
2024-02-10 00:00:00+00:00,,,,0.0,84547,0.0,0.0
2024-02-11 00:00:00+00:00,,,,0.0,259148,0.0,0.0
2024-02-12 00:00:00+00:00,,,,0.0,964859,0.0,0.0
2024-02-13 00:00:00+00:00,,,,0.0,580642,0.0,0.0
2024-02-14 00:00:00+00:00,,,,0.0,291623,0.0,0.0
2024-02-15 00:00:00+00:00,,,,0.0,414795,0.0,0.0
2024-02-16 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,1121901,0.0,0.0
2024-02-17 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,412734,0.0,0.0
2024-02-18 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,334602,0.0,0.0
2024-02-19 00:00:00+00:00,,,,0.0,333147,0.0,0.0
2024-02-20 00:00:00+00:00,,,,0.0,304773,0.0,0.0
2024-02-21 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,228342,0.0,0.0
2024-02-22 00:00:00+00:00,,,,0.0,250044,0.0,0.0
2024-02-23 00:00:00+00:00,,,,0.0,129419,0.0,0.0
2024-02-24 00:00:00+00:00,,,,0.0,249365,0.0,0.0
2024-02-25 00:00:00+00:00,,,,0.0,132712,0.0,0.0
2024-02-26 00:00:00+00:00,,,,0.0,103355,0.0,0.0
2024-02-27 00:00:00+00:00,,,,0.0,159049,0.0,0.0
2024-02-28 00:00:00+00:00,,,,0.0,213510,0.0,0.0
2024-02-29 00:00:00+00:00,,,,0.0,158095,0.0,0.0
2024-03-01 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,957791,0.0,0.0
