TIMESTAMP,YUMMY_OPEN_PRICE_USD,YUMMY_HIGH_PRICE_USD,YUMMY_LOW_PRICE_USD,YUMMY_CLOSE_PRICE_USD,YUMMY_VOLUME_USD,YUMMY_DIVIDENDS_USD,YUMMY_STOCK_SPLITS_USD
2021-05-17 00:00:00+00:00,0.00018099999579135329,0.0001880000054370612,0.00010699999984353781,0.00015900000289548188,7449531,0.0,0.0
2021-05-18 00:00:00+00:00,0.00015900000289548188,0.00021699999342672527,0.0001289999927394092,0.00019299999985378236,2198,0.0,0.0
2021-05-19 00:00:00+00:00,0.00019299999985378236,0.00019500000053085387,0.00012199999764561653,0.00014000000373926014,1602,0.0,0.0
2021-05-20 00:00:00+00:00,0.00014000000373926014,0.00016399999731220305,0.00011700000322889537,0.00014699999883305281,1672,0.0,0.0
2021-05-21 00:00:00+00:00,0.00014699999883305281,0.00015500000154133886,0.00011000000085914508,0.0001230000052601099,1403,0.0,0.0
2021-05-22 00:00:00+00:00,0.0001230000052601099,0.00012700000661425292,4.099999932805076e-05,6.399999983841553e-05,0,0.0,0.0
2021-05-23 00:00:00+00:00,6.399999983841553e-05,6.70000008540228e-05,3.7999998312443495e-05,4.999999873689376e-05,0,0.0,0.0
2021-05-24 00:00:00+00:00,4.999999873689376e-05,7.100000220816582e-05,4.70000013592653e-05,5.700000110664405e-05,0,0.0,0.0
2021-05-25 00:00:00+00:00,5.700000110664405e-05,6.0999998822808266e-05,5.0999999075429514e-05,5.500000042957254e-05,0,0.0,0.0
2021-05-26 00:00:00+00:00,5.6000000768108293e-05,6.199999916134402e-05,5.2999999752501026e-05,5.6000000768108293e-05,0,0.0,0.0
2021-05-27 00:00:00+00:00,5.6000000768108293e-05,5.6000000768108293e-05,4.199999966658652e-05,4.400000034365803e-05,0,0.0,0.0
2021-05-28 00:00:00+00:00,4.400000034365803e-05,5.2999999752501026e-05,3.899999865097925e-05,4.099999932805076e-05,0,0.0,0.0
2021-05-29 00:00:00+00:00,4.099999932805076e-05,4.199999966658652e-05,2.700000004551839e-05,3.099999958067201e-05,0,0.0,0.0
2021-05-30 00:00:00+00:00,3.099999958067201e-05,3.5000000934815034e-05,2.9000000722589903e-05,2.9999999242136255e-05,0,0.0,0.0
2021-05-31 00:00:00+00:00,2.9999999242136255e-05,3.400000059627928e-05,2.700000004551839e-05,3.300000025774352e-05,849180,0.0,0.0
2021-06-01 00:00:00+00:00,3.300000025774352e-05,3.899999865097925e-05,3.199999991920777e-05,3.199999991920777e-05,1124014,0.0,0.0
2021-06-02 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,1.700000029813964e-05,2.9999999242136255e-05,1230859,0.0,0.0
2021-06-03 00:00:00+00:00,2.9999999242136255e-05,3.199999991920777e-05,2.499999936844688e-05,3.199999991920777e-05,1716621,0.0,0.0
2021-06-04 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.8000000384054147e-05,2.8000000384054147e-05,1636598,0.0,0.0
2021-06-05 00:00:00+00:00,2.8000000384054147e-05,2.9999999242136255e-05,2.2000000171829015e-05,2.4000000848900527e-05,1083716,0.0,0.0
2021-06-06 00:00:00+00:00,2.4000000848900527e-05,2.499999936844688e-05,2.099999983329326e-05,2.499999936844688e-05,1090428,0.0,0.0
