TIMESTAMP,MAGATRUMP_OPEN_PRICE_USD,MAGATRUMP_HIGH_PRICE_USD,MAGATRUMP_LOW_PRICE_USD,MAGATRUMP_CLOSE_PRICE_USD,MAGATRUMP_VOLUME_USD,MAGATRUMP_DIVIDENDS_USD,MAGATRUMP_STOCK_SPLITS_USD
2024-04-01 00:00:00+00:00,0.0002579999854788184,0.0002969999914057553,0.00020199999562464654,0.00020300000323913991,30519,0.0,0.0
2024-04-02 00:00:00+00:00,0.00020300000323913991,0.00020300000323913991,4.5000000682193786e-05,4.5000000682193786e-05,24273,0.0,0.0
2024-04-03 00:00:00+00:00,4.5000000682193786e-05,5.500000042957254e-05,4.5000000682193786e-05,5.199999941396527e-05,2871,0.0,0.0
2024-04-04 00:00:00+00:00,5.199999941396527e-05,5.500000042957254e-05,5.199999941396527e-05,5.500000042957254e-05,1316,0.0,0.0
2024-04-05 00:00:00+00:00,5.500000042957254e-05,5.500000042957254e-05,5.2999999752501026e-05,5.500000042957254e-05,198,0.0,0.0
2024-04-06 00:00:00+00:00,5.500000042957254e-05,5.700000110664405e-05,5.500000042957254e-05,5.700000110664405e-05,762,0.0,0.0
2024-04-07 00:00:00+00:00,5.700000110664405e-05,6.0999998822808266e-05,5.700000110664405e-05,6.0999998822808266e-05,102,0.0,0.0
2024-04-08 00:00:00+00:00,6.0999998822808266e-05,0.00017499999376013875,6.0999998822808266e-05,0.00013499999477062374,44525,0.0,0.0
2024-04-09 00:00:00+00:00,0.00013499999477062374,0.00013499999477062374,6.900000153109431e-05,6.900000153109431e-05,10974,0.0,0.0
2024-04-10 00:00:00+00:00,6.900000153109431e-05,6.900000153109431e-05,6.299999949987978e-05,6.299999949987978e-05,1384,0.0,0.0
2024-04-11 00:00:00+00:00,6.299999949987978e-05,6.299999949987978e-05,6.299999949987978e-05,6.299999949987978e-05,0,0.0,0.0
2024-04-12 00:00:00+00:00,6.299999949987978e-05,6.299999949987978e-05,6.0999998822808266e-05,6.0999998822808266e-05,30,0.0,0.0
2024-04-13 00:00:00+00:00,6.0999998822808266e-05,0.00012399999832268804,5.700000110664405e-05,5.8000001445179805e-05,20293,0.0,0.0
2024-04-14 00:00:00+00:00,5.8000001445179805e-05,5.8000001445179805e-05,5.8000001445179805e-05,5.8000001445179805e-05,0,0.0,0.0
2024-04-15 00:00:00+00:00,5.8000001445179805e-05,0.00010199999815085903,5.8000001445179805e-05,7.400000322377309e-05,15406,0.0,0.0
2024-04-16 00:00:00+00:00,7.400000322377309e-05,7.400000322377309e-05,5.500000042957254e-05,5.500000042957254e-05,37,0.0,0.0
2024-04-17 00:00:00+00:00,5.500000042957254e-05,5.999999848427251e-05,5.500000042957254e-05,5.999999848427251e-05,1496,0.0,0.0
2024-04-18 00:00:00+00:00,5.999999848427251e-05,5.999999848427251e-05,5.700000110664405e-05,5.700000110664405e-05,204,0.0,0.0
2024-04-19 00:00:00+00:00,5.700000110664405e-05,5.900000178371556e-05,5.700000110664405e-05,5.700000110664405e-05,534,0.0,0.0
2024-04-20 00:00:00+00:00,5.700000110664405e-05,5.700000110664405e-05,5.700000110664405e-05,5.700000110664405e-05,0,0.0,0.0
2024-04-21 00:00:00+00:00,5.700000110664405e-05,5.700000110664405e-05,5.500000042957254e-05,5.500000042957254e-05,277,0.0,0.0
2024-04-22 00:00:00+00:00,5.500000042957254e-05,5.6000000768108293e-05,5.500000042957254e-05,5.6000000768108293e-05,80,0.0,0.0
2024-04-23 00:00:00+00:00,5.6000000768108293e-05,5.6000000768108293e-05,5.6000000768108293e-05,5.6000000768108293e-05,0,0.0,0.0
2024-04-24 00:00:00+00:00,5.6000000768108293e-05,0.00016999999934341758,5.6000000768108293e-05,0.00016700000560376793,22830,0.0,0.0
