TIMESTAMP,PIETRO_OPEN_PRICE_USD,PIETRO_HIGH_PRICE_USD,PIETRO_LOW_PRICE_USD,PIETRO_CLOSE_PRICE_USD,PIETRO_VOLUME_USD,PIETRO_DIVIDENDS_USD,PIETRO_STOCK_SPLITS_USD
2025-04-21 00:00:00+00:00,,,,0.0,185066,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,162550,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,4745,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,15008,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,2506,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,4476,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,7613,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,1591,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,43304,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,50971,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,984,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,102,0.0,0.0
2025-06-01 00:00:00+00:00,4.167200167836532e-14,4.167200167836532e-14,4.1671818719248716e-14,4.1671818719248716e-14,16,0.0,0.0
