TIMESTAMP,SUMI_OPEN_PRICE_USD,SUMI_HIGH_PRICE_USD,SUMI_LOW_PRICE_USD,SUMI_CLOSE_PRICE_USD,SUMI_VOLUME_USD,SUMI_DIVIDENDS_USD,SUMI_STOCK_SPLITS_USD
2024-11-04 00:00:00+00:00,0.0009850000496953726,0.0011210000375285745,0.0008360000210814178,0.0009929999941959977,46117,0.0,0.0
2024-11-05 00:00:00+00:00,0.0009929999941959977,0.0010679999832063913,0.000914999982342124,0.0009239999926649034,20374,0.0,0.0
2024-11-06 00:00:00+00:00,0.0009239999926649034,0.0011320000048726797,0.00072900002123788,0.0008800000068731606,41880,0.0,0.0
2024-11-07 00:00:00+00:00,0.0008800000068731606,0.0008800000068731606,0.0007169999880716205,0.0007869999972172081,17505,0.0,0.0
2024-11-08 00:00:00+00:00,0.0007869999972172081,0.0008650000090710819,0.0007200000109151006,0.0007210000185295939,14264,0.0,0.0
2024-11-09 00:00:00+00:00,0.0007210000185295939,0.0007590000168420374,0.00046099998871795833,0.0005699999746866524,40454,0.0,0.0
2024-11-10 00:00:00+00:00,0.0005699999746866524,0.001003999961540103,0.000547999981790781,0.0008440000237897038,27678,0.0,0.0
2024-11-11 00:00:00+00:00,0.0008440000237897038,0.0009360000258311629,0.0007580000092275441,0.00076299998909235,20953,0.0,0.0
2024-11-12 00:00:00+00:00,0.00076299998909235,0.0009250000002793968,0.0006089999806135893,0.0009190000128000975,30136,0.0,0.0
2024-11-13 00:00:00+00:00,0.0009190000128000975,0.0010560000082477927,0.0008730000117793679,0.0010450000409036875,29630,0.0,0.0
2024-11-14 00:00:00+00:00,0.0010450000409036875,0.0018449999624863267,0.0010430000256747007,0.0016929999692365527,74057,0.0,0.0
2024-11-15 00:00:00+00:00,0.0016929999692365527,0.012152999639511108,0.0016929999692365527,0.008981999941170216,1178849,0.0,0.0
2024-11-16 00:00:00+00:00,0.008609999902546406,0.012635000050067902,0.005009000189602375,0.012109999544918537,1079685,0.0,0.0
