,XMR,Lag
LOOK,1.5815538303108797e-45,2
BRIT,1.428275937788223e-28,19
LTCR,6.855339053616576e-13,26
XEM,5.893481991946181e-10,14
TRST,1.0982709176277371e-09,2
ACES,6.973210020037088e-09,28
DOGE,1.1201356031029752e-08,25
UNIT,1.159705377264024e-08,29
WYZ,4.439796265176476e-08,30
RRT,9.907700100158629e-08,28
NOBL,1.3216039195631992e-07,30
VLT,4.750589560201377e-07,30
BTA,7.037853266052191e-07,26
QTUM,9.041806863852308e-07,20
GRS,1.3437847799656092e-06,23
VAL,1.38162573003274e-06,24
QBC,1.930711309416079e-06,10
SILK,3.3669951755211807e-06,18
USDT,5.71577885851799e-06,19
SWING,9.237120821512385e-06,27
ZET,1.0369531272560668e-05,29
XRP,1.0442093101981747e-05,10
RBT,1.0751697824792138e-05,24
IBANK,1.1544426244992432e-05,26
IMS,2.3372002681363906e-05,24
VIDZ,3.119559944850425e-05,30
ENT,4.899063820525044e-05,25
BITS,5.060112891334377e-05,12
MOTO,5.247737758976183e-05,16
BTS,5.928253214964657e-05,30
RLC,7.330040761136619e-05,21
PUT,7.499478810106778e-05,27
BAT,9.672575609884963e-05,2
XTO,0.0001008788356797,5
XLM,0.0001072977521706,24
BCN,0.0001204029579781,8
CARBON,0.0001505806440083,26
ARK,0.0001626085160287,13
OPAL,0.000168800995318,28
NAV,0.000187131191504,9
EVIL,0.0002298570057813,7
CJ,0.000302236464853,13
AV,0.0003315822070528,28
C2,0.0003794766236875,12
WGR,0.0004360507494509,29
HBD,0.0004365341559209,29
PXI,0.0004602738686596,28
NEWB,0.0005760262274729,28
SKR,0.000794444261164,4
ZUR,0.0008156428769794,28
XMS,0.0008550981110024,24
TAB,0.0009068903770427,2
XHI,0.0010506961790965,20
LOG,0.0010703837349645,2
SKULL,0.0012131867804349,30
DGB,0.0014643131577933,24
VEC2,0.0014868436464806,9
LTC,0.0018014764525746,26
XDN,0.0024905306904444,24
TECH,0.0026299525563844,30
FRN,0.0027463511245092,29
WBB,0.0028051441379384,26
TAJ,0.0030189512004295,9
XWC,0.0031245872670675,20
KIN,0.00365243255785,12
DASH,0.0040980676823931,30
SANDG,0.004728027831865,2
ICON,0.0049077099590853,24
SLS,0.0052035879863612,18
SPR,0.0053663897151604,3
ZEN,0.0058487649711921,27
PZM,0.0064548566080457,3
KOBO,0.0077416952369413,28
CAB,0.0077780368018527,29
GBYTE,0.0078432965794486,11
PPC,0.0078991495624078,20
ETC,0.0079934465786738,30
SYS,0.0084907320393839,6
NETKO,0.0103889075729561,30
IOTA,0.010929293070372,2
GNO,0.0114853964197594,29
NMC,0.0120262230500482,8
HVCO,0.0136647769018309,9
ZEC,0.0155065600986558,23
BERN,0.0174356470419584,16
GAS,0.0174656481413709,22
SC,0.0184367354425397,26
WAVES,0.0194811460780865,26
ZCL,0.0215504101836837,30
LSK,0.0223702765411383,20
MAID,0.0229417686288906,2
XPY,0.0233401861941883,3
PHR,0.0274728710489241,30
MONA,0.0275453330086031,1
PXC,0.0277631571084237,30
COOL,0.0301642730930515,30
DCR,0.0304886649747354,3
ACOIN,0.0308545492154509,5
AGRS,0.0316404832554916,1
FIRO,0.0317099639566032,30
JLP,0.0325208385260846,2
ADZ,0.0338274287093822,1
KMD,0.0350814243506687,30
STEEM,0.035819686296065,1
BTC,0.0361136383787634,5
EQB,0.0368442057705893,28
DCY,0.0379711389134136,2
START,0.0388237659818096,1
2GIVE,0.0393400591850512,30
PLU,0.0401757874184557,27
KURT,0.0419923471333634,4
XPX,0.0422750841326269,4
ARGUS,0.0467606655534117,17
NXS,0.0474873808516308,2
AE,0.0492054649698248,19
CETI,0.0529981693310343,23
XCP,0.0609280176123632,4
ETH,0.0631281152388282,30
VTC,0.0675792017876875,3
CKC,0.0681189248386029,30
ADC,0.0763902533441566,2
CREVA,0.0774699994018015,29
XPM,0.0808032922854169,17
SIGNA,0.0840503388830842,10
ZOOM,0.0892991611717168,15
POST,0.0916514132648588,11
DEM,0.093160671047607,24
BTB,0.0947249610587137,5
SWT,0.0960129122778647,6
EUC,0.1024971065834516,28
BLU,0.1030933533612049,13
CSC,0.1052567724429427,27
VERI,0.1084038957050581,3
LDOGE,0.1088941835739726,1
BTCS,0.1146436540082799,27
HBN,0.1160932158134908,1
LUNC,0.1223599190792665,4
XQN,0.1223804093982273,24
SIB,0.1232342784850162,3
AXIOM,0.1264135574864028,23
PAK,0.1289896824732148,2
CF,0.1291686933703971,1
DGC,0.1301199542126766,1
MCN,0.1335666516561443,1
ANT,0.1341753582632848,13
DCT,0.1352594214107047,7
MNTC,0.1374602905205721,1
MST,0.1401829310267243,1
MAY,0.1451607772969664,7
PKB,0.1461485961074515,1
BSTY,0.1567898974444565,1
IXC,0.168585206725545,15
CYT,0.1696724930836282,30
ICOB,0.1803696691948549,6
LUN,0.1867527846860348,22
FRC,0.1888462760224833,11
BCDN,0.1979441434003402,4
BLAZR,0.2078395322072235,7
ZER,0.2111640298348794,5
LANA,0.2213107542676339,1
QTZ,0.2213221993245458,1
WINGS,0.2294954292747341,12
NXT,0.2317849133804523,1
CRW,0.2336275084576986,22
OZO,0.2344071583438801,1
HMQ,0.2407528517152315,4
FTC,0.241276194831412,3
BLK,0.2423702445064816,19
SXC,0.251180517571306,15
NVC,0.2656883114968099,2
HUSH,0.2705996141742911,11
ALIAS,0.2737077124214495,2
XST,0.2883292075406166,30
RDD,0.2922425689033784,1
ILC,0.3066772153484021,1
CLAM,0.3085041312140494,2
IFC,0.3131117641031088,22
LAMB,0.3164136835958378,1
XPTX,0.3175180760656371,9
CLOAK,0.3198565800448441,5
EDRC,0.3229152803417476,25
AMS,0.32431864591964,27
BS,0.3318238376198269,1
RBY,0.3357244293229867,23
ZENI,0.3364145565555831,15
EFL,0.337561207321451,30
42,0.3388054713657594,19
PTOY,0.3582973478042232,1
GLC,0.362752156003702,17
AMBER,0.3647230673552777,6
FOREX,0.3660769786421267,1
SNRG,0.3897838742100025,10
CANN,0.3961083509970143,4
XBY,0.4007364336292507,1
PIVX,0.4046570208438564,29
CLUB,0.4077942068565856,25
PIE,0.4252490996698589,1
INF,0.4621422047828912,22
POT,0.4769833818517217,1
LBC,0.4980774539225828,4
TES,0.5102923267918327,2
RBIES,0.5156100108214292,28
GCC,0.5268419050305619,3
SWIFT,0.5644266005004291,1
ZYD,0.61356286590982,3
WC,0.6406292342792809,13
SONG,0.6477906710006198,2
BIS,0.6994889518925316,1
LMC,0.7008071517440729,9
IRL,0.7049644376877993,3
OK,0.7154168546552775,1
CNT,0.7479536489577268,1
NEVA,0.8306300587063552,1
PASC,0.8348778792940014,1
HNC,0.8789358137139939,2
BOLI,0.8967785676332536,5
XBC,0.9687104605218856,3
