TIMESTAMP,ENERGYX_OPEN_PRICE_USD,ENERGYX_HIGH_PRICE_USD,ENERGYX_LOW_PRICE_USD,ENERGYX_CLOSE_PRICE_USD,ENERGYX_VOLUME_USD,ENERGYX_DIVIDENDS_USD,ENERGYX_STOCK_SPLITS_USD
2021-06-08 00:00:00+00:00,,,,0.0,481238,0.0,0.0
2021-06-09 00:00:00+00:00,,,,0.0,711777,0.0,0.0
2021-06-10 00:00:00+00:00,,,,0.0,699691,0.0,0.0
2021-06-11 00:00:00+00:00,,,,0.0,741247,0.0,0.0
2021-06-12 00:00:00+00:00,,,,0.0,1075729,0.0,0.0
2021-06-13 00:00:00+00:00,,,,0.0,2149570,0.0,0.0
2021-06-14 00:00:00+00:00,,,,0.0,1493891,0.0,0.0
2021-06-15 00:00:00+00:00,,,,0.0,3009016,0.0,0.0
2021-06-16 00:00:00+00:00,,,,0.0,1335926,0.0,0.0
2021-06-17 00:00:00+00:00,,,,0.0,717303,0.0,0.0
2021-06-18 00:00:00+00:00,,,,0.0,656530,0.0,0.0
2021-06-19 00:00:00+00:00,,,,0.0,533129,0.0,0.0
2021-06-20 00:00:00+00:00,,,,0.0,264585,0.0,0.0
2021-06-21 00:00:00+00:00,,,,0.0,179841,0.0,0.0
2021-06-22 00:00:00+00:00,,,,0.0,131753,0.0,0.0
2021-06-23 00:00:00+00:00,,,,0.0,85804,0.0,0.0
2021-06-24 00:00:00+00:00,,,,0.0,117369,0.0,0.0
2021-06-25 00:00:00+00:00,,,,0.0,154987,0.0,0.0
2021-06-26 00:00:00+00:00,,,,0.0,60331,0.0,0.0
2021-06-27 00:00:00+00:00,,,,0.0,48895,0.0,0.0
2021-06-28 00:00:00+00:00,,,,0.0,37337,0.0,0.0
2021-06-29 00:00:00+00:00,,,,0.0,49232,0.0,0.0
2021-06-30 00:00:00+00:00,,,,0.0,109536,0.0,0.0
2021-07-01 00:00:00+00:00,,,,0.0,129076,0.0,0.0
2021-07-02 00:00:00+00:00,,,,0.0,97676,0.0,0.0
2021-07-03 00:00:00+00:00,,,,0.0,99570,0.0,0.0
2021-07-04 00:00:00+00:00,,,,0.0,100550,0.0,0.0
2021-07-05 00:00:00+00:00,,,,0.0,60999,0.0,0.0
2021-07-06 00:00:00+00:00,,,,0.0,56444,0.0,0.0
2021-07-07 00:00:00+00:00,,,,0.0,56624,0.0,0.0
2021-07-08 00:00:00+00:00,,,,0.0,64341,0.0,0.0
2021-07-09 00:00:00+00:00,,,,0.0,63395,0.0,0.0
2021-07-10 00:00:00+00:00,,,,0.0,49865,0.0,0.0
2021-07-11 00:00:00+00:00,,,,0.0,48694,0.0,0.0
2021-07-12 00:00:00+00:00,,,,0.0,45679,0.0,0.0
2021-07-13 00:00:00+00:00,,,,0.0,43432,0.0,0.0
2021-07-14 00:00:00+00:00,,,,0.0,49486,0.0,0.0
