Lag,2GIVE,42,ACES,ACOIN,ADC,ADZ,AE,AGRS,ALIAS,AMBER,AMS,ANT,ARGUS,ARK,AV,AXIOM,BAT,BCN,BERN,BIS,BITS,BLAZR,BLK,BLU,BOLI,BRIT,BS,BSTY,BTA,BTB,BTC,BTCS,BTS,C2,CAB,CANN,CARBON,CETI,CF,CJ,CKC,CLAM,CLOAK,CLUB,CNT,COOL,CREVA,CRW,CSC,DASH,DCR,DCT,DCY,DEM,DGB,DGC,DOGE,EDRC,EFL,EQB,ETC,ETH,EUC,EVIL,FIRO,FOREX,FRC,FRN,FTC,GAS,GBYTE,GCC,GNO,GRS,HBD,HBN,HMQ,HNC,HVCO,IBANK,ICOB,ICON,IFC,ILC,IMS,INF,IOTA,IRL,IXC,JLP,KIN,KMD,KOBO,KURT,LAMB,LANA,LBC,LDOGE,LMC,LOG,LOOK,LSK,LTCR,LUNC,MAID,MAY,MCN,MNTC,MONA,MOTO,MST,NAV,NEVA,NEWB,NMC,NOBL,NVC,NXS,NXT,OK,OPAL,OZO,PAK,PASC,PHR,PIE,PIVX,PKB,PLU,POST,POT,PPC,PTOY,PUT,PXC,PXI,PZM,QBC,QTUM,QTZ,RBIES,RBT,RBY,RDD,RLC,RRT,SANDG,SC,SIB,SIGNA,SILK,SKR,SKULL,SLS,SNRG,SONG,SPR,START,STEEM,SWIFT,SWING,SWT,SXC,SYS,TAB,TAJ,TECH,TES,TRST,USDT,VAL,VEC2,VERI,VIDZ,VLT,VTC,WAVES,WBB,WC,WGR,WINGS,WYZ,XBC,XBY,XCP,XDN,XEM,XHI,XLM,XMR,XMS,XPM,XPTX,XPX,XPY,XQN,XRP,XST,XTO,XWC,ZCL,ZEC,ZEN,ZENI,ZER,ZET,ZUR,ZYD
1,0.8086720769377274,0.7022987382829002,0.15757873060686542,0.08337808532820276,0.20984327358198607,0.8825571951097508,0.025405718502271687,0.6542859230053366,0.5635125080537412,0.9081878690276248,0.17105411893692346,0.40167278724709155,0.27052648895493936,0.0003158720367754166,0.12715638136408486,0.4802805652062252,0.42581332381278303,0.5337133308996151,0.5061702722559751,0.30507840424414057,0.8881267906041658,0.03938445045179493,0.33837814956068324,0.8256873605072728,0.6656926182701282,0.8609692000507713,0.38957768553398986,0.2836937552335793,0.6808153385935116,0.44150096198668964,0.3426510764556824,0.18058317296059045,0.004622583349079442,0.8782765283408164,0.75378499510843,0.5174207426093815,0.11861200843027858,0.31173935092031096,0.0181627366698798,0.26858238315309824,0.9407325923601947,0.2813976418484876,0.21303563817406973,0.034315521183033444,0.6861946419671225,0.9566865939988036,0.32618903993852044,0.4054122443085715,0.7441357135086375,0.10102452788010602,0.8022672786998369,0.6288332613250656,0.35198335507810474,0.02046706610430254,0.11315736465122503,0.3243744506510102,0.6311429776268007,0.9128841884997416,0.7767611210663715,0.5097606848010503,0.0023444068805815637,0.04790731124567298,0.17025900363865354,0.15185915222082846,0.42017949272553845,0.21983112016883483,0.8989748142826506,0.1069011823468345,0.47956489870729146,0.004994587816018272,0.44942085188977543,0.7858780951803028,0.2741186119592617,0.05393858305247028,0.41418154337761026,0.41813197074760367,0.5416584089429111,0.46864016834776423,0.16208408620274553,0.00035711179805039326,0.5846038663338834,0.9255785839484749,0.4702370431095608,0.9734406668096706,0.8755004677172206,0.09984628918933776,0.5470226424285847,0.8229743192101333,0.623018195899054,0.0770329187884151,0.9259680879623727,0.011058342417473093,0.6327492986483574,0.48050176593855887,0.035008809952340944,0.7273098957206767,0.028654102487124893,0.7174350661186342,0.7981746679838351,0.13118446636738268,0.9727408076532138,0.024774731260206954,0.4820452748392656,0.5873977692226524,0.5512278007896125,0.8090094593007097,0.028457563338543254,0.8303190999993129,0.08969232778046747,0.5294101986794439,0.16576201767580917,0.9040181566973136,0.2887039663594999,0.9674122914287877,0.938663259217677,0.529899207481195,0.507063020418105,0.8002452731669835,0.03244078031943636,0.8329687061873937,0.43589865239617465,0.4014170920970449,0.5198404452305092,0.8724098791200794,0.5450983204782978,0.4995502593663145,0.010265713036435354,0.6199754595547724,0.09621429126438762,0.35548309756948704,0.7566661475182086,0.39946815786429923,0.6424000682618779,0.6975409416079864,0.5978665905315366,0.03290245588050374,0.4694912091082746,0.8433797613675135,1.8907112264470683e-05,0.08797414829245853,0.9800090609110136,0.07477180461370285,0.8799605679217257,0.7007579578144283,0.5401891928681974,0.2832891357728712,0.7011512611197444,0.01406405469381307,0.594290729435873,0.46785833958315104,0.4607457869606655,0.40558218521278855,0.23613884434169502,0.5657740763761965,0.13434433890208172,0.5795524188435208,0.10238637106965971,0.4481713435567023,0.008784601407277578,0.8082697584147644,0.1929202084012107,0.87520774385808,0.2503371210674896,0.8931435441525887,0.11279989650466248,0.3450135099261681,0.6514721544794128,0.7565719750589368,0.07557062226575122,1.101922928259565e-05,0.1616386748009817,0.6130303631340865,0.40766384790153276,0.3748206837049006,0.04017793767288416,0.020645934105159795,0.27677090907662333,0.7525092647293349,0.27622576044345126,0.719244500087443,0.9692938537117809,0.2722838593354321,0.3173573805469199,0.9146553772351929,0.08230217134318261,0.3605426447591362,0.030732260152981323,0.31962365484033817,0.023622053399639166,0.043151207515499126,0.40086080726840223,0.03371035176535895,0.9879729642790904,0.2632718079336854,0.745859305199136,0.03711645565185565,0.4785412762961374,0.4555245167900617,0.07416753105939601,0.518579094891621,0.7407890556066956,0.00408864171757028,0.03345191636317718,0.6207245899558056,0.4636824347750711,0.7308680984039873,0.8835487590668515,0.2143923817157329
2,0.6179093344049607,0.9222842342729491,0.4089031860030168,0.1972033780683006,0.4821019753043335,0.18685939738515295,0.02653946511245985,0.5995317637557218,0.8241864248689658,0.8969049630034045,0.34852829348029213,0.6806815349349188,0.5146537829001439,0.0022456590996532662,0.23938389271864438,0.27584683251461095,0.4924729038149698,0.7986432729199092,0.11997329724693076,0.6072563791848642,0.017118355076567875,0.1043625253285037,0.5008520046040463,0.7155201795868709,0.020049510353880463,0.4395551644244109,0.16760055131070997,0.5947819248409214,0.8711144660595989,0.8312008653125588,0.6327589689222016,0.46479058359422265,0.015990207461053833,0.7410377479730765,0.9506926116516828,0.7840437875257256,0.29168513660838813,0.3616262827866813,0.049613828411798705,0.21840068776622792,0.9055647393995365,0.3054158152618698,0.31721451911318005,0.04935127781854846,0.7167284577087443,0.06833948717904557,0.5130731421431589,0.6312890640819298,0.03401493678940706,0.17071889383607036,0.4102838786589633,0.8990712474736986,0.4651123434017863,0.06189325353835406,0.04970655189438397,0.2621944268604349,0.6999396121014565,0.8425438639767321,0.8178125063543142,0.8686801967387808,0.005664325040108181,0.003198282934122057,0.1382651839328025,0.26904879182601266,0.6787649314448629,0.21684008067965488,0.9616366513747294,0.27264895254608384,0.6177947177200273,0.0004672966020337447,0.38921994759897705,0.7627359146354438,0.2066010324088108,0.1484014283154852,0.4299947779787354,0.46530961675328075,0.7677870161877383,0.36325143863247983,0.2777445450653925,0.0014705942759058908,0.6152461075860632,0.8495053375431388,0.16426406259903725,0.997454617939835,0.7329688498698961,0.19833784916907324,0.29106589200232724,0.9631025763452321,0.7676572110811111,0.12197415791038059,0.535250534962612,0.03235259477207162,0.1629935521159286,0.7911528393080824,0.1033980577952015,0.9412619657391151,0.08157289517557806,0.44549947186479366,0.9044503765726748,0.20841610096960222,0.9542068514305814,0.0112737353478198,0.00091200301328229,0.7124498139210514,0.6230648407448117,0.967161193627556,0.04448190411483954,0.6033729969199774,0.17865315135567986,0.14512136288439142,0.3642916504240546,0.09528290365100776,0.553835002517854,0.8533297423123039,0.1310991192267878,0.8279924633797566,0.5832847265322252,0.8457888489689817,0.02613725073328594,0.9751358682375004,0.5802292237250473,0.6925730424771908,0.7510633345779005,0.8814099559987645,0.6235476739355368,0.6340866260123195,0.01629518416117732,0.21621746721795898,0.23673348924078053,0.5893824437444671,0.5888757833460728,0.0020596310666940497,0.8705225386574835,0.9299446528224019,0.27282687000956657,0.09732857267771712,0.7336420019210501,0.6623457001378619,1.2893735176340647e-05,0.22747937575351176,0.939339534373491,0.12596658182515652,0.8573604072874464,0.9395042627608338,0.24920288273529803,0.5541451649063057,0.8447220663230188,0.04045217577769324,0.7068469956107823,0.49346236723289716,0.5933430190409653,0.5582414287447676,0.26475743144026037,0.7711350430346908,0.2060188660307857,0.7323159570197529,0.012968961347848265,0.21326870908720247,0.038405720160138004,0.32298461937794753,0.3179042115175217,0.5227029338269853,0.4633168841849059,0.8452102817642405,0.1558306114820599,0.015062070815136445,0.8878662442734286,0.7926467724625068,0.07679985258488804,7.947517648170488e-08,0.3415303108180792,0.35451216142081565,0.52083353962588,0.5764841764996,0.0725659137855817,0.0711107352198438,0.5507348798986531,0.8890221959343181,0.5050827527618743,0.8527785659640879,0.8796697844772868,0.20154429069020055,0.5821308942042462,0.9136047716800907,0.04637265001649357,0.7178818082682819,0.07190533607929821,0.4880107281426491,0.014391315806917198,0.00843563894277218,0.22251184753653394,0.08755030424624118,0.10135217787553023,0.350525355800522,0.7591045315793695,0.0769907819609303,0.613228955966286,0.5838232643370054,0.01735566054875177,0.7808823499144285,0.04442351694095925,0.009751260378998181,0.0419069216254162,0.8864239051481879,0.6823492376605782,0.8951910053686087,0.030280517751031345,0.21858719934349385
3,0.03652714365444919,0.8428202021812498,0.4934628303614782,0.162243135847185,0.3627853963775356,0.20860203613381628,0.05692620562158401,0.789930539316597,0.9232195143787931,0.9657168965888667,0.42971327188710695,0.2602430810082352,0.5434634500227675,0.0021179513986435707,0.3708911704623388,0.358716635592559,0.03842034348453206,0.728147901546586,0.1874989206000328,0.6957227012202121,0.020924779683204407,0.19640234699805298,0.6726404439484941,0.6053278177041956,0.03541133562905136,0.3089686792118445,0.295528810679663,0.7898643292868748,0.9691829685910477,0.9322759719602406,0.4974207162776577,0.669299100010055,0.03571410739873642,0.4819111298122867,0.9677227881165115,0.35650840193245226,0.04118016201778084,0.45051544613617855,0.11052173256053115,0.2195531072105849,0.3880705937948081,0.5034072029127534,0.22700395185184116,0.052147149190369814,0.8701229178131978,0.02699067368109928,0.4133992621866832,0.808626475830109,0.06489611581902888,0.023829331878349364,0.46823643045694274,0.9732703411844932,0.5201801192826789,0.0485518300971958,4.764868633330775e-05,0.37981918980384216,0.8298057198719193,0.9349861102067917,0.8089630001845435,0.9026338452348189,0.0015867093770983612,0.004246888555611956,0.26284158419371473,0.29978731892070787,0.7701905406635582,0.441873759502582,0.9232403417073677,0.3390525208633741,0.8171720613340347,0.00033627480483611227,0.11486043446292112,0.9163315597797935,0.36524257216074213,0.1463127845510753,0.8181392771421846,0.548371164339456,0.8605235862006889,0.4986600873665312,0.11766247398211015,0.0033150091261807822,0.05656658568000545,0.1539484254874531,0.28524637211259346,0.9996124240057696,0.15954318356836092,0.3046241662491299,0.21391371508279106,0.9499043303973623,0.5178958423080111,0.17961193601540035,0.7333832454654208,0.005091942787964721,0.28199777433365164,0.8120301994211543,0.2008064102128446,0.8874596264038443,0.1522411422119764,0.19173691481048818,0.9246792703082818,0.38559464852459924,0.8880167962534619,0.02674450870779933,0.0027716322285048344,0.8762301659993562,0.8083450009829171,0.4154335977322893,0.005538049429179215,0.5382584134119763,0.20529105811313864,0.20384682253465142,0.551959207495738,0.16561193866827292,0.6789967155754804,0.43725138293784427,0.029621858429988428,0.9451115871904563,0.7830040603197732,0.9446697007098244,0.05754008938442517,0.9742668828938823,0.10517251026820147,0.8142973547731521,0.17400036386519288,0.967812835129623,0.4768590287329203,0.7434824234750994,0.037060305793723936,0.3529151530016603,0.4137695187479158,0.7286643269782669,0.6503032455959517,0.0003248130874772785,0.5325857402815086,0.9783718962183385,0.39914194715312257,0.1889750699349866,0.7934967995596539,0.8075807713239928,1.3449662645960476e-06,0.39686412788883996,0.6043157715310592,0.006837576472325582,0.409099021315536,0.9890247018991344,0.022197460941779497,0.13067219623463214,0.9432610639607547,0.03907378736945458,0.8630481175695174,0.13213968175274335,0.6545861481293751,0.7353721500012353,0.06745010022831814,0.9051472825381346,0.3556669648318708,0.8946907220495713,0.03214680107901841,0.047972746834416054,0.014280089921453578,0.5141803444665467,0.025954628590849137,0.6874184195710756,0.6093856380360243,0.5983832954137629,0.32208755858416116,0.022214550095974187,0.8638165167344215,0.8482865041675699,0.1310236516892559,5.22485226835668e-09,0.3516098599478807,0.24903728547175424,0.43032923762497377,0.03576687331877124,0.007316959314824106,0.1545651123937676,0.6140601387136446,0.4181711176879366,0.718733392650815,0.11107149327176939,0.6907382272001437,0.011206185265285459,0.5574717194116778,0.969340563046809,0.03831579222808893,0.6892307530325293,0.14870202501148416,0.24121119997456306,0.020991336426696705,0.008448520214593618,0.24500550078194572,0.14606146732608116,0.20594047509696342,0.013912448474648514,0.2749678712648572,0.06836817655454082,0.7120255304439953,0.2485705924832008,0.015520230401547588,0.7237932256473079,0.08489117897318996,0.002258200345470759,0.06544027433020205,0.9133237527127459,0.8099690578626344,0.9708881226090222,1.050335370499633e-05,0.13281767306325093
4,0.02767369517041201,0.9118596179590943,0.00027802702640763153,0.10261383085297918,0.5584355925560516,0.17004686443685305,0.041563904001011,0.35166385742059314,0.8291116487065958,0.7345380349034114,0.5510841056299853,0.35512640292225756,0.6204966970945176,2.9846681016188078e-06,0.36336873044017154,0.4863578587323065,0.003491607284935275,0.8116257274913367,0.07012721232505371,0.7452053157261979,0.04162919548341182,0.3327829320036373,0.7468078373999313,0.09312007845756268,0.04843558538841624,0.3885652508294135,0.4847230783884816,0.9130513340561528,0.9891417668196946,0.9541485676638565,0.5812265595443679,0.8423667981935297,0.0581927832334583,0.6612909789701784,0.09226563643251906,0.23251708579200955,0.039545474500363914,0.6484730383106063,0.2684289675272623,0.2658138207642204,0.24917529693711296,0.5907664790163223,0.3285142575279118,0.10860859172717417,0.9529264334006564,0.03837238798401067,0.5576560752817998,0.8356316871189073,0.1375671458891564,0.04736793300776618,0.06919872258247572,0.9926261036403177,0.7252243888621855,0.13498453869303256,9.581120187385907e-05,0.28912688531789754,0.9148025466109415,0.9526596196262661,0.9192374638800492,0.9476853000419091,0.004844582721171952,0.002541457602969295,0.3857478803467701,0.39597631391875127,0.7487528311568323,0.6586158169156137,0.9607204528371878,0.10530172255987094,0.5082511858025341,3.530237461474121e-05,0.13407543985882314,0.4629224830969557,0.07633507777405908,0.19090373390341317,0.05183053142099697,0.7507691542444599,0.5592583517855723,0.6389796896177344,0.09902715182459232,0.006441851112931717,0.013697374774434546,0.09158006889658127,0.11632344268801101,0.9999084105182539,0.061268096857228026,0.33514222529039517,0.16646941215246364,0.3685305229014949,0.6372727091534386,0.339026400471514,0.8867352807692666,0.013509043145513258,0.37794779415421126,0.8728419293552531,0.1206652731032236,0.8097575202236181,0.15621387896794653,0.18474372361645366,0.9856063184212789,0.4920110888478212,0.9563799577656591,0.036163675854117824,0.0065542337205168645,0.9538801424770508,0.901167540146186,0.4332917782848953,0.005572655609702525,0.6764801123467594,0.26545126244951756,0.27720631348230784,0.5890244430754668,0.20567914790827613,0.7139798955985182,0.5747348535913189,0.011222524975033041,0.9449293226230827,0.5184909033436347,0.983664552985601,0.0983853501387638,0.8397701691317394,0.12703073735812773,0.9038332848034167,0.2600211564566174,0.9909248317907152,0.5513690783071286,0.8597603894167801,0.0046302056850335204,0.4801140787912115,0.309784488100007,0.841799601646533,0.7002477685717224,1.9646174495721767e-05,0.2448582562572243,0.9963056314577455,0.07669521127855672,0.2875570229323291,0.8874168375998684,0.8161781878339871,1.5447624785562582e-06,0.4453085718535422,0.7028156692005395,0.006415202875381047,0.5230477760291004,0.9975847009930511,0.016242974029222763,0.13581549446555716,0.8004236999155272,0.06758275206429723,0.32660042877885226,0.24222920763474642,0.8485536019889225,0.1753390798728886,0.03825849861779803,0.9673333115573339,0.5016063593836104,0.9602258222105579,0.06283623092902171,0.03426627123747893,0.024906808367774654,0.5875305499063705,0.08004455858485404,0.8029119463944706,0.36503860556216144,0.3368239510250868,0.026183835949841205,0.04420103940249272,0.6369163995120548,0.8864110764268369,0.15362123647277173,1.553987158170481e-08,0.025783355914643875,0.2398368689614713,0.3083996617762671,0.02694126955930513,0.006783299992362777,0.1230252235464991,0.7634128285868664,0.39545518906435595,0.8586405764241103,0.11965083947413731,0.7108755421703462,0.023163480180620543,0.7153160402923381,0.6062738254123756,0.08054792274838297,0.7839086587602739,0.2761820412630678,0.18643959897872464,0.0004719526528587313,0.020480878258301666,0.21813901958947038,0.2007083808300342,0.04495083143141538,0.009639332087645756,0.39015496665293475,0.1002814875944578,0.4474641108188073,0.32895432743142367,0.021988098668761676,0.6643098841867193,0.1652226684340295,0.007721282304262242,0.03217997038732071,0.8735588098078674,0.7839070679403257,0.7874180788906452,1.0153867262710908e-05,0.2546288726709607
5,0.05355254130941029,0.94289392885352,0.00029030910834416544,0.09425491998329477,0.6245448526325202,0.20147376840204592,0.07261450763974424,0.2614255948605114,0.4620359244005059,0.8129908682430458,0.4245656322047966,0.5397794892690382,0.6234196922094749,1.213797471558867e-05,0.5178836361719047,0.6825035391277585,0.0032997308632719,0.8968551879012572,0.09517224489874512,0.8672375659969449,0.05316734850251346,0.4731222725857742,0.8612442250011113,0.08279649127270138,0.07537303708140664,0.5130900447991593,0.56902745870099,0.9555111110623267,0.9898741792540073,0.9727124683517653,0.699160807190016,0.8813868433042545,0.11882591734106354,0.6366085775455808,0.15257036514083916,0.3762574358114263,0.06745174552546361,0.8090557918571064,0.38349854619776425,0.3545398182759955,0.4032125790402011,0.6273908311094569,0.38161358870308487,0.048944616670785326,0.9717030364670137,0.5117483233437767,0.7298986148867816,0.9135363267963575,0.11681065160821459,0.06187407203030514,0.12594353428952254,0.9991154019526435,0.6395598525695518,0.19648752125483548,0.000214163582331765,0.4133217812841336,0.97534788416428,0.9820149607710885,0.9554156630915978,0.974329601898241,0.00794953789530277,0.006574116054579872,0.4907689655068792,0.5482597570988597,0.7780121003199033,0.7761019047923179,0.9886633566665,0.04356722279584214,0.6384070331816072,6.422986748074903e-07,0.1921051005703784,0.47576979037754785,0.13633742643376276,0.13209663329046387,0.1258409057692976,0.8643687917448334,0.6233372627841084,0.7676509114455787,0.14746953817253058,0.00022152707370745616,0.01797083778324167,0.0524936013956513,2.6542530608474413e-05,0.921048937729138,0.0189972261585027,0.4644850646153673,0.10555245977422988,0.33849065204281964,0.6861159097700663,0.44229191345772967,0.7651821995462115,0.007706182212625031,0.515391641228497,0.9308489649717084,0.19710130046064633,0.9139596208763511,0.1263248760081992,0.2258173689469483,0.9972769074747084,0.6186334675237689,0.9833262836737607,0.03809282088172993,6.6683602705204285e-06,0.9738222502789392,0.7895406741723437,0.51627943641079,0.012753784925764582,0.7786872335166973,0.04240747202976676,0.37232092565201635,0.6389812493321395,0.2817989180340565,0.7361984908501906,0.5467203392853419,0.019794683087793995,0.9825856430813819,0.5349760984583372,0.9672500141064405,0.029304497045038996,0.8585610586945407,0.09316430560759846,0.9535724450773055,0.19214378827707493,0.9979543728466684,0.611489039617377,0.8727825082194598,0.009715146269631297,0.5917211216906153,0.41538430757912764,0.9025536437807908,0.7726566787909,6.204694575942434e-05,0.3839472006341598,0.9988848620672433,0.10413597981255919,0.39577744032841056,0.7701800758903311,0.8770917339391059,4.530635202478261e-06,0.49880402279174096,0.7234492472359874,0.005897740202345352,0.5017942704386502,0.19531888005245004,0.006444628021545222,0.21898239433489908,0.39625699888358507,0.1271166639336425,0.4221878370603849,0.3055684728264762,0.6354685817729784,0.2756701480920231,0.04606629887082147,0.9837069696642229,0.6790123881664163,0.9872399622002622,0.024582080397616765,0.03499311096026761,0.002139527905068496,0.6865852012798197,0.13656203769021794,0.8850673028275108,0.2896603143697818,0.13821845845434202,0.032394974922476796,0.08480248709094233,0.6365690932966512,0.8319734160829291,0.16001336596452084,1.9315060824530843e-08,0.044958996151401844,0.33620006598800733,0.4149727275038756,0.019329193435779705,0.00835533162965962,0.1652400238024887,0.42259300231254093,0.026019623029570643,0.9097495932094826,0.13197371850461526,0.17411674447943293,0.0014908337637198157,0.847214147799275,0.620493622764824,0.12977097672862375,0.5633383534228514,0.10455109336554913,0.21658336817945395,1.6241561918107303e-05,0.04149445613283005,0.32455468144685357,0.16531853769110688,0.08384093238029097,0.01575585188148502,0.4707945167021681,0.15294232684358772,0.6141458761400447,0.21821033943294188,0.0014438881455442845,0.8344417660688437,0.23053256163062627,0.01097903766416203,0.04350481460344496,0.07298826420388348,0.8785895780339293,0.31998018280380675,6.493524068565786e-06,0.24537003892022793
6,0.0937363878979926,0.9205058250137458,7.197749831033788e-05,0.12332177679112437,0.5373297319840002,0.14104990238247767,0.11612021908589082,0.37037887464641056,0.42005335030047314,0.865199032774122,0.44303326719322944,0.5920373122454361,0.21270597948885292,7.967941675155055e-06,0.5137880098654259,0.7751524267941935,0.007807003577965121,0.5355279606236332,0.07028099795091956,0.922227797305233,0.0792988675865009,0.6010512048770487,0.8844035717896106,0.13683404294059368,0.11867962835755028,0.6293948226635107,0.5795240141091418,0.9038625119317796,0.9965443823268416,0.9841008370735038,0.20118653415628066,0.9337369804936626,0.17278948775611316,0.7673613340675683,0.23540623007305997,0.22415109382571488,0.08977200025709813,0.8117653035149012,0.41444496275436327,0.38494449972554207,0.46664907165177993,0.7339694307312683,0.5126271301568743,0.0791716434233957,0.9907329406212343,0.634283317937747,0.7370700796016144,0.8340738107296318,0.15851810632051214,0.07366251789711137,0.07126650433370504,0.9991942135948675,0.7135498333753058,0.102710788283709,0.00019949180256985556,0.543336684642211,0.5650056463821886,0.694716739637556,0.8250537901680298,0.9888079723538848,0.011909058044987895,0.010905810035209523,0.6225142000750057,0.6737394792264352,0.8340502535123894,0.8545654417334275,0.9964278656529866,0.07002095026637174,0.6352154851726597,1.0957262551876201e-06,0.25273732393495857,0.5952682299299332,0.2000107021172317,0.05333761742775975,0.00863113577633641,0.9297392541566653,0.7252497606658688,0.7588954728170815,0.21940606951001757,0.0004523794432062599,0.006926146248161563,0.0815391721537272,4.546214645324649e-11,0.9084760465739687,0.002101414936183,0.5871837266877029,0.1810400325614868,0.4627959812210297,0.7327202129872932,0.0828878667498625,0.5293672831480478,0.013382950682490735,0.10031984598883067,0.9609412908204614,0.2573221105774164,0.132558302066806,0.07396420201628089,0.14593686985625884,0.8814725636228584,0.5395345282221717,0.9937732349487373,0.009737362705579067,1.8730753675237388e-05,0.862325858561682,0.8604962419806435,0.4308463648894584,0.01192268533594285,0.7487304540167221,0.0006825104539528994,0.12658851057526366,0.6715330216466762,0.32983162795147025,0.823930483024012,0.658425693808107,0.015217083385132679,0.9567916673988872,0.6349313171104498,0.9648342256795666,0.051549229641976814,0.8323271177807532,0.09247470594929895,0.9814221212545506,0.23700991874850025,0.9649991848856081,0.6987850171469221,0.9242334189807584,0.018132384419871084,0.6419831428090217,0.5225282037723005,0.9323913277211568,0.8654722940103288,0.00012603319712244855,0.47334632925792364,0.9981819441980307,0.04252917991278178,0.008438762679117947,0.8663501997935699,0.9185575425880868,8.840632395338629e-06,0.33718014521390627,0.5107764800744488,0.0013709804587879353,0.6217847832447256,0.23789129206820825,0.011817295016597635,0.294416832835056,0.49700573703813844,0.17966902107779073,0.4564241886946617,0.3870206682055052,0.6524389070755987,0.11335600057177465,0.06250854295651057,0.8657195807182904,0.7907456522269276,0.9946031744159678,0.04145686815055106,0.03871225108184149,0.0017231755696535088,0.7750792794747468,0.19491808026145302,0.8304777473020319,0.26686376266843675,0.1130081220281904,0.04329445626569092,2.8095633831547074e-05,0.6551354030840695,0.9016074546101345,0.11730964186674754,6.061996380500633e-08,0.005453596561884824,0.4529937091938241,0.43352754774178115,0.035904081241087855,0.00973040855009343,0.12493008377581062,0.017832195408864313,0.02752339238127399,0.5773151373269925,0.026292370838277446,0.2628913497654627,0.00011315121844230765,0.9081399845278917,0.6667913533494487,0.16415761038458615,0.671354281152006,0.14506677911776647,0.29245202729430997,8.057165286106203e-07,0.010099763644488925,0.4526394185706385,0.24482097073424086,0.09216942605687983,0.03411881483070637,0.6061910360300791,0.09810588714408616,0.17510845372938558,0.20624964169215565,0.0035403989489690164,0.9031845298127821,0.06291112572660594,0.017692051013608805,0.03363360865296423,0.11477988099338982,0.3089369907669922,0.4246546835622881,9.331786885549686e-06,0.030339361554382563
