TIMESTAMP,ELAND_OPEN_PRICE_USD,ELAND_HIGH_PRICE_USD,ELAND_LOW_PRICE_USD,ELAND_CLOSE_PRICE_USD,ELAND_VOLUME_USD,ELAND_DIVIDENDS_USD,ELAND_STOCK_SPLITS_USD
2021-04-29 00:00:00+00:00,0.09820500016212463,0.12333100289106369,0.09811999648809433,0.11367200314998627,323413,0.0,0.0
2021-04-30 00:00:00+00:00,0.11362899839878082,0.14491400122642517,0.11081299930810928,0.11963500082492828,555196,0.0,0.0
2021-05-01 00:00:00+00:00,0.11962000280618668,0.12947100400924683,0.11666099727153778,0.12238600105047226,277300,0.0,0.0
2021-05-02 00:00:00+00:00,0.12236499786376953,0.12613500654697418,0.10047999769449234,0.10959800332784653,216236,0.0,0.0
2021-05-03 00:00:00+00:00,0.11033099889755249,0.1289760023355484,0.1089169979095459,0.12797300517559052,282690,0.0,0.0
2021-05-04 00:00:00+00:00,0.1282760053873062,0.1331229954957962,0.11436399817466736,0.11525200307369232,234137,0.0,0.0
2021-05-05 00:00:00+00:00,0.11565300077199936,0.11986400187015533,0.10548099875450134,0.11542800068855286,168009,0.0,0.0
2021-05-06 00:00:00+00:00,0.11537700146436691,0.11723999679088593,0.09641200304031372,0.10423299670219421,142729,0.0,0.0
2021-05-07 00:00:00+00:00,0.10437700152397156,0.11370299756526947,0.10077100247144699,0.10421500355005264,142703,0.0,0.0
2021-05-08 00:00:00+00:00,0.10419300198554993,0.11811000108718872,0.10326799750328064,0.11670300364494324,159803,0.0,0.0
2021-05-09 00:00:00+00:00,0.11668899655342102,0.19441500306129456,0.11010000109672546,0.11403799802064896,127779,0.0,0.0
2021-05-10 00:00:00+00:00,0.11393699795007706,0.12006299942731857,0.10353299975395203,0.11110799759626389,81375,0.0,0.0
2021-05-11 00:00:00+00:00,0.11105900257825851,0.11740799993276596,0.10632699728012085,0.11725500226020813,85877,0.0,0.0
2021-05-12 00:00:00+00:00,0.1171410009264946,0.12258200347423553,0.1074799969792366,0.1074799969792366,78718,0.0,0.0
2021-05-13 00:00:00+00:00,0.10638199746608734,0.11331500113010406,0.07086899876594543,0.07297199964523315,674,0.0,0.0
