TIMESTAMP,BCDN_CLOSE_PRICE_USD,BCDN_OPEN_PRICE_USD,BCDN_HIGH_PRICE_USD,BCDN_LOW_PRICE_USD
2018-02-02,0.1269,0.128,0.1349,0.1097
2018-02-03,0.1331,0.1269,0.1381,0.1215
2018-02-04,0.1361,0.1331,0.1463,0.1303
2018-02-05,0.1,0.1361,0.1417,0.1
2018-02-06,0.105,0.1,0.1142,0.0852
2018-02-07,0.1155,0.1057,0.1237,0.1001
2018-02-08,0.1182,0.1155,0.1264,0.11
2018-02-09,0.1167,0.1182,0.1216,0.1085
2018-02-10,0.1126,0.1167,0.12,0.1097
2018-02-11,0.1073,0.1126,0.1145,0.103
2018-02-12,0.1128,0.1073,0.1176,0.1071
2018-02-13,0.1116,0.1128,0.1181,0.1109
2018-02-14,0.1205,0.1116,0.1214,0.1111
2018-02-15,0.1094,0.1205,0.1208,0.1064
2018-02-16,0.1065,0.1094,0.1101,0.1045
2018-02-17,0.1061,0.1065,0.1087,0.103
2018-02-18,0.1023,0.1061,0.1065,0.1
2018-02-19,0.105,0.1023,0.105,0.1
2018-02-20,0.1,0.105,0.1063,0.1
2018-02-21,0.0904,0.1,0.1,0.0903
2018-02-22,0.0897,0.0904,0.0985,0.0888
2018-02-23,0.0937,0.0897,0.0987,0.089
2018-02-24,0.093,0.0937,0.0978,0.0914
2018-02-25,0.091,0.093,0.0965,0.0902
2018-02-26,0.0962,0.091,0.0969,0.086
2018-02-27,0.1029,0.0962,0.1042,0.0941
2018-02-28,0.0972,0.1029,0.1039,0.0972
2018-03-01,0.0904,0.0972,0.1019,0.085
2018-03-02,0.09,0.0904,0.0937,0.0861
2018-03-03,0.0944,0.09,0.0955,0.09
2018-03-04,0.0942,0.0944,0.095,0.0921
2018-03-05,0.0944,0.0942,0.0986,0.0901
2018-03-06,0.0871,0.0944,0.095,0.0862
2018-03-07,0.0768,0.0871,0.0891,0.075
2018-03-08,0.0624,0.0768,0.0782,0.0602
2018-03-09,0.0513,0.0624,0.0624,0.0415
2018-03-10,0.0487,0.0513,0.0559,0.0485
2018-03-11,0.0472,0.0487,0.049,0.0391
2018-03-12,0.0426,0.0472,0.05,0.0416
2018-03-13,0.0386,0.0426,0.0434,0.0382
2018-03-14,0.0381,0.0386,0.0445,0.0381
2018-03-15,0.034,0.0381,0.0406,0.0287
2018-03-16,0.0304,0.034,0.034,0.0299
2018-03-17,0.0202,0.0304,0.0304,0.02
2018-03-18,0.0199,0.0202,0.022,0.0183
2018-03-19,0.0193,0.0199,0.0218,0.0173
2018-03-20,0.0198,0.0193,0.0215,0.0185
