TIMESTAMP,PENGU34525_OPEN_PRICE_USD,PENGU34525_HIGH_PRICE_USD,PENGU34525_LOW_PRICE_USD,PENGU34525_CLOSE_PRICE_USD,PENGU34525_VOLUME_USD,PENGU34525_DIVIDENDS_USD,PENGU34525_STOCK_SPLITS_USD
2025-01-11 00:00:00+00:00,,,,0.0,294,0.0,0.0
2025-01-13 00:00:00+00:00,,,,0.0,121,0.0,0.0
2025-01-15 00:00:00+00:00,,,,0.0,100,0.0,0.0
2025-01-16 00:00:00+00:00,,,,0.0,136,0.0,0.0
2025-01-21 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-01-22 00:00:00+00:00,,,,0.0,167,0.0,0.0
2025-01-24 00:00:00+00:00,,,,0.0,20,0.0,0.0
2025-01-25 00:00:00+00:00,,,,0.0,33,0.0,0.0
2025-01-26 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-01-27 00:00:00+00:00,,,,0.0,144,0.0,0.0
2025-01-29 00:00:00+00:00,,,,0.0,11,0.0,0.0
2025-01-31 00:00:00+00:00,,,,0.0,59,0.0,0.0
2025-02-03 00:00:00+00:00,,,,0.0,52,0.0,0.0
2025-02-08 00:00:00+00:00,,,,0.0,14,0.0,0.0
2025-02-09 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-02-11 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-02-12 00:00:00+00:00,,,,0.0,12,0.0,0.0
2025-02-13 00:00:00+00:00,,,,0.0,16,0.0,0.0
2025-02-14 00:00:00+00:00,,,,0.0,72,0.0,0.0
2025-02-19 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-02-21 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,14,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,2012,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,5607,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,4039,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,5520,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,1122,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,1048,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,397,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,329,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,5512,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,227,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,1718,0.0,0.0
2025-06-01 00:00:00+00:00,2.8159055887044815e-07,2.8159055887044815e-07,2.769872651242622e-07,2.7828809834318236e-07,0,0.0,0.0
