TIMESTAMP,GATO_OPEN_PRICE_USD,GATO_HIGH_PRICE_USD,GATO_LOW_PRICE_USD,GATO_CLOSE_PRICE_USD,GATO_VOLUME_USD,GATO_DIVIDENDS_USD,GATO_STOCK_SPLITS_USD
2025-01-05 00:00:00+00:00,0.0004250000056345016,0.0005280000041238964,0.0004250000056345016,0.00046400001156143844,55317,0.0,0.0
2025-01-06 00:00:00+00:00,0.00046400001156143844,0.0006939999875612557,0.0004579999949783087,0.0006680000224150717,82654,0.0,0.0
2025-01-07 00:00:00+00:00,0.0006680000224150717,0.000754999986384064,0.0005520000122487545,0.0005729999975301325,96724,0.0,0.0
2025-01-08 00:00:00+00:00,0.0005729999975301325,0.0005729999975301325,0.0004140000091865659,0.0004199999966658652,28661,0.0,0.0
2025-01-09 00:00:00+00:00,0.0004199999966658652,0.0004199999966658652,0.0003769999893847853,0.00038400001358240843,9874,0.0,0.0
2025-01-10 00:00:00+00:00,0.00038400001358240843,0.00041599999531172216,0.00034500000765547156,0.00034500000765547156,24231,0.0,0.0
2025-01-11 00:00:00+00:00,0.00034500000765547156,0.00035099999513477087,0.00031800000579096377,0.00033599999733269215,10790,0.0,0.0
2025-01-12 00:00:00+00:00,0.00033599999733269215,0.0003499999875202775,0.00033099998836405575,0.00034500000765547156,7491,0.0,0.0
2025-01-13 00:00:00+00:00,0.00034500000765547156,0.0003530000103637576,0.00031599999056197703,0.0003370000049471855,7884,0.0,0.0
2025-01-14 00:00:00+00:00,0.0003370000049471855,0.00036100001307204366,0.0003220000071451068,0.0003420000139158219,8245,0.0,0.0
2025-01-15 00:00:00+00:00,0.0003420000139158219,0.0004189999890513718,0.0003319999959785491,0.0004189999890513718,18619,0.0,0.0
2025-01-16 00:00:00+00:00,0.0004189999890513718,0.0004659999976865947,0.00039000000106170774,0.0003929999948013574,25327,0.0,0.0
2025-01-17 00:00:00+00:00,0.0003929999948013574,0.00043399998685345054,0.0003929999948013574,0.0004290000069886446,8192,0.0,0.0
2025-01-18 00:00:00+00:00,0.0004290000069886446,0.0004769999941345304,0.00041099998634308577,0.0004600000102072954,25802,0.0,0.0
2025-01-19 00:00:00+00:00,0.0004600000102072954,0.0005080000264570117,0.00034699999378062785,0.00039999998989515007,6385,0.0,0.0
2025-01-20 00:00:00+00:00,0.00039999998989515007,0.00041099998634308577,0.0003440000000409782,0.00035799999022856355,4586,0.0,0.0
2025-01-21 00:00:00+00:00,0.00035799999022856355,0.000371000001905486,0.00033099998836405575,0.00035600000410340726,43635,0.0,0.0
2025-01-22 00:00:00+00:00,0.00035600000410340726,0.0003769999893847853,0.0003440000000409782,0.00034500000765547156,71975,0.0,0.0
2025-01-23 00:00:00+00:00,0.00034500000765547156,0.000391999987186864,0.00031999999191612005,0.0003349999897181988,20246,0.0,0.0
