TIMESTAMP,CSW_OPEN_PRICE_USD,CSW_HIGH_PRICE_USD,CSW_LOW_PRICE_USD,CSW_CLOSE_PRICE_USD,CSW_VOLUME_USD,CSW_DIVIDENDS_USD,CSW_STOCK_SPLITS_USD
2024-08-29 00:00:00+00:00,2.8000000384054147e-05,4.099999932805076e-05,2.2000000171829015e-05,2.8000000384054147e-05,68568,0.0,0.0
2024-08-30 00:00:00+00:00,2.8000000384054147e-05,2.9000000722589903e-05,1.9999999494757503e-05,2.2000000171829015e-05,12339,0.0,0.0
2024-08-31 00:00:00+00:00,2.2000000171829015e-05,2.300000051036477e-05,1.8999999156221747e-05,2.099999983329326e-05,5171,0.0,0.0
2024-09-01 00:00:00+00:00,2.099999983329326e-05,2.300000051036477e-05,1.9999999494757503e-05,1.9999999494757503e-05,4051,0.0,0.0
2024-09-02 00:00:00+00:00,1.9999999494757503e-05,2.2000000171829015e-05,1.9999999494757503e-05,2.2000000171829015e-05,1369,0.0,0.0
2024-09-03 00:00:00+00:00,2.2000000171829015e-05,2.8000000384054147e-05,2.2000000171829015e-05,2.499999936844688e-05,7717,0.0,0.0
2024-09-04 00:00:00+00:00,2.499999936844688e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.8000000384054147e-05,3531,0.0,0.0
2024-09-05 00:00:00+00:00,2.8000000384054147e-05,2.9999999242136255e-05,2.8000000384054147e-05,2.9000000722589903e-05,4481,0.0,0.0
2024-09-06 00:00:00+00:00,2.9000000722589903e-05,3.099999958067201e-05,2.700000004551839e-05,2.8000000384054147e-05,3789,0.0,0.0
2024-09-07 00:00:00+00:00,2.8000000384054147e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.8000000384054147e-05,995,0.0,0.0
2024-09-08 00:00:00+00:00,2.8000000384054147e-05,2.9000000722589903e-05,2.700000004551839e-05,2.700000004551839e-05,2498,0.0,0.0
2024-09-09 00:00:00+00:00,2.700000004551839e-05,4.400000034365803e-05,2.700000004551839e-05,4.3000000005122274e-05,14384,0.0,0.0
2024-09-10 00:00:00+00:00,4.3000000005122274e-05,4.400000034365803e-05,4.199999966658652e-05,4.3000000005122274e-05,3789,0.0,0.0
2024-09-11 00:00:00+00:00,4.3000000005122274e-05,4.3000000005122274e-05,3.600000127335079e-05,4.199999966658652e-05,10969,0.0,0.0
2024-09-12 00:00:00+00:00,4.199999966658652e-05,4.5000000682193786e-05,4.199999966658652e-05,4.5000000682193786e-05,10835,0.0,0.0
2024-09-13 00:00:00+00:00,4.5000000682193786e-05,4.8000001697801054e-05,4.3000000005122274e-05,4.8000001697801054e-05,2911,0.0,0.0
2024-09-14 00:00:00+00:00,4.8000001697801054e-05,4.8999998398358e-05,4.70000013592653e-05,4.8000001697801054e-05,2071,0.0,0.0
2024-09-15 00:00:00+00:00,4.8000001697801054e-05,4.8999998398358e-05,4.5000000682193786e-05,4.5000000682193786e-05,2020,0.0,0.0
2024-09-16 00:00:00+00:00,4.5000000682193786e-05,4.5000000682193786e-05,4.199999966658652e-05,4.3000000005122274e-05,2668,0.0,0.0
2024-09-17 00:00:00+00:00,4.3000000005122274e-05,4.3000000005122274e-05,4.099999932805076e-05,4.199999966658652e-05,3895,0.0,0.0
2024-09-18 00:00:00+00:00,4.199999966658652e-05,4.3000000005122274e-05,4.199999966658652e-05,4.199999966658652e-05,1015,0.0,0.0
2024-09-19 00:00:00+00:00,4.199999966658652e-05,4.600000102072954e-05,4.199999966658652e-05,4.5000000682193786e-05,1720,0.0,0.0
2024-09-20 00:00:00+00:00,4.5000000682193786e-05,4.5000000682193786e-05,4.199999966658652e-05,4.3000000005122274e-05,3460,0.0,0.0
2024-09-21 00:00:00+00:00,4.3000000005122274e-05,4.3000000005122274e-05,4.199999966658652e-05,4.3000000005122274e-05,423,0.0,0.0
2024-09-22 00:00:00+00:00,4.3000000005122274e-05,4.3000000005122274e-05,4.099999932805076e-05,4.099999932805076e-05,20,0.0,0.0
2024-09-23 00:00:00+00:00,4.099999932805076e-05,4.199999966658652e-05,4.099999932805076e-05,4.199999966658652e-05,188,0.0,0.0
2024-09-24 00:00:00+00:00,4.199999966658652e-05,4.400000034365803e-05,4.199999966658652e-05,4.400000034365803e-05,1788,0.0,0.0
2024-09-25 00:00:00+00:00,4.400000034365803e-05,4.400000034365803e-05,4.199999966658652e-05,4.199999966658652e-05,3716,0.0,0.0
2024-09-26 00:00:00+00:00,4.199999966658652e-05,4.3000000005122274e-05,4.199999966658652e-05,4.3000000005122274e-05,95,0.0,0.0
2024-09-27 00:00:00+00:00,4.3000000005122274e-05,4.8000001697801054e-05,4.3000000005122274e-05,4.8000001697801054e-05,243,0.0,0.0
2024-09-28 00:00:00+00:00,4.8000001697801054e-05,5.0999999075429514e-05,4.70000013592653e-05,5.0999999075429514e-05,2915,0.0,0.0
2024-09-29 00:00:00+00:00,5.0999999075429514e-05,5.199999941396527e-05,4.999999873689376e-05,5.0999999075429514e-05,563,0.0,0.0
2024-09-30 00:00:00+00:00,5.0999999075429514e-05,5.199999941396527e-05,4.999999873689376e-05,5.0999999075429514e-05,1046,0.0,0.0
2024-10-01 00:00:00+00:00,5.0999999075429514e-05,5.199999941396527e-05,4.70000013592653e-05,4.8999998398358e-05,3563,0.0,0.0
