TIMESTAMP,TIFI_OPEN_PRICE_USD,TIFI_HIGH_PRICE_USD,TIFI_LOW_PRICE_USD,TIFI_CLOSE_PRICE_USD,TIFI_VOLUME_USD,TIFI_DIVIDENDS_USD,TIFI_STOCK_SPLITS_USD
2022-04-11 00:00:00+00:00,,,,0.0,5150228,0.0,0.0
2022-04-12 00:00:00+00:00,,,,0.0,4350825,0.0,0.0
2022-04-13 00:00:00+00:00,,,,0.0,2876277,0.0,0.0
2022-04-14 00:00:00+00:00,,,,0.0,1289296,0.0,0.0
2022-04-15 00:00:00+00:00,,,,0.0,835436,0.0,0.0
2022-04-16 00:00:00+00:00,,,,0.0,560051,0.0,0.0
2022-04-17 00:00:00+00:00,,,,0.0,351460,0.0,0.0
2022-04-18 00:00:00+00:00,,,,0.0,306812,0.0,0.0
2022-04-19 00:00:00+00:00,,,,0.0,214721,0.0,0.0
2022-04-20 00:00:00+00:00,,,,0.0,191418,0.0,0.0
2022-04-21 00:00:00+00:00,,,,0.0,255746,0.0,0.0
2022-04-22 00:00:00+00:00,,,,0.0,1185201,0.0,0.0
2022-04-23 00:00:00+00:00,,,,0.0,1179844,0.0,0.0
2022-04-24 00:00:00+00:00,,,,0.0,316965,0.0,0.0
2022-04-25 00:00:00+00:00,,,,0.0,264127,0.0,0.0
2022-04-26 00:00:00+00:00,,,,0.0,206260,0.0,0.0
2022-04-27 00:00:00+00:00,,,,0.0,225333,0.0,0.0
2022-04-28 00:00:00+00:00,,,,0.0,350653,0.0,0.0
2022-04-29 00:00:00+00:00,,,,0.0,305942,0.0,0.0
2022-04-30 00:00:00+00:00,,,,0.0,163116,0.0,0.0
2022-05-01 00:00:00+00:00,,,,0.0,162538,0.0,0.0
2022-05-02 00:00:00+00:00,,,,0.0,134355,0.0,0.0
2022-05-03 00:00:00+00:00,,,,0.0,132456,0.0,0.0
2022-05-04 00:00:00+00:00,,,,0.0,182250,0.0,0.0
2022-05-05 00:00:00+00:00,,,,0.0,166170,0.0,0.0
2022-05-06 00:00:00+00:00,,,,0.0,169646,0.0,0.0
2022-05-07 00:00:00+00:00,,,,0.0,144526,0.0,0.0
2022-05-08 00:00:00+00:00,,,,0.0,115157,0.0,0.0
2022-05-09 00:00:00+00:00,,,,0.0,119692,0.0,0.0
2022-05-10 00:00:00+00:00,,,,0.0,147528,0.0,0.0
2022-05-11 00:00:00+00:00,,,,0.0,186277,0.0,0.0
2022-05-12 00:00:00+00:00,,,,0.0,226219,0.0,0.0
2022-05-13 00:00:00+00:00,,,,0.0,192793,0.0,0.0
2022-05-14 00:00:00+00:00,,,,0.0,167693,0.0,0.0
2022-05-15 00:00:00+00:00,,,,0.0,164441,0.0,0.0
2022-05-16 00:00:00+00:00,,,,0.0,548465,0.0,0.0
2022-05-17 00:00:00+00:00,,,,0.0,609689,0.0,0.0
2022-05-18 00:00:00+00:00,,,,0.0,156305,0.0,0.0
2022-05-19 00:00:00+00:00,,,,0.0,115013,0.0,0.0
2022-05-20 00:00:00+00:00,,,,0.0,213151,0.0,0.0
2022-05-21 00:00:00+00:00,,,,0.0,1335768,0.0,0.0
2022-05-22 00:00:00+00:00,,,,0.0,3114495,0.0,0.0
2022-05-23 00:00:00+00:00,,,,0.0,2615664,0.0,0.0
2022-05-24 00:00:00+00:00,,,,0.0,1110565,0.0,0.0
2022-05-25 00:00:00+00:00,,,,0.0,2609939,0.0,0.0
2022-05-26 00:00:00+00:00,,,,0.0,6271034,0.0,0.0
2022-05-27 00:00:00+00:00,,,,0.0,10405022,0.0,0.0
2022-05-28 00:00:00+00:00,,,,0.0,23091564,0.0,0.0
2022-05-29 00:00:00+00:00,,,,0.0,21179852,0.0,0.0
2022-05-30 00:00:00+00:00,,,,0.0,7998383,0.0,0.0
2022-05-31 00:00:00+00:00,,,,0.0,4114286,0.0,0.0
2022-06-01 00:00:00+00:00,,,,0.0,5432156,0.0,0.0
2022-06-02 00:00:00+00:00,,,,0.0,5226356,0.0,0.0
2022-06-03 00:00:00+00:00,,,,0.0,3392026,0.0,0.0
2022-06-04 00:00:00+00:00,,,,0.0,4135020,0.0,0.0
2022-06-05 00:00:00+00:00,,,,0.0,3681280,0.0,0.0
