TIMESTAMP,AUTOS34573_OPEN_PRICE_USD,AUTOS34573_HIGH_PRICE_USD,AUTOS34573_LOW_PRICE_USD,AUTOS34573_CLOSE_PRICE_USD,AUTOS34573_VOLUME_USD,AUTOS34573_DIVIDENDS_USD,AUTOS34573_STOCK_SPLITS_USD
2025-01-18 00:00:00+00:00,0.040017999708652496,0.04407700151205063,0.031387001276016235,0.04178699851036072,1717879,0.0,0.0
2025-01-19 00:00:00+00:00,0.04180299863219261,0.04563099890947342,0.03031199984252453,0.0310479998588562,1462610,0.0,0.0
2025-01-20 00:00:00+00:00,0.031077999621629715,0.03494400158524513,0.02847299911081791,0.02975500002503395,1042339,0.0,0.0
2025-01-21 00:00:00+00:00,0.02975500002503395,0.04607899859547615,0.028265999630093575,0.04297199845314026,2279834,0.0,0.0
2025-01-22 00:00:00+00:00,0.04297899827361107,0.044495001435279846,0.03802800178527832,0.042743001133203506,1046312,0.0,0.0
2025-01-23 00:00:00+00:00,0.04285300150513649,0.043122000992298126,0.03406500071287155,0.035232000052928925,1218878,0.0,0.0
2025-01-24 00:00:00+00:00,0.03523299843072891,0.03741300106048584,0.03250199928879738,0.03406599909067154,1373226,0.0,0.0
2025-01-25 00:00:00+00:00,0.03406200185418129,0.03769199922680855,0.03266799822449684,0.032926999032497406,692266,0.0,0.0
2025-01-26 00:00:00+00:00,0.03292800113558769,0.060857001692056656,0.03170999884605408,0.043540000915527344,7598019,0.0,0.0
2025-01-27 00:00:00+00:00,0.043540000915527344,0.05592399835586548,0.03773700073361397,0.04467000067234039,5964313,0.0,0.0
2025-01-28 00:00:00+00:00,0.04464000090956688,0.05373699963092804,0.04330100119113922,0.0451820008456707,11994114,0.0,0.0
2025-01-29 00:00:00+00:00,0.0451820008456707,0.04607599973678589,0.04010099917650223,0.04072599858045578,13160925,0.0,0.0
2025-01-30 00:00:00+00:00,0.04076499864459038,0.042844999581575394,0.03548000007867813,0.037337999790906906,3128514,0.0,0.0
