TIMESTAMP,AQUA_OPEN_PRICE_USD,AQUA_HIGH_PRICE_USD,AQUA_LOW_PRICE_USD,AQUA_CLOSE_PRICE_USD,AQUA_VOLUME_USD,AQUA_DIVIDENDS_USD,AQUA_STOCK_SPLITS_USD
2021-05-23 00:00:00+00:00,120.843017578125,137.21792602539062,120.843017578125,134.3222198486328,195872,0.0,0.0
2021-05-24 00:00:00+00:00,133.67532348632812,220.97991943359375,133.67532348632812,218.48223876953125,655042,0.0,0.0
2021-05-25 00:00:00+00:00,217.94076538085938,253.6774139404297,169.09783935546875,196.075439453125,730481,0.0,0.0
2021-05-26 00:00:00+00:00,196.2327423095703,230.7093505859375,182.8292236328125,189.9746551513672,483043,0.0,0.0
2021-05-27 00:00:00+00:00,189.7869873046875,190.73165893554688,164.03097534179688,186.20884704589844,333346,0.0,0.0
2021-05-28 00:00:00+00:00,186.61131286621094,188.44764709472656,151.38145446777344,169.39500427246094,265678,0.0,0.0
2021-05-29 00:00:00+00:00,169.41697692871094,187.07479858398438,144.81427001953125,147.56410217285156,227862,0.0,0.0
2021-05-30 00:00:00+00:00,147.6746826171875,152.6883544921875,140.37257385253906,146.578369140625,220272,0.0,0.0
2021-05-31 00:00:00+00:00,146.61708068847656,163.8567657470703,133.59555053710938,162.82081604003906,384521,0.0,0.0
2021-06-01 00:00:00+00:00,162.87330627441406,184.2609100341797,157.80233764648438,183.88613891601562,656022,0.0,0.0
2021-06-02 00:00:00+00:00,184.09454345703125,237.7920684814453,174.3587646484375,217.59210205078125,820079,0.0,0.0
2021-06-03 00:00:00+00:00,217.55259704589844,238.3653564453125,212.26229858398438,226.6459197998047,699335,0.0,0.0
2021-06-04 00:00:00+00:00,226.69236755371094,227.3296661376953,187.890625,210.13111877441406,446778,0.0,0.0
2021-06-05 00:00:00+00:00,210.543212890625,236.22459411621094,199.03469848632812,202.78106689453125,373179,0.0,0.0
2021-06-06 00:00:00+00:00,202.60113525390625,208.23277282714844,192.1065216064453,195.83924865722656,265670,0.0,0.0
2021-06-07 00:00:00+00:00,195.87451171875,206.45562744140625,180.3421173095703,180.3421173095703,315558,0.0,0.0
