,close,labels
0,37068.91,36693.09
1,36508.586,37568.68
2,37463.223,39246.79
3,39262.395,36829.0
4,36797.785,35513.2
5,35373.863,35796.31
6,35659.406,33552.79
7,33352.67,33380.81
8,33148.3,37388.05
9,37389.453,36675.72
10,36651.695,37331.98
11,37361.64,35546.11
12,35528.523,39020.57
13,39171.652,40516.29
14,40751.703,40144.04
15,40346.145,38349.01
16,38484.316,38092.97
17,38162.586,35819.84
18,35814.17,35483.72
19,35397.363,35600.16
20,35507.754,31608.93
21,31446.947,32509.56
22,32314.729,33678.07
23,33530.953,34663.09
24,34583.46,31584.45
25,31450.941,32283.65
26,32136.123,34700.34
27,34688.598,34494.89
28,34483.82,35911.73
29,35986.94,35045.0
30,35066.26,33504.69
31,33444.48,33786.55
32,33743.207,34669.13
33,34675.285,35286.51
34,35330.906,33690.14
35,33652.176,34220.01
36,34210.65,33862.12
37,33839.234,32875.71
38,32804.21,33815.81
39,33794.098,33502.87
40,33471.13,34258.99
41,34269.79,33086.63
42,33040.457,32729.77
43,32664.426,32820.02
44,32763.904,31880.0
45,31782.277,31383.87
46,31270.975,31520.07
47,31425.137,31778.56
48,31710.133,30839.65
49,30731.51,29790.35
50,29637.238,32144.51
51,32130.438,32287.83
52,32289.047,33634.09
53,33706.94,34258.14
54,34360.586,35381.02
55,35538.54,37237.6
56,37475.543,39457.87
57,39786.39,40019.56
58,40360.734,40016.48
59,40326.773,42206.37
60,42597.242,41461.83
61,41789.027,39845.44
62,40046.17,39147.82
63,39278.24,38207.05
64,38262.383,39723.18
65,39841.305,40862.46
66,41030.586,42836.87
67,43093.832,44572.54
68,44905.234,43794.37
69,44062.01,46253.4
70,46614.004,45584.99
71,45882.598,45511.0
72,45773.824,44399.0
73,44568.438,47800.0
74,48107.133,47068.51
75,47321.594,46973.82
76,47197.54,45901.29
77,46038.945,44695.95
78,44744.363,44705.29
79,44742.152,46760.62
80,46890.66,49322.47
81,49573.18,48821.87
82,49038.582,49239.22
83,49457.74,49488.85
84,49698.766,47674.01
85,47758.36,48973.32
86,49102.582,46843.87
87,46842.023,49069.9
88,49169.45,48895.35
89,48986.992,48767.83
90,48843.543,46982.91
91,46950.79,47100.89
92,46975.793,48810.52
93,48960.082,49246.64
94,49420.64,49999.14
95,50231.56,49915.64
96,50074.598,51756.88
97,52125.664,52663.9
98,53059.26,46863.73
99,46322.793,46048.31
100,45561.254,46395.14
101,46104.21,44850.91
102,44431.61,45173.69
103,44922.375,46025.24
104,45965.82,44940.73
105,44747.89,47111.52
106,47270.426,48121.41
107,48378.875,47737.82
108,47871.824,47299.98
109,47334.77,48292.74
110,48453.633,47241.75
111,47211.168,43015.62
112,42391.26,40734.38
113,39969.766,43543.61
114,43390.625,44865.26
115,44948.633,42810.57
116,42587.504,42670.64
117,42492.69,43160.9
118,43101.04,42147.35
119,41962.203,41026.54
120,40734.684,41524.28
121,41382.887,43824.1
122,43768.914,48141.61
123,48300.31,47634.9
124,47770.758,48200.01
125,48360.977,49224.94
126,49429.117,51471.99
127,51771.504,55315.0
